x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	4.584e-01	1.805e-01	4.028e-02	2.782e-02	1.880e-02
0	4	3.261e-01	3.519e-02	2.370e-02	5.243e-03	2.645e-03
0	5	nan	2.299e-01	1.407e-01	3.861e-02	3.563e-02
0	6	nan	nan	1.188e-01	2.153e-02	2.153e-02
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	6.524e-01	1.102e-01	9.396e-02	2.324e-02	2.324e-02
1	4	2.939e-01	4.688e-02	4.688e-02	4.688e-02	1.403e-02
1	5	nan	2.501e-01	1.251e-01	3.724e-02	1.721e-02
1	6	nan	nan	1.488e-01	7.234e-02	8.297e-03
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	2.372e-01	8.520e-02	8.373e-03	8.373e-03
2	4	6.637e-01	2.270e-01	4.370e-02	4.370e-02	2.836e-02
2	5	nan	1.836e-01	9.267e-02	7.152e-03	7.152e-03
2	6	nan	nan	1.247e-01	5.872e-02	4.485e-03
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	2.282e-01	2.282e-01	2.215e-02	1.670e-03
3	4	nan	2.228e-01	9.409e-02	7.582e-02	2.098e-02
3	5	nan	6.509e-01	3.927e-02	3.456e-02	5.562e-03
3	6	nan	nan	1.281e-01	1.034e-01	5.265e-02
3	7	nan	nan	nan	nan	nan
