x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	2.493e-01	9.100e-02	9.100e-02	5.147e-02	2.306e-02
0	4	4.595e-01	4.361e-02	4.361e-02	4.361e-02	3.274e-02
0	5	nan	1.428e-02	1.428e-02	1.428e-02	1.428e-02
0	6	nan	6.567e-01	1.055e-01	1.055e-01	6.257e-03
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	6.519e-01	2.277e-01	1.334e-01	9.097e-02	2.434e-02
1	4	6.504e-01	5.960e-02	2.650e-02	1.569e-02	3.552e-03
1	5	nan	5.580e-02	2.129e-02	1.791e-03	1.595e-03
1	6	nan	2.275e-01	3.844e-02	3.223e-02	1.541e-02
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	2.370e-01	1.288e-01	7.686e-02	6.354e-02
2	4	6.722e-01	1.658e-01	9.956e-02	8.664e-02	5.704e-03
2	5	nan	2.437e-01	2.275e-01	1.500e-01	2.641e-02
2	6	nan	nan	nan	1.989e-02	2.850e-03
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	2.282e-01	2.282e-01	6.971e-02	5.196e-02
3	4	nan	2.319e-01	2.281e-01	1.275e-01	3.723e-02
3	5	nan	2.356e-01	1.445e-01	4.113e-02	4.113e-02
3	6	nan	nan	nan	1.015e-01	1.006e-01
3	7	nan	nan	nan	nan	nan
