x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	2.466e-01	9.557e-02	9.557e-02	4.706e-02	5.096e-03
0	1	5.871e-01	1.348e-01	6.677e-02	1.166e-02	1.166e-02
0	2	6.778e-01	2.524e-01	1.167e-01	1.167e-01	1.005e-01
0	3	nan	1.411e-01	1.191e-01	6.277e-02	3.650e-02
0	4	nan	3.053e-01	1.604e-01	1.260e-01	3.026e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	6.586e-01	2.280e-01	1.739e-01	1.613e-02	1.613e-02
1	1	nan	1.334e-01	1.334e-01	3.871e-02	1.635e-02
1	2	nan	2.016e-01	1.417e-01	1.417e-01	2.304e-02
1	3	nan	2.416e-01	1.197e-01	5.731e-02	1.097e-02
1	4	nan	9.240e-02	9.089e-02	3.893e-02	3.893e-02
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	2.269e-01	1.404e-01	7.997e-02	1.247e-02
2	1	nan	1.213e-01	3.120e-02	3.120e-02	2.589e-02
2	2	nan	1.466e-01	1.071e-02	1.071e-02	1.071e-02
2	3	nan	2.418e-01	6.805e-02	6.805e-02	6.805e-02
2	4	nan	2.293e-01	8.220e-02	7.923e-02	7.923e-02
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	2.896e-01	1.097e-01	1.097e-01
3	1	nan	nan	2.283e-01	1.768e-02	1.768e-02
3	2	nan	9.069e-02	4.821e-02	4.821e-02	4.474e-02
3	3	nan	nan	nan	1.176e-01	5.438e-02
3	4	nan	5.319e-01	1.676e-01	1.676e-01	5.636e-02
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
