n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max
2.200e+03	0.000e+00	0.000e+00	0.000e+00	7.396e-02	7.033e-02	7.691e-02	1.074e-01	1.039e-01	1.198e-01	1.202e-01	1.069e-01	1.288e-01	8.184e-02	7.067e-02	1.086e-01	4.828e-03	3.431e-03	5.882e-03	3.962e-02	3.777e-02	4.265e-02	5.729e-02	5.391e-02	6.226e-02	6.081e-02	5.985e-02	6.510e-02	5.018e-02	4.645e-02	5.823e-02	0.000e+00	0.000e+00	0.000e+00	7.497e-02	7.229e-02	8.128e-02	1.077e-01	9.904e-02	1.195e-01	1.178e-01	1.117e-01	1.255e-01	8.075e-02	5.068e-02	9.685e-02	6.757e-03	4.828e-03	7.515e-03	4.095e-02	3.856e-02	4.290e-02	5.862e-02	5.476e-02	6.200e-02	6.135e-02	5.836e-02	6.289e-02	4.816e-02	4.603e-02	5.204e-02
2.300e+03	0.000e+00	0.000e+00	0.000e+00	7.352e-02	6.940e-02	7.704e-02	1.074e-01	1.039e-01	1.201e-01	1.207e-01	1.069e-01	1.288e-01	8.184e-02	7.350e-02	1.127e-01	4.828e-03	3.431e-03	5.882e-03	4.007e-02	3.805e-02	4.265e-02	5.793e-02	5.344e-02	6.280e-02	6.153e-02	5.817e-02	6.633e-02	4.957e-02	4.558e-02	6.014e-02	0.000e+00	0.000e+00	0.000e+00	7.497e-02	7.229e-02	8.128e-02	1.091e-01	9.753e-02	1.195e-01	1.178e-01	1.117e-01	1.255e-01	8.447e-02	5.172e-02	9.896e-02	6.757e-03	4.828e-03	7.515e-03	4.126e-02	3.849e-02	4.293e-02	5.793e-02	5.538e-02	5.987e-02	6.124e-02	5.778e-02	6.440e-02	4.800e-02	4.579e-02	5.135e-02
2.400e+03	0.000e+00	0.000e+00	0.000e+00	7.217e-02	6.967e-02	7.704e-02	1.074e-01	1.043e-01	1.233e-01	1.182e-01	1.085e-01	1.288e-01	8.146e-02	7.350e-02	1.127e-01	4.828e-03	3.431e-03	5.882e-03	4.034e-02	3.798e-02	4.279e-02	5.697e-02	5.373e-02	6.271e-02	6.173e-02	5.776e-02	6.509e-02	4.859e-02	4.576e-02	6.017e-02	0.000e+00	0.000e+00	0.000e+00	7.594e-02	7.229e-02	8.114e-02	1.091e-01	9.904e-02	1.151e-01	1.184e-01	1.117e-01	1.243e-01	8.648e-02	5.172e-02	1.055e-01	6.757e-03	4.828e-03	6.757e-03	4.124e-02	3.850e-02	4.301e-02	5.706e-02	5.516e-02	6.026e-02	6.158e-02	5.854e-02	6.340e-02	4.812e-02	4.613e-02	5.096e-02
2.500e+03	0.000e+00	0.000e+00	0.000e+00	7.217e-02	6.967e-02	7.704e-02	1.093e-01	1.061e-01	1.211e-01	1.223e-01	1.104e-01	1.308e-01	8.146e-02	7.302e-02	1.142e-01	4.828e-03	3.431e-03	5.882e-03	4.024e-02	3.799e-02	4.298e-02	5.708e-02	5.275e-02	6.441e-02	6.143e-02	5.722e-02	6.529e-02	4.975e-02	4.611e-02	5.974e-02	0.000e+00	0.000e+00	0.000e+00	7.586e-02	7.229e-02	8.043e-02	1.098e-01	1.001e-01	1.171e-01	1.178e-01	1.117e-01	1.243e-01	8.758e-02	5.861e-02	1.078e-01	5.882e-03	4.828e-03	7.515e-03	4.124e-02	3.835e-02	4.281e-02	5.706e-02	5.535e-02	6.249e-02	6.176e-02	5.823e-02	6.364e-02	4.864e-02	4.612e-02	5.184e-02
2.600e+03	0.000e+00	0.000e+00	0.000e+00	7.292e-02	6.974e-02	7.704e-02	1.135e-01	1.048e-01	1.211e-01	1.223e-01	1.120e-01	1.308e-01	8.146e-02	7.302e-02	1.130e-01	4.828e-03	3.431e-03	5.882e-03	4.066e-02	3.789e-02	4.262e-02	5.676e-02	5.240e-02	6.548e-02	6.214e-02	5.798e-02	6.569e-02	5.034e-02	4.496e-02	6.062e-02	0.000e+00	0.000e+00	0.000e+00	7.586e-02	7.229e-02	8.043e-02	1.105e-01	1.001e-01	1.167e-01	1.178e-01	1.117e-01	1.260e-01	8.758e-02	6.754e-02	1.078e-01	6.757e-03	4.828e-03	7.515e-03	4.064e-02	3.842e-02	4.237e-02	5.681e-02	5.453e-02	6.226e-02	6.139e-02	5.757e-02	6.365e-02	4.864e-02	4.612e-02	5.237e-02
2.700e+03	0.000e+00	0.000e+00	0.000e+00	7.352e-02	6.974e-02	7.704e-02	1.165e-01	1.053e-01	1.261e-01	1.224e-01	1.120e-01	1.308e-01	8.146e-02	7.302e-02	1.116e-01	4.828e-03	3.431e-03	5.882e-03	4.076e-02	3.830e-02	4.273e-02	5.626e-02	5.235e-02	6.522e-02	6.185e-02	5.798e-02	6.695e-02	5.003e-02	4.551e-02	5.982e-02	0.000e+00	0.000e+00	0.000e+00	7.503e-02	7.229e-02	8.043e-02	1.120e-01	1.001e-01	1.182e-01	1.178e-01	1.122e-01	1.260e-01	8.870e-02	7.070e-02	1.078e-01	6.757e-03	4.828e-03	7.515e-03	4.048e-02	3.805e-02	4.204e-02	5.699e-02	5.423e-02	6.118e-02	6.155e-02	5.854e-02	6.386e-02	4.791e-02	4.562e-02	5.238e-02
2.800e+03	0.000e+00	0.000e+00	0.000e+00	7.352e-02	7.024e-02	7.704e-02	1.165e-01	1.053e-01	1.261e-01	1.224e-01	1.112e-01	1.308e-01	8.146e-02	7.302e-02	1.122e-01	4.828e-03	3.431e-03	6.757e-03	4.092e-02	3.710e-02	4.232e-02	5.807e-02	5.123e-02	6.442e-02	6.257e-02	5.736e-02	6.642e-02	5.022e-02	4.612e-02	6.021e-02	0.000e+00	0.000e+00	0.000e+00	7.586e-02	7.270e-02	8.043e-02	1.121e-01	1.001e-01	1.182e-01	1.169e-01	1.122e-01	1.260e-01	8.959e-02	7.302e-02	1.078e-01	6.757e-03	4.828e-03	7.515e-03	3.977e-02	3.818e-02	4.207e-02	5.663e-02	5.354e-02	6.213e-02	6.188e-02	5.930e-02	6.364e-02	4.874e-02	4.583e-02	5.176e-02
2.900e+03	0.000e+00	0.000e+00	0.000e+00	7.352e-02	7.024e-02	7.704e-02	1.144e-01	1.055e-01	1.276e-01	1.223e-01	1.112e-01	1.299e-01	8.184e-02	7.096e-02	1.130e-01	4.828e-03	3.431e-03	6.757e-03	4.036e-02	3.721e-02	4.225e-02	5.834e-02	5.079e-02	6.342e-02	6.283e-02	5.749e-02	6.689e-02	5.067e-02	4.619e-02	6.114e-02	0.000e+00	0.000e+00	0.000e+00	7.586e-02	7.270e-02	8.043e-02	1.121e-01	1.014e-01	1.182e-01	1.169e-01	1.122e-01	1.263e-01	8.903e-02	7.789e-02	1.088e-01	6.757e-03	4.828e-03	7.515e-03	4.036e-02	3.817e-02	4.369e-02	5.764e-02	5.419e-02	6.195e-02	6.197e-02	5.862e-02	6.424e-02	4.825e-02	4.610e-02	5.166e-02
3.000e+03	0.000e+00	0.000e+00	0.000e+00	7.382e-02	7.024e-02	7.704e-02	1.144e-01	1.061e-01	1.276e-01	1.223e-01	1.104e-01	1.299e-01	8.523e-02	7.264e-02	1.130e-01	4.828e-03	3.431e-03	6.757e-03	4.094e-02	3.717e-02	4.284e-02	5.796e-02	5.032e-02	6.130e-02	6.239e-02	5.695e-02	6.766e-02	5.137e-02	4.602e-02	6.139e-02	0.000e+00	0.000e+00	0.000e+00	7.614e-02	7.271e-02	8.043e-02	1.121e-01	1.043e-01	1.182e-01	1.169e-01	1.122e-01	1.263e-01	8.903e-02	7.711e-02	1.088e-01	6.757e-03	4.828e-03	8.189e-03	4.036e-02	3.884e-02	4.394e-02	5.886e-02	5.366e-02	6.195e-02	6.277e-02	5.832e-02	6.501e-02	4.854e-02	4.639e-02	5.357e-02
3.100e+03	0.000e+00	0.000e+00	0.000e+00	7.449e-02	7.024e-02	7.701e-02	1.165e-01	1.078e-01	1.276e-01	1.220e-01	1.104e-01	1.299e-01	8.447e-02	7.550e-02	1.156e-01	4.828e-03	3.431e-03	5.882e-03	4.187e-02	3.638e-02	4.326e-02	5.845e-02	5.078e-02	6.401e-02	6.233e-02	5.645e-02	6.692e-02	5.009e-02	4.695e-02	6.336e-02	0.000e+00	0.000e+00	0.000e+00	7.727e-02	7.350e-02	8.114e-02	1.121e-01	1.043e-01	1.218e-01	1.184e-01	1.122e-01	1.263e-01	8.903e-02	7.789e-02	1.118e-01	6.757e-03	4.828e-03	8.189e-03	4.003e-02	3.873e-02	4.397e-02	5.967e-02	5.415e-02	6.197e-02	6.290e-02	5.805e-02	6.508e-02	4.944e-02	4.610e-02	5.315e-02
