n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.body.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.body.epistasis.sd.max
1.100e+03	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	2.041e-01	1.981e-01	2.485e-01	1.964e-01	1.871e-01	2.077e-01	1.952e-01	1.871e-01	2.041e-01	1.669e-01	1.556e-01	1.721e-01	1.293e-01	1.199e-01	1.381e-01	9.808e-02	9.165e-02	1.052e-01	6.782e-02	5.937e-02	6.910e-02	5.449e-02	4.265e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	1.981e-01	1.952e-01	2.041e-01	1.964e-01	1.871e-01	2.041e-01	2.041e-01	1.871e-01	2.077e-01	1.662e-01	1.521e-01	1.709e-01	1.333e-01	1.284e-01	1.377e-01	1.044e-01	9.823e-02	1.139e-01	7.155e-02	5.937e-02	7.822e-02	4.265e-02	3.500e-02	5.937e-02
1.200e+03	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	2.077e-01	1.981e-01	2.449e-01	1.981e-01	1.871e-01	2.077e-01	1.952e-01	1.871e-01	2.041e-01	1.683e-01	1.556e-01	1.741e-01	1.287e-01	1.205e-01	1.369e-01	9.808e-02	9.165e-02	1.061e-01	6.782e-02	6.379e-02	7.500e-02	4.899e-02	3.500e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	1.981e-01	1.952e-01	2.041e-01	1.981e-01	1.871e-01	2.041e-01	2.041e-01	1.863e-01	2.073e-01	1.655e-01	1.512e-01	1.731e-01	1.327e-01	1.269e-01	1.414e-01	1.064e-01	9.808e-02	1.118e-01	7.155e-02	6.379e-02	7.822e-02	4.265e-02	3.500e-02	5.937e-02
1.300e+03	2.795e-01	2.795e-01	2.795e-01	2.421e-01	2.041e-01	2.485e-01	2.077e-01	1.981e-01	2.449e-01	1.981e-01	1.871e-01	2.384e-01	1.952e-01	1.890e-01	2.041e-01	1.683e-01	1.501e-01	1.733e-01	1.250e-01	1.192e-01	1.374e-01	1.000e-01	9.165e-02	1.061e-01	7.155e-02	6.379e-02	7.500e-02	5.449e-02	4.265e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	1.952e-01	2.485e-01	2.041e-01	1.964e-01	2.077e-01	1.981e-01	1.871e-01	2.041e-01	2.041e-01	1.863e-01	2.041e-01	1.652e-01	1.511e-01	1.753e-01	1.318e-01	1.260e-01	1.418e-01	1.068e-01	9.605e-02	1.139e-01	7.155e-02	6.782e-02	7.822e-02	4.265e-02	3.500e-02	5.449e-02
1.400e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.485e-01	2.077e-01	1.981e-01	2.449e-01	2.041e-01	1.871e-01	2.384e-01	1.964e-01	1.871e-01	2.041e-01	1.668e-01	1.529e-01	1.714e-01	1.293e-01	1.209e-01	1.404e-01	1.000e-01	9.367e-02	1.052e-01	7.500e-02	6.379e-02	7.822e-02	5.449e-02	4.265e-02	6.379e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	2.041e-01	2.485e-01	2.041e-01	1.964e-01	2.077e-01	1.981e-01	1.871e-01	2.041e-01	2.041e-01	1.863e-01	2.041e-01	1.675e-01	1.537e-01	1.748e-01	1.335e-01	1.287e-01	1.433e-01	1.036e-01	9.605e-02	1.150e-01	7.500e-02	6.782e-02	7.822e-02	4.899e-02	3.500e-02	5.449e-02
1.500e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.485e-01	2.077e-01	1.981e-01	2.449e-01	2.041e-01	1.871e-01	2.384e-01	1.981e-01	1.871e-01	2.073e-01	1.658e-01	1.500e-01	1.714e-01	1.308e-01	1.225e-01	1.404e-01	1.018e-01	9.121e-02	1.078e-01	7.500e-02	6.379e-02	8.124e-02	4.899e-02	3.500e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.077e-01	2.041e-01	1.981e-01	2.358e-01	2.041e-01	1.863e-01	2.073e-01	1.659e-01	1.511e-01	1.731e-01	1.338e-01	1.277e-01	1.410e-01	1.036e-01	9.391e-02	1.118e-01	7.500e-02	6.379e-02	7.822e-02	4.265e-02	3.500e-02	5.449e-02
1.600e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.575e-01	2.077e-01	1.981e-01	2.449e-01	2.041e-01	1.871e-01	2.384e-01	1.981e-01	1.871e-01	2.041e-01	1.673e-01	1.512e-01	1.710e-01	1.325e-01	1.219e-01	1.393e-01	1.018e-01	9.165e-02	1.078e-01	7.500e-02	6.379e-02	8.408e-02	4.899e-02	4.265e-02	5.937e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.077e-01	2.041e-01	1.981e-01	2.358e-01	2.041e-01	1.871e-01	2.082e-01	1.646e-01	1.516e-01	1.717e-01	1.347e-01	1.279e-01	1.393e-01	1.036e-01	9.601e-02	1.150e-01	7.155e-02	6.782e-02	7.822e-02	4.265e-02	3.500e-02	5.449e-02
1.700e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.575e-01	2.077e-01	1.981e-01	2.449e-01	2.041e-01	1.871e-01	2.384e-01	2.041e-01	1.952e-01	2.077e-01	1.635e-01	1.529e-01	1.731e-01	1.312e-01	1.228e-01	1.365e-01	1.018e-01	8.927e-02	1.083e-01	7.500e-02	6.379e-02	8.408e-02	4.899e-02	4.265e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.077e-01	2.041e-01	1.981e-01	2.358e-01	2.041e-01	1.952e-01	2.082e-01	1.630e-01	1.556e-01	1.692e-01	1.333e-01	1.285e-01	1.377e-01	1.036e-01	9.367e-02	1.150e-01	7.155e-02	6.042e-02	7.822e-02	4.265e-02	3.500e-02	5.449e-02
1.800e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.575e-01	2.077e-01	1.981e-01	2.449e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.964e-01	2.077e-01	1.621e-01	1.556e-01	1.721e-01	1.270e-01	1.228e-01	1.353e-01	1.018e-01	8.927e-02	1.110e-01	7.500e-02	6.782e-02	8.584e-02	4.899e-02	4.265e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.041e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.315e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.871e-01	2.082e-01	1.642e-01	1.537e-01	1.699e-01	1.323e-01	1.264e-01	1.365e-01	1.018e-01	9.601e-02	1.134e-01	7.500e-02	6.379e-02	8.124e-02	4.265e-02	3.500e-02	5.449e-02
1.900e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.575e-01	2.077e-01	1.981e-01	2.490e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.964e-01	2.041e-01	1.635e-01	1.566e-01	1.698e-01	1.299e-01	1.228e-01	1.353e-01	1.023e-01	8.927e-02	1.110e-01	7.500e-02	6.782e-02	8.584e-02	4.899e-02	3.500e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.315e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.871e-01	2.371e-01	1.599e-01	1.521e-01	1.714e-01	1.323e-01	1.244e-01	1.393e-01	1.036e-01	9.601e-02	1.110e-01	7.155e-02	5.937e-02	7.822e-02	4.265e-02	3.500e-02	5.449e-02
2.000e+03	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.670e-01	2.077e-01	1.981e-01	2.560e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.981e-01	2.077e-01	1.620e-01	1.535e-01	1.709e-01	1.289e-01	1.228e-01	1.359e-01	1.044e-01	8.927e-02	1.110e-01	7.155e-02	6.782e-02	8.124e-02	4.899e-02	3.500e-02	5.449e-02	2.795e-01	2.795e-01	2.795e-01	2.449e-01	2.041e-01	2.485e-01	2.041e-01	1.981e-01	2.371e-01	2.041e-01	1.981e-01	2.384e-01	2.041e-01	1.952e-01	2.371e-01	1.575e-01	1.527e-01	1.709e-01	1.318e-01	1.277e-01	1.414e-01	1.052e-01	9.391e-02	1.146e-01	7.155e-02	6.379e-02	8.124e-02	4.265e-02	3.500e-02	5.449e-02
