n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.avg.max
1.100e+03	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.871e-01	6.033e-01	4.061e-01	3.758e-01	4.212e-01	2.848e-01	2.697e-01	2.955e-01	1.970e-01	1.758e-01	2.121e-01	8.185e-01	8.185e-01	8.191e-01	5.745e-01	5.706e-01	5.767e-01	3.730e-01	3.679e-01	3.770e-01	2.158e-01	2.109e-01	2.182e-01	9.485e-02	9.182e-02	9.788e-02	8.182e-01	8.182e-01	8.182e-01	5.909e-01	5.871e-01	5.993e-01	3.970e-01	3.771e-01	4.040e-01	2.879e-01	2.727e-01	2.975e-01	1.732e-01	1.566e-01	2.235e-01	8.185e-01	8.182e-01	8.188e-01	5.739e-01	5.715e-01	5.770e-01	3.721e-01	3.682e-01	3.758e-01	2.170e-01	2.097e-01	2.203e-01	9.485e-02	9.212e-02	9.970e-02
1.200e+03	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.909e-01	6.061e-01	4.061e-01	3.758e-01	4.209e-01	2.835e-01	2.697e-01	2.955e-01	2.020e-01	1.768e-01	2.212e-01	8.185e-01	8.182e-01	8.191e-01	5.730e-01	5.706e-01	5.761e-01	3.730e-01	3.685e-01	3.782e-01	2.170e-01	2.127e-01	2.188e-01	9.576e-02	9.121e-02	9.758e-02	8.182e-01	8.182e-01	8.182e-01	5.926e-01	5.871e-01	6.027e-01	3.963e-01	3.771e-01	4.040e-01	2.893e-01	2.753e-01	2.970e-01	1.732e-01	1.566e-01	2.424e-01	8.188e-01	8.182e-01	8.188e-01	5.736e-01	5.712e-01	5.761e-01	3.727e-01	3.682e-01	3.752e-01	2.182e-01	2.103e-01	2.203e-01	9.455e-02	9.242e-02	9.818e-02
1.300e+03	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.923e-01	6.061e-01	4.000e-01	3.758e-01	4.215e-01	2.848e-01	2.761e-01	2.939e-01	2.078e-01	1.758e-01	2.323e-01	8.185e-01	8.182e-01	8.191e-01	5.724e-01	5.712e-01	5.761e-01	3.727e-01	3.688e-01	3.782e-01	2.170e-01	2.130e-01	2.203e-01	9.545e-02	9.364e-02	9.788e-02	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.871e-01	6.027e-01	3.990e-01	3.788e-01	4.061e-01	2.939e-01	2.727e-01	3.003e-01	1.768e-01	1.566e-01	2.462e-01	8.188e-01	8.182e-01	8.191e-01	5.742e-01	5.703e-01	5.758e-01	3.727e-01	3.682e-01	3.761e-01	2.185e-01	2.100e-01	2.212e-01	9.667e-02	9.212e-02	9.909e-02
1.400e+03	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.923e-01	6.061e-01	4.030e-01	3.771e-01	4.215e-01	2.857e-01	2.778e-01	2.955e-01	2.121e-01	1.818e-01	2.424e-01	8.185e-01	8.182e-01	8.191e-01	5.727e-01	5.709e-01	5.773e-01	3.730e-01	3.691e-01	3.782e-01	2.179e-01	2.136e-01	2.212e-01	9.636e-02	9.333e-02	9.788e-02	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.871e-01	6.027e-01	3.990e-01	3.848e-01	4.066e-01	2.939e-01	2.727e-01	3.005e-01	1.775e-01	1.566e-01	2.492e-01	8.185e-01	8.182e-01	8.191e-01	5.736e-01	5.712e-01	5.752e-01	3.721e-01	3.688e-01	3.767e-01	2.194e-01	2.097e-01	2.224e-01	9.576e-02	9.212e-02	9.879e-02
1.500e+03	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.926e-01	6.061e-01	4.007e-01	3.788e-01	4.215e-01	2.904e-01	2.778e-01	2.975e-01	2.197e-01	1.879e-01	2.424e-01	8.185e-01	8.182e-01	8.191e-01	5.727e-01	5.706e-01	5.764e-01	3.721e-01	3.694e-01	3.791e-01	2.191e-01	2.112e-01	2.206e-01	9.667e-02	9.303e-02	9.848e-02	8.182e-01	8.182e-01	8.182e-01	5.926e-01	5.871e-01	6.027e-01	3.967e-01	3.857e-01	4.066e-01	2.904e-01	2.782e-01	3.005e-01	1.905e-01	1.667e-01	2.500e-01	8.185e-01	8.182e-01	8.191e-01	5.736e-01	5.715e-01	5.755e-01	3.721e-01	3.691e-01	3.785e-01	2.185e-01	2.100e-01	2.212e-01	9.455e-02	9.242e-02	9.818e-02
1.600e+03	8.182e-01	8.182e-01	8.182e-01	5.993e-01	5.923e-01	6.061e-01	4.000e-01	3.805e-01	4.215e-01	2.937e-01	2.837e-01	3.000e-01	2.197e-01	1.905e-01	2.424e-01	8.185e-01	8.182e-01	8.191e-01	5.736e-01	5.706e-01	5.761e-01	3.733e-01	3.688e-01	3.806e-01	2.185e-01	2.103e-01	2.215e-01	9.697e-02	9.394e-02	1.009e-01	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.892e-01	6.027e-01	4.022e-01	3.818e-01	4.105e-01	2.909e-01	2.821e-01	3.058e-01	1.861e-01	1.645e-01	2.500e-01	8.185e-01	8.182e-01	8.191e-01	5.736e-01	5.691e-01	5.761e-01	3.730e-01	3.700e-01	3.788e-01	2.191e-01	2.103e-01	2.206e-01	9.576e-02	9.152e-02	9.879e-02
1.700e+03	8.182e-01	8.182e-01	8.182e-01	5.993e-01	5.923e-01	6.091e-01	4.066e-01	3.848e-01	4.160e-01	2.955e-01	2.848e-01	3.003e-01	2.222e-01	1.970e-01	2.462e-01	8.185e-01	8.182e-01	8.191e-01	5.745e-01	5.709e-01	5.773e-01	3.739e-01	3.691e-01	3.803e-01	2.188e-01	2.118e-01	2.236e-01	9.727e-02	9.424e-02	1.018e-01	8.182e-01	8.182e-01	8.182e-01	5.947e-01	5.909e-01	6.027e-01	4.015e-01	3.838e-01	4.132e-01	2.948e-01	2.821e-01	3.085e-01	1.861e-01	1.645e-01	2.500e-01	8.188e-01	8.182e-01	8.191e-01	5.742e-01	5.697e-01	5.758e-01	3.733e-01	3.700e-01	3.779e-01	2.188e-01	2.127e-01	2.206e-01	9.576e-02	9.182e-02	9.788e-02
1.800e+03	8.182e-01	8.182e-01	8.182e-01	5.993e-01	5.923e-01	6.091e-01	4.066e-01	3.864e-01	4.187e-01	2.960e-01	2.865e-01	3.005e-01	2.222e-01	1.991e-01	2.507e-01	8.185e-01	8.182e-01	8.191e-01	5.748e-01	5.715e-01	5.776e-01	3.745e-01	3.697e-01	3.785e-01	2.191e-01	2.145e-01	2.233e-01	9.970e-02	9.303e-02	1.012e-01	8.182e-01	8.182e-01	8.182e-01	5.950e-01	5.909e-01	6.027e-01	4.015e-01	3.846e-01	4.141e-01	2.948e-01	2.867e-01	3.085e-01	1.932e-01	1.717e-01	2.424e-01	8.188e-01	8.182e-01	8.188e-01	5.736e-01	5.709e-01	5.761e-01	3.736e-01	3.703e-01	3.776e-01	2.170e-01	2.124e-01	2.206e-01	9.576e-02	9.152e-02	9.879e-02
1.900e+03	8.182e-01	8.182e-01	8.182e-01	6.000e-01	5.923e-01	6.091e-01	4.103e-01	3.872e-01	4.187e-01	2.975e-01	2.865e-01	3.030e-01	2.251e-01	2.083e-01	2.507e-01	8.185e-01	8.182e-01	8.191e-01	5.758e-01	5.712e-01	5.773e-01	3.752e-01	3.718e-01	3.800e-01	2.200e-01	2.127e-01	2.255e-01	1.003e-01	9.455e-02	1.021e-01	8.182e-01	8.182e-01	8.182e-01	5.960e-01	5.909e-01	6.027e-01	4.015e-01	3.864e-01	4.132e-01	2.970e-01	2.854e-01	3.100e-01	1.932e-01	1.717e-01	2.534e-01	8.185e-01	8.182e-01	8.191e-01	5.730e-01	5.709e-01	5.755e-01	3.730e-01	3.697e-01	3.764e-01	2.164e-01	2.118e-01	2.206e-01	9.636e-02	9.091e-02	9.758e-02
2.000e+03	8.182e-01	8.182e-01	8.182e-01	6.000e-01	5.923e-01	6.094e-01	4.103e-01	3.879e-01	4.187e-01	2.987e-01	2.879e-01	3.030e-01	2.251e-01	2.121e-01	2.515e-01	8.185e-01	8.182e-01	8.191e-01	5.764e-01	5.721e-01	5.785e-01	3.752e-01	3.715e-01	3.806e-01	2.230e-01	2.130e-01	2.261e-01	1.000e-01	9.576e-02	1.030e-01	8.182e-01	8.182e-01	8.182e-01	5.978e-01	5.909e-01	6.027e-01	4.033e-01	3.848e-01	4.141e-01	2.980e-01	2.890e-01	3.124e-01	1.970e-01	1.717e-01	2.515e-01	8.185e-01	8.182e-01	8.191e-01	5.736e-01	5.706e-01	5.758e-01	3.727e-01	3.700e-01	3.748e-01	2.152e-01	2.115e-01	2.209e-01	9.636e-02	9.152e-02	9.818e-02
