n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.avg.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.avg.max
1.100e+03	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.474e-01	5.632e-01	3.542e-01	3.345e-01	3.716e-01	2.483e-01	2.334e-01	2.586e-01	1.681e-01	1.379e-01	1.853e-01	7.941e-01	7.934e-01	7.948e-01	5.345e-01	5.310e-01	5.379e-01	3.386e-01	3.321e-01	3.428e-01	1.924e-01	1.886e-01	1.966e-01	8.379e-02	8.034e-02	8.586e-02	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.474e-01	5.594e-01	3.525e-01	3.345e-01	3.678e-01	2.445e-01	2.337e-01	2.571e-01	1.322e-01	1.207e-01	1.940e-01	7.941e-01	7.934e-01	7.948e-01	5.355e-01	5.317e-01	5.369e-01	3.379e-01	3.341e-01	3.414e-01	1.931e-01	1.872e-01	1.955e-01	8.379e-02	8.034e-02	8.862e-02
1.200e+03	7.931e-01	7.931e-01	7.931e-01	5.556e-01	5.479e-01	5.632e-01	3.574e-01	3.319e-01	3.716e-01	2.448e-01	2.328e-01	2.586e-01	1.767e-01	1.379e-01	1.940e-01	7.941e-01	7.934e-01	7.948e-01	5.334e-01	5.310e-01	5.379e-01	3.390e-01	3.324e-01	3.414e-01	1.938e-01	1.893e-01	1.990e-01	8.414e-02	8.000e-02	8.586e-02	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.474e-01	5.603e-01	3.525e-01	3.362e-01	3.649e-01	2.471e-01	2.345e-01	2.602e-01	1.379e-01	1.264e-01	2.026e-01	7.941e-01	7.938e-01	7.948e-01	5.352e-01	5.317e-01	5.372e-01	3.369e-01	3.338e-01	3.414e-01	1.945e-01	1.879e-01	1.979e-01	8.241e-02	8.138e-02	8.828e-02
1.300e+03	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.483e-01	5.647e-01	3.574e-01	3.319e-01	3.707e-01	2.471e-01	2.382e-01	2.586e-01	1.767e-01	1.379e-01	1.983e-01	7.941e-01	7.938e-01	7.948e-01	5.345e-01	5.300e-01	5.383e-01	3.393e-01	3.331e-01	3.434e-01	1.934e-01	1.893e-01	1.990e-01	8.517e-02	8.103e-02	8.724e-02	7.931e-01	7.931e-01	7.931e-01	5.560e-01	5.479e-01	5.632e-01	3.554e-01	3.345e-01	3.678e-01	2.512e-01	2.356e-01	2.633e-01	1.379e-01	1.264e-01	2.026e-01	7.945e-01	7.938e-01	7.952e-01	5.348e-01	5.317e-01	5.376e-01	3.372e-01	3.334e-01	3.400e-01	1.948e-01	1.890e-01	1.983e-01	8.448e-02	8.069e-02	8.862e-02
1.400e+03	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.486e-01	5.690e-01	3.542e-01	3.276e-01	3.707e-01	2.490e-01	2.382e-01	2.557e-01	1.767e-01	1.478e-01	2.069e-01	7.941e-01	7.938e-01	7.948e-01	5.338e-01	5.310e-01	5.379e-01	3.400e-01	3.348e-01	3.445e-01	1.931e-01	1.893e-01	1.983e-01	8.448e-02	8.172e-02	8.655e-02	7.931e-01	7.931e-01	7.931e-01	5.580e-01	5.479e-01	5.647e-01	3.554e-01	3.379e-01	3.678e-01	2.460e-01	2.356e-01	2.633e-01	1.478e-01	1.250e-01	2.026e-01	7.941e-01	7.934e-01	7.948e-01	5.345e-01	5.310e-01	5.379e-01	3.366e-01	3.331e-01	3.407e-01	1.948e-01	1.897e-01	1.997e-01	8.448e-02	7.931e-02	8.759e-02
1.500e+03	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.517e-01	5.690e-01	3.574e-01	3.345e-01	3.707e-01	2.500e-01	2.414e-01	2.586e-01	1.810e-01	1.527e-01	2.069e-01	7.941e-01	7.938e-01	7.948e-01	5.348e-01	5.307e-01	5.383e-01	3.397e-01	3.334e-01	3.448e-01	1.941e-01	1.879e-01	2.000e-01	8.448e-02	8.138e-02	8.931e-02	7.931e-01	7.931e-01	7.931e-01	5.580e-01	5.474e-01	5.647e-01	3.554e-01	3.414e-01	3.678e-01	2.460e-01	2.356e-01	2.529e-01	1.527e-01	1.293e-01	2.069e-01	7.941e-01	7.934e-01	7.948e-01	5.352e-01	5.310e-01	5.376e-01	3.369e-01	3.331e-01	3.400e-01	1.948e-01	1.897e-01	2.007e-01	8.483e-02	8.000e-02	8.724e-02
1.600e+03	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.517e-01	5.709e-01	3.586e-01	3.345e-01	3.660e-01	2.517e-01	2.414e-01	2.602e-01	1.916e-01	1.576e-01	2.155e-01	7.941e-01	7.934e-01	7.945e-01	5.348e-01	5.303e-01	5.379e-01	3.400e-01	3.348e-01	3.455e-01	1.945e-01	1.872e-01	1.990e-01	8.483e-02	8.138e-02	9.034e-02	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.479e-01	5.670e-01	3.605e-01	3.350e-01	3.707e-01	2.500e-01	2.345e-01	2.571e-01	1.478e-01	1.293e-01	2.107e-01	7.941e-01	7.934e-01	7.948e-01	5.338e-01	5.300e-01	5.372e-01	3.372e-01	3.334e-01	3.403e-01	1.948e-01	1.897e-01	2.010e-01	8.483e-02	8.034e-02	8.724e-02
1.700e+03	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.517e-01	5.709e-01	3.605e-01	3.345e-01	3.668e-01	2.552e-01	2.414e-01	2.644e-01	1.916e-01	1.675e-01	2.155e-01	7.941e-01	7.938e-01	7.948e-01	5.352e-01	5.317e-01	5.390e-01	3.407e-01	3.355e-01	3.434e-01	1.952e-01	1.876e-01	2.007e-01	8.552e-02	8.138e-02	9.138e-02	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.479e-01	5.670e-01	3.621e-01	3.362e-01	3.707e-01	2.500e-01	2.382e-01	2.633e-01	1.478e-01	1.293e-01	2.112e-01	7.941e-01	7.934e-01	7.948e-01	5.355e-01	5.303e-01	5.369e-01	3.379e-01	3.334e-01	3.410e-01	1.938e-01	1.893e-01	1.997e-01	8.379e-02	8.103e-02	8.828e-02
1.800e+03	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.517e-01	5.709e-01	3.592e-01	3.345e-01	3.660e-01	2.552e-01	2.414e-01	2.644e-01	1.916e-01	1.675e-01	2.184e-01	7.941e-01	7.938e-01	7.948e-01	5.366e-01	5.317e-01	5.407e-01	3.407e-01	3.362e-01	3.438e-01	1.948e-01	1.900e-01	2.010e-01	8.793e-02	8.172e-02	9.138e-02	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.517e-01	5.670e-01	3.605e-01	3.369e-01	3.707e-01	2.529e-01	2.414e-01	2.629e-01	1.552e-01	1.322e-01	2.146e-01	7.941e-01	7.934e-01	7.948e-01	5.352e-01	5.303e-01	5.376e-01	3.379e-01	3.338e-01	3.410e-01	1.938e-01	1.890e-01	1.979e-01	8.414e-02	7.966e-02	8.724e-02
1.900e+03	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.517e-01	5.724e-01	3.605e-01	3.369e-01	3.660e-01	2.552e-01	2.414e-01	2.644e-01	1.916e-01	1.724e-01	2.261e-01	7.941e-01	7.934e-01	7.948e-01	5.366e-01	5.324e-01	5.414e-01	3.407e-01	3.372e-01	3.445e-01	1.955e-01	1.903e-01	2.021e-01	8.828e-02	8.310e-02	9.207e-02	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.479e-01	5.670e-01	3.605e-01	3.391e-01	3.707e-01	2.529e-01	2.414e-01	2.655e-01	1.552e-01	1.322e-01	2.146e-01	7.941e-01	7.934e-01	7.948e-01	5.348e-01	5.307e-01	5.376e-01	3.372e-01	3.338e-01	3.403e-01	1.941e-01	1.900e-01	1.976e-01	8.414e-02	8.000e-02	8.759e-02
2.000e+03	7.931e-01	7.931e-01	7.931e-01	5.586e-01	5.517e-01	5.724e-01	3.605e-01	3.448e-01	3.660e-01	2.552e-01	2.414e-01	2.644e-01	1.954e-01	1.762e-01	2.261e-01	7.941e-01	7.934e-01	7.948e-01	5.355e-01	5.328e-01	5.410e-01	3.414e-01	3.376e-01	3.462e-01	1.969e-01	1.907e-01	2.041e-01	9.000e-02	8.207e-02	9.207e-02	7.931e-01	7.931e-01	7.931e-01	5.594e-01	5.479e-01	5.670e-01	3.605e-01	3.414e-01	3.707e-01	2.529e-01	2.467e-01	2.727e-01	1.724e-01	1.379e-01	2.103e-01	7.941e-01	7.934e-01	7.948e-01	5.352e-01	5.310e-01	5.372e-01	3.376e-01	3.334e-01	3.403e-01	1.945e-01	1.907e-01	1.976e-01	8.414e-02	8.069e-02	8.759e-02
