n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.brain.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.brain.epistasis.sd.max
1.100e+03	0.000e+00	0.000e+00	0.000e+00	7.471e-02	6.905e-02	7.815e-02	9.561e-02	7.290e-02	1.033e-01	1.104e-01	1.053e-01	1.198e-01	7.601e-02	5.452e-02	8.389e-02	5.882e-03	3.431e-03	7.515e-03	4.037e-02	3.882e-02	4.175e-02	5.902e-02	5.568e-02	6.283e-02	6.021e-02	5.736e-02	6.273e-02	4.734e-02	4.381e-02	4.941e-02	0.000e+00	0.000e+00	0.000e+00	7.229e-02	6.897e-02	7.796e-02	9.586e-02	8.200e-02	1.069e-01	1.089e-01	1.043e-01	1.146e-01	6.502e-02	3.379e-02	9.373e-02	5.882e-03	3.431e-03	7.515e-03	4.095e-02	3.876e-02	4.298e-02	6.085e-02	5.613e-02	6.299e-02	6.115e-02	5.753e-02	6.492e-02	4.683e-02	4.478e-02	5.079e-02
1.200e+03	0.000e+00	0.000e+00	0.000e+00	7.601e-02	6.990e-02	7.980e-02	9.561e-02	7.749e-02	1.033e-01	1.103e-01	1.048e-01	1.207e-01	7.794e-02	5.452e-02	8.949e-02	5.882e-03	3.431e-03	7.515e-03	4.044e-02	3.910e-02	4.197e-02	5.935e-02	5.630e-02	6.231e-02	5.940e-02	5.717e-02	6.247e-02	4.714e-02	4.405e-02	4.975e-02	0.000e+00	0.000e+00	0.000e+00	7.364e-02	6.897e-02	7.815e-02	1.006e-01	8.510e-02	1.076e-01	1.121e-01	1.048e-01	1.185e-01	6.603e-02	3.301e-02	9.373e-02	5.882e-03	4.828e-03	7.515e-03	4.032e-02	3.910e-02	4.234e-02	5.904e-02	5.590e-02	6.292e-02	6.274e-02	5.718e-02	6.493e-02	4.672e-02	4.451e-02	5.025e-02
1.300e+03	0.000e+00	0.000e+00	0.000e+00	7.510e-02	7.086e-02	7.982e-02	9.580e-02	7.749e-02	1.044e-01	1.112e-01	1.044e-01	1.181e-01	7.794e-02	5.517e-02	9.904e-02	5.882e-03	4.828e-03	7.515e-03	4.063e-02	3.898e-02	4.242e-02	5.910e-02	5.549e-02	6.282e-02	6.046e-02	5.751e-02	6.231e-02	4.719e-02	4.508e-02	4.934e-02	0.000e+00	0.000e+00	0.000e+00	7.410e-02	6.931e-02	7.863e-02	1.033e-01	8.785e-02	1.071e-01	1.111e-01	1.051e-01	1.182e-01	7.789e-02	3.812e-02	9.373e-02	6.757e-03	4.828e-03	8.189e-03	4.036e-02	3.928e-02	4.202e-02	5.939e-02	5.587e-02	6.334e-02	6.191e-02	5.739e-02	6.520e-02	4.733e-02	4.472e-02	5.021e-02
1.400e+03	0.000e+00	0.000e+00	0.000e+00	7.510e-02	7.075e-02	7.982e-02	9.491e-02	7.749e-02	1.054e-01	1.127e-01	1.044e-01	1.195e-01	7.889e-02	7.075e-02	9.586e-02	5.882e-03	4.828e-03	7.515e-03	4.062e-02	3.915e-02	4.198e-02	5.829e-02	5.591e-02	6.323e-02	6.012e-02	5.743e-02	6.286e-02	4.734e-02	4.476e-02	4.980e-02	0.000e+00	0.000e+00	0.000e+00	7.624e-02	6.990e-02	7.871e-02	1.020e-01	8.865e-02	1.062e-01	1.132e-01	1.065e-01	1.198e-01	7.794e-02	3.982e-02	1.021e-01	5.882e-03	3.431e-03	7.515e-03	4.077e-02	3.941e-02	4.206e-02	6.002e-02	5.603e-02	6.285e-02	6.087e-02	5.841e-02	6.511e-02	4.780e-02	4.497e-02	5.014e-02
1.500e+03	0.000e+00	0.000e+00	0.000e+00	7.523e-02	7.142e-02	7.982e-02	9.467e-02	8.648e-02	1.055e-01	1.127e-01	1.064e-01	1.195e-01	8.037e-02	7.100e-02	1.049e-01	5.882e-03	4.828e-03	7.515e-03	4.065e-02	3.853e-02	4.181e-02	5.843e-02	5.608e-02	6.340e-02	6.076e-02	5.853e-02	6.287e-02	4.753e-02	4.456e-02	4.910e-02	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.229e-02	7.833e-02	1.009e-01	9.227e-02	1.063e-01	1.134e-01	1.065e-01	1.182e-01	7.794e-02	4.479e-02	1.105e-01	5.882e-03	3.431e-03	7.515e-03	4.132e-02	3.851e-02	4.173e-02	5.923e-02	5.615e-02	6.261e-02	6.104e-02	5.658e-02	6.431e-02	4.715e-02	4.439e-02	5.014e-02
1.600e+03	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.270e-02	7.963e-02	9.531e-02	8.369e-02	1.104e-01	1.135e-01	1.064e-01	1.195e-01	8.309e-02	7.315e-02	1.063e-01	5.882e-03	3.431e-03	6.757e-03	4.089e-02	3.895e-02	4.169e-02	5.913e-02	5.525e-02	6.250e-02	6.062e-02	5.780e-02	6.328e-02	4.770e-02	4.525e-02	4.932e-02	0.000e+00	0.000e+00	0.000e+00	7.625e-02	7.229e-02	7.889e-02	1.033e-01	9.570e-02	1.086e-01	1.156e-01	1.065e-01	1.182e-01	7.794e-02	4.479e-02	1.099e-01	5.882e-03	3.431e-03	7.515e-03	4.106e-02	3.855e-02	4.230e-02	5.927e-02	5.538e-02	6.321e-02	6.120e-02	5.788e-02	6.463e-02	4.665e-02	4.508e-02	5.005e-02
1.700e+03	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.270e-02	7.926e-02	9.896e-02	8.369e-02	1.139e-01	1.136e-01	1.064e-01	1.190e-01	8.447e-02	7.695e-02	1.075e-01	5.882e-03	4.828e-03	7.515e-03	4.120e-02	3.851e-02	4.243e-02	5.829e-02	5.454e-02	6.166e-02	6.176e-02	5.885e-02	6.385e-02	4.808e-02	4.519e-02	5.039e-02	0.000e+00	0.000e+00	0.000e+00	7.625e-02	7.229e-02	7.889e-02	1.042e-01	9.642e-02	1.127e-01	1.164e-01	1.079e-01	1.187e-01	7.794e-02	5.100e-02	1.162e-01	5.882e-03	3.431e-03	7.515e-03	4.120e-02	3.898e-02	4.248e-02	5.885e-02	5.528e-02	6.408e-02	6.141e-02	5.743e-02	6.515e-02	4.733e-02	4.497e-02	5.053e-02
1.800e+03	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.270e-02	7.926e-02	9.896e-02	8.999e-02	1.117e-01	1.139e-01	1.028e-01	1.215e-01	9.149e-02	7.695e-02	1.066e-01	5.882e-03	4.828e-03	7.515e-03	4.091e-02	3.848e-02	4.345e-02	5.885e-02	5.396e-02	6.104e-02	6.242e-02	5.865e-02	6.326e-02	4.878e-02	4.562e-02	4.994e-02	0.000e+00	0.000e+00	0.000e+00	7.644e-02	7.229e-02	7.893e-02	1.031e-01	9.652e-02	1.127e-01	1.170e-01	1.112e-01	1.230e-01	8.091e-02	5.068e-02	1.195e-01	5.882e-03	3.431e-03	7.515e-03	4.087e-02	3.970e-02	4.290e-02	5.934e-02	5.557e-02	6.396e-02	6.057e-02	5.821e-02	6.407e-02	4.708e-02	4.535e-02	5.005e-02
1.900e+03	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.241e-02	7.918e-02	9.896e-02	8.999e-02	1.117e-01	1.136e-01	1.038e-01	1.231e-01	8.870e-02	7.926e-02	1.067e-01	5.882e-03	3.431e-03	7.515e-03	4.083e-02	3.880e-02	4.337e-02	5.873e-02	5.250e-02	6.258e-02	6.290e-02	5.902e-02	6.479e-02	4.800e-02	4.588e-02	5.017e-02	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.229e-02	7.893e-02	1.033e-01	9.672e-02	1.131e-01	1.170e-01	1.112e-01	1.252e-01	8.510e-02	5.068e-02	1.165e-01	5.882e-03	3.431e-03	7.515e-03	4.135e-02	3.974e-02	4.258e-02	5.885e-02	5.591e-02	6.431e-02	6.101e-02	5.894e-02	6.344e-02	4.707e-02	4.556e-02	4.911e-02
2.000e+03	0.000e+00	0.000e+00	0.000e+00	7.563e-02	7.241e-02	7.918e-02	9.953e-02	9.127e-02	1.117e-01	1.171e-01	1.038e-01	1.238e-01	8.919e-02	7.982e-02	1.134e-01	5.882e-03	3.431e-03	7.515e-03	4.041e-02	3.804e-02	4.304e-02	5.914e-02	5.388e-02	6.252e-02	6.299e-02	5.820e-02	6.433e-02	4.835e-02	4.545e-02	5.047e-02	0.000e+00	0.000e+00	0.000e+00	7.624e-02	7.229e-02	7.893e-02	1.054e-01	9.850e-02	1.131e-01	1.175e-01	1.112e-01	1.252e-01	8.510e-02	5.068e-02	1.130e-01	5.882e-03	3.431e-03	7.515e-03	4.116e-02	3.947e-02	4.348e-02	5.918e-02	5.467e-02	6.317e-02	6.083e-02	5.743e-02	6.457e-02	4.687e-02	4.530e-02	4.968e-02
