_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.ga.single.ds	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.ga.single.ds	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
2.729e-02	1.222e-02	1.443e-02	6.451e-04	7.235e-03	1.839e-03	8.670e-03	7.579e-03	2.898e-03	3.914e-02	5.648e-03	1.152e-02	3.976e-03	8.705e-03	1.636e-03	3.398e-03	5.529e-03	2.164e-03	4.880e-03	1.079e-03	1.108e-02	2.960e-03
7.091e-03	2.252e-02	4.197e-02	2.012e-03	8.721e-03	1.016e-02	7.139e-03	1.719e-03	5.748e-03	1.221e-02	6.961e-03	7.423e-03	1.023e-02	2.017e-03	1.478e-04	4.534e-03	3.885e-03	8.426e-04	1.365e-03	6.639e-03	2.529e-03	9.135e-03
2.037e-02	2.435e-02	2.798e-02	2.085e-04	1.195e-02	6.364e-04	2.743e-03	3.037e-03	8.905e-03	8.920e-02	5.586e-03	1.550e-02	8.202e-03	6.203e-03	1.858e-04	1.599e-03	3.846e-03	1.892e-03	8.484e-04	5.307e-03	8.193e-03	6.294e-03
2.068e-02	5.922e-03	3.861e-03	2.300e-01	9.722e-03	9.849e-03	2.767e-03	6.608e-03	7.364e-03	4.643e-02	1.434e-02	7.610e-03	1.032e-02	5.966e-03	6.757e-04	6.882e-03	1.209e-03	2.937e-03	1.141e-03	4.352e-03	2.140e-02	1.125e-03
1.220e-02	1.244e-02	1.147e-02	8.202e-04	5.880e-03	8.675e-03	3.437e-03	3.246e-03	2.701e-03	7.026e-03	2.120e-03	6.406e-03	5.498e-03	5.527e-03	3.554e-04	2.097e-03	1.124e-03	9.543e-04	2.873e-03	2.065e-03	1.069e-02	5.001e-03
2.834e-03	4.506e-02	3.501e-03	1.980e-03	3.376e-03	7.454e-04	2.244e-02	3.178e-03	4.210e-03	1.652e-02	8.863e-03	4.599e-03	1.053e-02	8.477e-03	1.761e-03	2.412e-03	1.595e-03	5.222e-03	4.225e-03	2.844e-03	5.377e-03	3.143e-03
1.629e-02	1.242e-02	2.358e-03	1.121e-03	3.822e-03	4.524e-03	4.894e-03	6.063e-03	3.655e-04	1.363e-02	3.832e-02	3.520e-03	1.064e-03	2.472e-03	2.053e-04	2.485e-03	1.621e-03	1.572e-03	1.449e-03	3.748e-03	9.076e-03	1.311e-02
1.051e-02	2.904e-03	2.300e-01	2.184e-03	4.057e-03	9.853e-03	3.055e-03	3.222e-04	1.798e-03	2.043e-01	1.114e-01	3.857e-03	1.701e-02	4.933e-03	1.158e-04	1.244e-03	1.670e-03	9.059e-03	3.354e-03	5.269e-03	1.520e-02	3.085e-03
2.878e-02	3.013e-02	2.298e-02	4.728e-04	2.860e-03	9.607e-04	1.240e-03	3.563e-03	3.150e-03	3.808e-02	1.599e-02	3.372e-03	1.050e-02	3.616e-03	8.601e-04	3.138e-03	1.371e-03	7.509e-03	2.317e-03	9.585e-04	1.534e-02	2.084e-03
4.826e-02	6.492e-02	1.665e-02	1.730e-04	8.873e-03	1.246e-03	2.519e-03	1.697e-02	1.820e-02	6.129e-03	9.593e-03	1.151e-02	4.601e-03	3.795e-03	2.249e-03	7.385e-05	1.206e-03	5.067e-03	1.249e-03	1.706e-03	6.028e-03	9.453e-04
1.119e-02	7.194e-02	1.088e-02	4.876e-04	1.798e-03	3.489e-03	4.643e-03	1.054e-03	5.070e-03	3.300e-03	1.975e-02	6.799e-03	7.829e-03	2.457e-03	2.488e-03	4.988e-03	6.378e-04	1.977e-03	5.251e-03	7.382e-03	6.438e-03	1.656e-03
2.920e-03	2.301e-02	3.529e-03	5.672e-04	6.879e-03	1.425e-02	6.902e-03	8.961e-03	9.215e-04	1.296e-02	1.092e-02	7.952e-03	2.468e-02	6.647e-03	4.821e-04	4.530e-03	1.777e-03	6.058e-03	5.272e-03	4.517e-03	6.294e-03	1.768e-03
5.741e-03	6.157e-03	6.316e-02	1.492e-03	2.898e-03	2.582e-03	1.855e-04	1.125e-02	8.582e-03	5.944e-03	4.572e-03	9.663e-04	1.072e-02	3.759e-03	3.705e-04	4.309e-03	1.551e-03	4.239e-03	1.298e-03	2.548e-03	3.857e-03	1.974e-03
