n.evals.q.1.0.	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.me.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.e_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.me.epistasis.5.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.2.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.2.0.all.each.global.epistasis.sd.max	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.min	_.vs.4.nav.y_maze.ga.epistasis.5.0.all.each.global.epistasis.sd.max
1.100e+03	0.000e+00	0.000e+00	0.000e+00	5.876e-02	4.895e-02	6.388e-02	7.600e-02	5.614e-02	8.986e-02	9.768e-02	8.907e-02	1.068e-01	6.765e-02	5.736e-02	8.964e-02	3.015e-03	3.015e-03	5.169e-03	3.246e-02	3.015e-02	3.404e-02	5.422e-02	5.129e-02	5.696e-02	5.858e-02	5.472e-02	6.121e-02	4.728e-02	4.328e-02	4.949e-02	0.000e+00	0.000e+00	0.000e+00	5.533e-02	4.482e-02	6.023e-02	7.694e-02	6.970e-02	8.182e-02	9.447e-02	8.835e-02	1.125e-01	6.408e-02	4.072e-02	8.964e-02	3.015e-03	0.000e+00	4.242e-03	3.287e-02	3.123e-02	3.491e-02	5.416e-02	5.219e-02	5.596e-02	5.794e-02	5.388e-02	6.146e-02	4.585e-02	4.355e-02	4.899e-02
1.200e+03	0.000e+00	0.000e+00	0.000e+00	5.921e-02	4.738e-02	6.546e-02	7.709e-02	5.614e-02	8.986e-02	9.698e-02	8.866e-02	1.068e-01	7.177e-02	5.819e-02	9.083e-02	3.015e-03	0.000e+00	5.169e-03	3.151e-02	3.033e-02	3.438e-02	5.432e-02	5.166e-02	5.740e-02	5.893e-02	5.472e-02	6.132e-02	4.635e-02	4.461e-02	4.839e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.542e-02	6.023e-02	7.814e-02	6.998e-02	8.182e-02	9.602e-02	8.989e-02	1.125e-01	6.243e-02	4.072e-02	9.085e-02	4.242e-03	0.000e+00	4.242e-03	3.317e-02	3.105e-02	3.477e-02	5.393e-02	5.100e-02	5.677e-02	5.761e-02	5.418e-02	6.364e-02	4.623e-02	4.294e-02	4.970e-02
1.300e+03	0.000e+00	0.000e+00	0.000e+00	5.921e-02	4.738e-02	6.634e-02	7.709e-02	5.992e-02	8.986e-02	1.007e-01	8.866e-02	1.068e-01	7.413e-02	6.247e-02	9.196e-02	3.015e-03	0.000e+00	5.169e-03	3.182e-02	3.057e-02	3.429e-02	5.489e-02	5.171e-02	5.756e-02	5.820e-02	5.505e-02	5.977e-02	4.762e-02	4.399e-02	4.907e-02	0.000e+00	0.000e+00	0.000e+00	5.620e-02	4.617e-02	5.953e-02	7.696e-02	6.998e-02	8.571e-02	9.539e-02	9.070e-02	1.124e-01	6.762e-02	4.165e-02	9.085e-02	4.242e-03	0.000e+00	5.169e-03	3.289e-02	3.118e-02	3.495e-02	5.359e-02	5.116e-02	5.674e-02	5.868e-02	5.546e-02	6.298e-02	4.647e-02	4.367e-02	4.869e-02
1.400e+03	0.000e+00	0.000e+00	0.000e+00	6.061e-02	4.902e-02	6.634e-02	7.738e-02	5.868e-02	9.009e-02	1.012e-01	8.866e-02	1.088e-01	7.689e-02	6.165e-02	9.340e-02	3.015e-03	0.000e+00	5.169e-03	3.169e-02	3.072e-02	3.365e-02	5.368e-02	5.160e-02	5.839e-02	5.879e-02	5.605e-02	6.096e-02	4.779e-02	4.423e-02	4.979e-02	0.000e+00	0.000e+00	0.000e+00	5.553e-02	4.762e-02	5.953e-02	8.003e-02	6.998e-02	8.571e-02	9.884e-02	9.196e-02	1.124e-01	7.007e-02	4.871e-02	9.085e-02	3.015e-03	0.000e+00	5.169e-03	3.317e-02	3.127e-02	3.428e-02	5.348e-02	5.108e-02	5.673e-02	5.861e-02	5.526e-02	6.176e-02	4.707e-02	4.393e-02	4.908e-02
1.500e+03	0.000e+00	0.000e+00	0.000e+00	5.921e-02	4.970e-02	6.563e-02	7.965e-02	5.868e-02	9.583e-02	9.889e-02	9.049e-02	1.123e-01	7.689e-02	6.273e-02	9.694e-02	3.015e-03	0.000e+00	5.169e-03	3.164e-02	3.051e-02	3.376e-02	5.449e-02	5.166e-02	5.718e-02	5.884e-02	5.562e-02	6.191e-02	4.785e-02	4.389e-02	5.030e-02	0.000e+00	0.000e+00	0.000e+00	5.553e-02	4.971e-02	5.966e-02	8.079e-02	7.173e-02	8.612e-02	9.718e-02	9.196e-02	1.110e-01	7.218e-02	5.544e-02	1.021e-01	3.015e-03	0.000e+00	5.169e-03	3.320e-02	3.118e-02	3.446e-02	5.325e-02	5.038e-02	5.525e-02	5.877e-02	5.589e-02	6.212e-02	4.673e-02	4.418e-02	4.893e-02
1.600e+03	0.000e+00	0.000e+00	0.000e+00	5.966e-02	4.971e-02	6.496e-02	7.908e-02	5.868e-02	9.871e-02	1.013e-01	9.388e-02	1.103e-01	7.689e-02	6.362e-02	9.812e-02	3.015e-03	0.000e+00	5.169e-03	3.204e-02	3.051e-02	3.375e-02	5.319e-02	5.076e-02	5.718e-02	5.849e-02	5.491e-02	6.199e-02	4.779e-02	4.495e-02	4.983e-02	0.000e+00	0.000e+00	0.000e+00	5.614e-02	4.971e-02	5.966e-02	8.218e-02	7.478e-02	8.612e-02	9.794e-02	9.513e-02	1.144e-01	7.107e-02	5.578e-02	1.021e-01	3.015e-03	0.000e+00	5.169e-03	3.333e-02	3.128e-02	3.465e-02	5.359e-02	4.989e-02	5.544e-02	5.911e-02	5.589e-02	6.193e-02	4.709e-02	4.472e-02	4.910e-02
1.700e+03	0.000e+00	0.000e+00	0.000e+00	6.079e-02	5.080e-02	6.496e-02	7.644e-02	6.527e-02	9.950e-02	1.009e-01	9.178e-02	1.109e-01	7.689e-02	6.851e-02	9.999e-02	3.015e-03	0.000e+00	5.169e-03	3.207e-02	3.038e-02	3.361e-02	5.271e-02	4.928e-02	5.748e-02	5.817e-02	5.659e-02	6.262e-02	4.877e-02	4.521e-02	4.958e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.971e-02	6.110e-02	8.356e-02	7.564e-02	9.449e-02	9.974e-02	9.513e-02	1.135e-01	7.107e-02	5.710e-02	1.008e-01	4.242e-03	0.000e+00	5.169e-03	3.323e-02	3.164e-02	3.465e-02	5.351e-02	4.912e-02	5.556e-02	6.024e-02	5.581e-02	6.217e-02	4.719e-02	4.485e-02	4.949e-02
1.800e+03	0.000e+00	0.000e+00	0.000e+00	6.079e-02	5.080e-02	6.496e-02	7.644e-02	6.007e-02	9.871e-02	1.013e-01	9.064e-02	1.112e-01	7.925e-02	6.851e-02	9.999e-02	3.015e-03	0.000e+00	5.169e-03	3.193e-02	3.085e-02	3.339e-02	5.310e-02	4.920e-02	5.675e-02	5.855e-02	5.533e-02	6.225e-02	4.791e-02	4.587e-02	5.002e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.971e-02	6.227e-02	8.356e-02	7.653e-02	9.449e-02	1.023e-01	9.649e-02	1.135e-01	7.759e-02	5.578e-02	1.008e-01	4.242e-03	0.000e+00	4.242e-03	3.332e-02	3.186e-02	3.428e-02	5.401e-02	4.945e-02	5.483e-02	5.958e-02	5.616e-02	6.237e-02	4.617e-02	4.494e-02	4.912e-02
1.900e+03	0.000e+00	0.000e+00	0.000e+00	6.190e-02	5.106e-02	6.496e-02	7.644e-02	5.869e-02	9.871e-02	1.017e-01	9.165e-02	1.167e-01	7.925e-02	6.851e-02	1.027e-01	3.015e-03	0.000e+00	5.169e-03	3.207e-02	3.110e-02	3.405e-02	5.296e-02	4.940e-02	5.814e-02	5.883e-02	5.546e-02	6.446e-02	4.777e-02	4.614e-02	4.984e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.971e-02	6.299e-02	8.473e-02	7.653e-02	9.449e-02	1.043e-01	9.649e-02	1.144e-01	7.994e-02	5.578e-02	1.034e-01	3.015e-03	0.000e+00	5.169e-03	3.290e-02	3.181e-02	3.420e-02	5.348e-02	4.985e-02	5.550e-02	5.833e-02	5.615e-02	6.297e-02	4.669e-02	4.330e-02	4.783e-02
2.000e+03	0.000e+00	0.000e+00	0.000e+00	6.128e-02	5.116e-02	6.496e-02	7.694e-02	6.366e-02	9.871e-02	1.017e-01	9.474e-02	1.167e-01	8.866e-02	6.851e-02	1.027e-01	3.015e-03	0.000e+00	5.169e-03	3.205e-02	3.101e-02	3.429e-02	5.378e-02	4.988e-02	5.742e-02	6.036e-02	5.626e-02	6.238e-02	4.779e-02	4.646e-02	5.036e-02	0.000e+00	0.000e+00	0.000e+00	5.661e-02	4.971e-02	6.209e-02	8.694e-02	7.898e-02	9.619e-02	1.059e-01	9.649e-02	1.144e-01	8.236e-02	5.578e-02	1.034e-01	3.015e-03	0.000e+00	5.169e-03	3.344e-02	3.150e-02	3.414e-02	5.222e-02	4.981e-02	5.510e-02	5.738e-02	5.466e-02	6.385e-02	4.616e-02	4.349e-02	4.837e-02
