n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.global.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.global.pleiotropy.sd.max
1.800e+03	5.412e-02	4.970e-02	5.669e-02	1.092e-01	9.460e-02	1.149e-01	1.056e-01	9.691e-02	1.270e-01	5.446e-02	5.233e-02	5.546e-02	1.034e-01	9.426e-02	1.217e-01	1.111e-01	1.029e-01	1.184e-01
1.900e+03	5.323e-02	4.977e-02	5.641e-02	1.082e-01	9.471e-02	1.155e-01	1.060e-01	9.520e-02	1.225e-01	5.410e-02	5.205e-02	5.682e-02	1.033e-01	9.101e-02	1.179e-01	1.084e-01	9.760e-02	1.188e-01
2.000e+03	5.444e-02	4.921e-02	5.744e-02	1.035e-01	9.254e-02	1.124e-01	1.063e-01	9.488e-02	1.206e-01	5.374e-02	5.143e-02	5.629e-02	1.025e-01	9.019e-02	1.164e-01	1.096e-01	9.907e-02	1.166e-01
2.100e+03	5.404e-02	4.880e-02	5.740e-02	9.954e-02	8.871e-02	1.088e-01	1.003e-01	9.271e-02	1.199e-01	5.295e-02	5.183e-02	5.614e-02	9.925e-02	8.627e-02	1.166e-01	1.057e-01	9.477e-02	1.120e-01
2.200e+03	5.405e-02	4.877e-02	5.556e-02	9.849e-02	8.640e-02	1.067e-01	1.009e-01	8.881e-02	1.180e-01	5.433e-02	5.173e-02	5.602e-02	9.945e-02	8.446e-02	1.161e-01	9.992e-02	9.473e-02	1.131e-01
2.300e+03	5.439e-02	4.874e-02	5.645e-02	9.281e-02	8.400e-02	1.071e-01	1.014e-01	8.899e-02	1.146e-01	5.344e-02	5.143e-02	5.691e-02	9.813e-02	8.291e-02	1.149e-01	9.968e-02	9.081e-02	1.097e-01
2.400e+03	5.349e-02	4.937e-02	5.675e-02	9.177e-02	8.045e-02	1.049e-01	9.736e-02	8.830e-02	1.129e-01	5.306e-02	5.104e-02	5.659e-02	9.757e-02	8.080e-02	1.111e-01	9.809e-02	8.850e-02	1.074e-01
2.500e+03	5.349e-02	4.883e-02	5.691e-02	8.856e-02	7.805e-02	1.041e-01	9.705e-02	8.589e-02	1.138e-01	5.482e-02	5.083e-02	5.664e-02	9.795e-02	8.103e-02	1.110e-01	9.820e-02	8.718e-02	1.079e-01
2.600e+03	5.384e-02	4.884e-02	5.618e-02	8.587e-02	7.805e-02	1.015e-01	9.674e-02	8.500e-02	1.116e-01	5.468e-02	5.091e-02	5.621e-02	9.506e-02	8.101e-02	1.043e-01	9.790e-02	8.638e-02	1.064e-01
2.700e+03	5.319e-02	4.856e-02	5.763e-02	8.533e-02	7.541e-02	1.012e-01	9.537e-02	8.449e-02	1.087e-01	5.404e-02	5.096e-02	5.595e-02	9.318e-02	7.834e-02	1.045e-01	9.421e-02	8.582e-02	1.061e-01
2.800e+03	5.288e-02	4.893e-02	5.634e-02	8.326e-02	7.569e-02	1.005e-01	9.355e-02	8.249e-02	1.093e-01	5.408e-02	5.094e-02	5.703e-02	9.333e-02	7.833e-02	1.004e-01	9.409e-02	8.608e-02	1.008e-01
2.900e+03	5.340e-02	4.782e-02	5.695e-02	8.318e-02	7.248e-02	9.939e-02	9.122e-02	7.483e-02	1.088e-01	5.319e-02	5.047e-02	5.579e-02	9.350e-02	7.729e-02	1.007e-01	9.433e-02	8.553e-02	9.997e-02
3.000e+03	5.307e-02	4.770e-02	5.677e-02	8.086e-02	7.223e-02	9.624e-02	8.848e-02	7.228e-02	1.057e-01	5.290e-02	5.067e-02	5.566e-02	8.903e-02	7.918e-02	1.017e-01	9.363e-02	8.448e-02	9.882e-02
3.100e+03	5.395e-02	4.782e-02	5.669e-02	8.044e-02	7.030e-02	9.529e-02	8.599e-02	7.791e-02	1.028e-01	5.299e-02	5.089e-02	5.548e-02	8.841e-02	7.371e-02	1.018e-01	9.334e-02	8.116e-02	9.824e-02
3.200e+03	5.388e-02	4.826e-02	5.686e-02	7.968e-02	6.836e-02	9.196e-02	8.571e-02	7.789e-02	1.033e-01	5.286e-02	5.087e-02	5.518e-02	8.885e-02	7.086e-02	9.941e-02	9.324e-02	8.003e-02	9.829e-02
