n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.best.quality.behavior.quality.final.dist.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.best.quality.behavior.quality.final.dist.max
1.800e+03	2.346e-01	2.322e-01	2.412e-01	2.336e-01	2.309e-01	2.387e-01	2.328e-01	2.312e-01	2.407e-01	5.570e-02	3.387e-02	9.436e-02	1.001e-01	5.262e-02	1.264e-01	6.907e-02	4.571e-02	8.783e-02
1.900e+03	2.345e-01	2.317e-01	2.395e-01	2.336e-01	2.309e-01	2.387e-01	2.328e-01	2.312e-01	2.388e-01	5.570e-02	3.387e-02	9.436e-02	8.882e-02	5.262e-02	1.189e-01	6.298e-02	4.167e-02	8.611e-02
2.000e+03	2.337e-01	2.316e-01	2.390e-01	2.326e-01	2.309e-01	2.387e-01	2.328e-01	2.312e-01	2.388e-01	5.225e-02	3.387e-02	9.436e-02	8.882e-02	5.258e-02	1.162e-01	5.700e-02	3.701e-02	8.611e-02
2.100e+03	2.326e-01	2.311e-01	2.364e-01	2.324e-01	2.305e-01	2.379e-01	2.326e-01	2.312e-01	2.345e-01	5.225e-02	3.387e-02	9.436e-02	8.882e-02	5.258e-02	1.162e-01	5.700e-02	3.701e-02	8.611e-02
2.200e+03	2.322e-01	2.304e-01	2.359e-01	2.320e-01	2.305e-01	2.379e-01	2.326e-01	2.312e-01	2.345e-01	5.225e-02	3.387e-02	9.436e-02	8.882e-02	5.258e-02	1.091e-01	5.700e-02	3.701e-02	8.611e-02
2.300e+03	2.318e-01	2.304e-01	2.333e-01	2.320e-01	2.305e-01	2.379e-01	2.326e-01	2.312e-01	2.342e-01	4.633e-02	3.296e-02	9.436e-02	8.882e-02	5.258e-02	1.091e-01	5.700e-02	3.701e-02	8.611e-02
2.400e+03	2.318e-01	2.304e-01	2.333e-01	2.315e-01	2.304e-01	2.337e-01	2.322e-01	2.308e-01	2.339e-01	4.633e-02	3.296e-02	9.436e-02	8.882e-02	5.258e-02	1.071e-01	5.700e-02	3.701e-02	8.611e-02
2.500e+03	2.316e-01	2.304e-01	2.333e-01	2.315e-01	2.304e-01	2.337e-01	2.322e-01	2.308e-01	2.339e-01	4.534e-02	3.296e-02	7.906e-02	8.757e-02	5.158e-02	1.071e-01	5.435e-02	3.442e-02	8.413e-02
2.600e+03	2.313e-01	2.304e-01	2.332e-01	2.315e-01	2.304e-01	2.337e-01	2.321e-01	2.308e-01	2.339e-01	4.534e-02	3.296e-02	7.906e-02	7.930e-02	4.825e-02	1.037e-01	5.435e-02	3.442e-02	8.413e-02
2.700e+03	2.312e-01	2.304e-01	2.328e-01	2.315e-01	2.304e-01	2.329e-01	2.319e-01	2.307e-01	2.334e-01	4.352e-02	3.215e-02	7.906e-02	7.780e-02	4.394e-02	1.037e-01	5.347e-02	3.442e-02	7.610e-02
