n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max
7.200e+03	5.850e-02	5.211e-02	6.648e-02	6.101e-02	5.519e-02	7.107e-02	7.758e-02	5.940e-02	8.626e-02	6.108e-02	5.676e-02	6.400e-02	6.748e-02	6.111e-02	8.045e-02	7.158e-02	6.593e-02	7.550e-02
7.300e+03	5.843e-02	5.211e-02	6.677e-02	6.039e-02	5.509e-02	7.054e-02	7.770e-02	5.919e-02	8.275e-02	6.120e-02	5.718e-02	6.528e-02	6.748e-02	6.173e-02	8.045e-02	7.158e-02	6.629e-02	7.468e-02
7.400e+03	5.838e-02	5.196e-02	6.783e-02	6.020e-02	5.340e-02	7.004e-02	7.831e-02	5.879e-02	8.282e-02	6.093e-02	5.710e-02	6.531e-02	6.974e-02	6.156e-02	8.049e-02	7.142e-02	6.642e-02	7.504e-02
7.500e+03	5.853e-02	5.173e-02	6.738e-02	6.046e-02	5.327e-02	7.004e-02	7.461e-02	5.900e-02	8.195e-02	6.059e-02	5.643e-02	6.482e-02	6.989e-02	6.178e-02	8.079e-02	7.037e-02	6.586e-02	7.689e-02
7.600e+03	5.853e-02	5.110e-02	6.712e-02	6.046e-02	5.448e-02	7.004e-02	7.307e-02	6.169e-02	8.250e-02	6.205e-02	5.656e-02	6.500e-02	7.004e-02	6.173e-02	8.079e-02	6.980e-02	6.624e-02	7.781e-02
7.700e+03	5.865e-02	5.053e-02	6.747e-02	6.020e-02	5.480e-02	7.001e-02	7.274e-02	6.162e-02	8.218e-02	6.205e-02	5.710e-02	6.471e-02	7.035e-02	6.173e-02	8.100e-02	6.947e-02	6.547e-02	7.406e-02
7.800e+03	5.900e-02	5.012e-02	6.724e-02	6.013e-02	5.521e-02	6.780e-02	7.288e-02	6.073e-02	8.218e-02	6.205e-02	5.632e-02	6.454e-02	6.954e-02	6.173e-02	8.092e-02	6.979e-02	6.531e-02	7.406e-02
7.900e+03	5.958e-02	5.050e-02	6.685e-02	5.989e-02	5.521e-02	6.848e-02	7.335e-02	5.991e-02	8.218e-02	6.257e-02	5.643e-02	6.579e-02	6.915e-02	6.182e-02	8.079e-02	6.979e-02	6.551e-02	7.386e-02
8.000e+03	5.850e-02	5.080e-02	6.634e-02	6.034e-02	5.312e-02	6.891e-02	7.335e-02	6.003e-02	8.143e-02	6.257e-02	5.643e-02	6.514e-02	6.915e-02	6.170e-02	8.079e-02	6.983e-02	6.551e-02	7.537e-02
8.100e+03	5.850e-02	5.025e-02	6.592e-02	5.939e-02	5.325e-02	6.891e-02	7.449e-02	6.067e-02	8.143e-02	6.233e-02	5.599e-02	6.497e-02	6.957e-02	6.076e-02	8.005e-02	6.983e-02	6.681e-02	7.537e-02
8.200e+03	5.694e-02	4.925e-02	6.592e-02	5.939e-02	5.306e-02	6.766e-02	7.540e-02	6.089e-02	8.014e-02	6.233e-02	5.528e-02	6.532e-02	6.948e-02	6.079e-02	8.079e-02	6.895e-02	6.551e-02	7.537e-02
8.300e+03	5.694e-02	4.960e-02	6.645e-02	5.923e-02	5.297e-02	6.764e-02	7.527e-02	6.001e-02	7.991e-02	6.079e-02	5.552e-02	6.548e-02	6.919e-02	6.016e-02	8.078e-02	6.895e-02	6.537e-02	7.489e-02
8.400e+03	5.760e-02	4.984e-02	6.645e-02	5.922e-02	5.209e-02	6.746e-02	7.362e-02	6.001e-02	8.006e-02	6.203e-02	5.518e-02	6.514e-02	6.877e-02	6.057e-02	8.029e-02	6.895e-02	6.485e-02	7.525e-02
8.500e+03	5.759e-02	5.008e-02	6.654e-02	5.832e-02	5.184e-02	6.764e-02	7.277e-02	5.994e-02	7.991e-02	6.065e-02	5.518e-02	6.533e-02	6.660e-02	6.143e-02	8.063e-02	6.924e-02	6.507e-02	7.445e-02
8.600e+03	5.966e-02	5.031e-02	6.645e-02	5.774e-02	5.165e-02	6.764e-02	7.277e-02	6.028e-02	7.950e-02	6.065e-02	5.545e-02	6.569e-02	6.684e-02	6.143e-02	8.060e-02	6.895e-02	6.544e-02	7.372e-02
8.700e+03	6.050e-02	5.183e-02	6.694e-02	5.743e-02	5.215e-02	6.764e-02	7.297e-02	5.939e-02	8.092e-02	6.065e-02	5.532e-02	6.583e-02	6.695e-02	6.157e-02	8.060e-02	6.925e-02	6.544e-02	7.316e-02
8.800e+03	6.059e-02	5.125e-02	6.645e-02	5.816e-02	5.096e-02	6.838e-02	7.264e-02	5.860e-02	8.092e-02	6.139e-02	5.532e-02	6.563e-02	6.636e-02	6.163e-02	8.025e-02	6.925e-02	6.561e-02	7.316e-02
8.900e+03	5.974e-02	5.125e-02	6.449e-02	5.829e-02	5.003e-02	6.729e-02	7.085e-02	5.850e-02	8.146e-02	6.139e-02	5.549e-02	6.570e-02	6.713e-02	6.216e-02	8.009e-02	6.944e-02	6.536e-02	7.316e-02
9.000e+03	5.796e-02	5.170e-02	6.546e-02	5.829e-02	5.080e-02	6.698e-02	7.085e-02	5.882e-02	8.146e-02	6.065e-02	5.664e-02	6.537e-02	6.695e-02	6.209e-02	8.044e-02	6.946e-02	6.523e-02	7.294e-02
9.100e+03	5.734e-02	5.159e-02	6.544e-02	5.788e-02	5.018e-02	6.776e-02	7.072e-02	5.800e-02	8.053e-02	6.079e-02	5.664e-02	6.537e-02	6.640e-02	6.155e-02	8.044e-02	7.016e-02	6.523e-02	7.397e-02
9.200e+03	5.854e-02	5.146e-02	6.568e-02	5.778e-02	5.111e-02	6.776e-02	6.911e-02	5.796e-02	8.053e-02	6.079e-02	5.621e-02	6.576e-02	6.569e-02	6.155e-02	8.044e-02	7.008e-02	6.490e-02	7.402e-02
9.300e+03	5.821e-02	5.144e-02	6.609e-02	5.695e-02	5.009e-02	6.776e-02	6.881e-02	5.862e-02	8.129e-02	6.102e-02	5.642e-02	6.514e-02	6.569e-02	6.220e-02	7.957e-02	7.021e-02	6.493e-02	7.402e-02
9.400e+03	5.793e-02	4.947e-02	6.609e-02	5.714e-02	5.034e-02	6.801e-02	6.871e-02	5.870e-02	8.129e-02	6.102e-02	5.615e-02	6.453e-02	6.470e-02	6.220e-02	7.957e-02	6.972e-02	6.568e-02	7.417e-02
9.500e+03	5.784e-02	4.947e-02	6.609e-02	5.730e-02	5.041e-02	6.868e-02	6.898e-02	5.980e-02	8.129e-02	6.136e-02	5.619e-02	6.438e-02	6.470e-02	6.158e-02	7.957e-02	7.006e-02	6.568e-02	7.417e-02
9.600e+03	5.842e-02	4.908e-02	6.565e-02	5.695e-02	5.051e-02	6.922e-02	6.886e-02	5.962e-02	8.200e-02	6.150e-02	5.619e-02	6.570e-02	6.573e-02	6.169e-02	7.957e-02	7.004e-02	6.565e-02	7.471e-02
9.700e+03	5.780e-02	4.908e-02	6.639e-02	5.737e-02	5.051e-02	6.922e-02	6.892e-02	5.962e-02	8.057e-02	6.150e-02	5.643e-02	6.548e-02	6.613e-02	6.147e-02	7.696e-02	7.004e-02	6.097e-02	7.484e-02
9.800e+03	5.770e-02	4.923e-02	6.617e-02	5.714e-02	5.091e-02	6.959e-02	6.892e-02	6.194e-02	8.112e-02	6.150e-02	5.624e-02	6.644e-02	6.613e-02	6.232e-02	7.703e-02	7.004e-02	6.117e-02	7.353e-02
9.900e+03	5.727e-02	4.936e-02	6.577e-02	5.714e-02	5.099e-02	6.903e-02	6.829e-02	6.066e-02	8.047e-02	6.124e-02	5.624e-02	6.644e-02	6.611e-02	6.272e-02	7.946e-02	6.943e-02	6.117e-02	7.307e-02
1.000e+04	5.722e-02	4.888e-02	6.541e-02	5.710e-02	5.083e-02	6.936e-02	6.748e-02	6.003e-02	8.269e-02	6.091e-02	5.829e-02	6.660e-02	6.582e-02	6.272e-02	7.957e-02	6.873e-02	6.117e-02	7.381e-02
1.010e+04	5.770e-02	5.134e-02	6.541e-02	5.777e-02	5.126e-02	6.948e-02	6.748e-02	6.005e-02	8.199e-02	6.118e-02	5.668e-02	6.623e-02	6.563e-02	6.272e-02	7.957e-02	6.825e-02	6.128e-02	7.383e-02
1.020e+04	5.770e-02	5.103e-02	6.541e-02	5.737e-02	5.186e-02	6.975e-02	6.735e-02	5.960e-02	8.199e-02	6.124e-02	5.701e-02	6.623e-02	6.563e-02	6.272e-02	7.886e-02	6.790e-02	6.098e-02	7.223e-02
1.030e+04	5.731e-02	5.126e-02	6.549e-02	5.758e-02	5.198e-02	6.911e-02	6.688e-02	5.973e-02	8.171e-02	6.156e-02	5.658e-02	6.623e-02	6.563e-02	6.254e-02	7.931e-02	6.848e-02	6.104e-02	7.223e-02
1.040e+04	5.819e-02	5.009e-02	6.496e-02	5.800e-02	5.288e-02	6.891e-02	6.688e-02	5.988e-02	8.171e-02	6.165e-02	5.658e-02	6.664e-02	6.563e-02	6.216e-02	7.931e-02	6.804e-02	6.131e-02	7.223e-02
1.050e+04	5.746e-02	5.009e-02	6.497e-02	5.755e-02	5.288e-02	6.665e-02	6.645e-02	5.988e-02	8.175e-02	6.161e-02	5.658e-02	6.657e-02	6.671e-02	6.255e-02	7.907e-02	6.762e-02	6.131e-02	7.223e-02
1.060e+04	5.759e-02	4.903e-02	6.497e-02	5.776e-02	5.288e-02	6.794e-02	6.658e-02	5.988e-02	8.170e-02	6.044e-02	5.672e-02	6.588e-02	6.626e-02	6.217e-02	7.904e-02	6.794e-02	6.147e-02	7.175e-02
1.070e+04	5.839e-02	4.927e-02	6.497e-02	5.801e-02	5.139e-02	6.903e-02	6.642e-02	6.071e-02	8.170e-02	6.039e-02	5.656e-02	6.588e-02	6.626e-02	6.217e-02	7.689e-02	6.762e-02	6.096e-02	7.272e-02
1.080e+04	5.839e-02	4.955e-02	6.598e-02	5.795e-02	5.181e-02	6.884e-02	6.642e-02	5.904e-02	8.164e-02	6.039e-02	5.656e-02	6.564e-02	6.678e-02	6.209e-02	7.689e-02	6.762e-02	6.096e-02	7.272e-02
1.090e+04	5.932e-02	4.955e-02	6.598e-02	5.795e-02	5.181e-02	6.884e-02	6.763e-02	5.937e-02	8.164e-02	6.065e-02	5.639e-02	6.564e-02	6.764e-02	6.197e-02	7.689e-02	6.762e-02	6.028e-02	7.370e-02
1.100e+04	5.902e-02	4.957e-02	6.700e-02	5.766e-02	5.181e-02	6.926e-02	6.746e-02	6.052e-02	8.333e-02	6.065e-02	5.639e-02	6.564e-02	6.630e-02	6.313e-02	7.701e-02	6.781e-02	6.028e-02	7.370e-02
1.110e+04	5.943e-02	4.951e-02	6.700e-02	5.739e-02	5.195e-02	6.932e-02	6.769e-02	6.004e-02	8.310e-02	6.065e-02	5.639e-02	6.564e-02	6.627e-02	6.291e-02	7.701e-02	6.743e-02	6.025e-02	7.370e-02
1.120e+04	5.927e-02	5.000e-02	6.804e-02	5.751e-02	5.191e-02	6.932e-02	6.746e-02	5.958e-02	8.310e-02	6.022e-02	5.635e-02	6.450e-02	6.627e-02	6.290e-02	7.701e-02	6.743e-02	6.025e-02	7.370e-02
1.130e+04	5.761e-02	5.051e-02	6.804e-02	5.751e-02	5.191e-02	6.932e-02	6.746e-02	5.950e-02	8.418e-02	6.022e-02	5.635e-02	6.447e-02	6.627e-02	6.291e-02	7.701e-02	6.728e-02	6.025e-02	7.353e-02
1.140e+04	5.797e-02	5.091e-02	6.819e-02	5.751e-02	5.191e-02	6.932e-02	6.716e-02	6.049e-02	8.404e-02	6.081e-02	5.684e-02	6.433e-02	6.627e-02	6.246e-02	7.701e-02	6.655e-02	6.025e-02	7.353e-02
1.150e+04	5.797e-02	5.074e-02	6.741e-02	5.756e-02	5.191e-02	6.932e-02	6.695e-02	6.049e-02	8.404e-02	6.119e-02	5.635e-02	6.431e-02	6.581e-02	6.249e-02	7.689e-02	6.765e-02	6.089e-02	7.353e-02
1.160e+04	5.797e-02	5.074e-02	6.764e-02	5.774e-02	5.191e-02	7.145e-02	6.713e-02	5.940e-02	8.476e-02	6.119e-02	5.621e-02	6.431e-02	6.695e-02	6.289e-02	7.689e-02	6.765e-02	6.089e-02	7.485e-02
1.170e+04	5.797e-02	5.096e-02	6.741e-02	5.803e-02	5.218e-02	7.145e-02	6.662e-02	5.989e-02	8.416e-02	6.120e-02	5.626e-02	6.431e-02	6.675e-02	6.255e-02	7.689e-02	6.743e-02	6.089e-02	7.407e-02
1.180e+04	5.797e-02	5.056e-02	6.741e-02	5.803e-02	5.185e-02	7.217e-02	6.717e-02	5.989e-02	8.354e-02	6.119e-02	5.626e-02	6.474e-02	6.705e-02	6.239e-02	7.689e-02	6.654e-02	6.069e-02	7.439e-02
1.190e+04	5.761e-02	5.051e-02	6.562e-02	5.803e-02	5.349e-02	7.184e-02	6.631e-02	5.912e-02	8.333e-02	6.093e-02	5.626e-02	6.515e-02	6.705e-02	6.178e-02	7.689e-02	6.654e-02	6.084e-02	7.407e-02
1.200e+04	5.761e-02	5.025e-02	6.562e-02	5.803e-02	5.349e-02	7.184e-02	6.631e-02	5.912e-02	8.333e-02	6.098e-02	5.650e-02	6.549e-02	6.699e-02	6.127e-02	7.689e-02	6.684e-02	6.084e-02	7.407e-02
1.210e+04	5.782e-02	5.035e-02	6.609e-02	5.780e-02	5.316e-02	7.184e-02	6.618e-02	5.912e-02	8.329e-02	6.034e-02	5.753e-02	6.549e-02	6.606e-02	6.076e-02	7.689e-02	6.684e-02	6.096e-02	7.407e-02
1.220e+04	5.791e-02	5.070e-02	6.609e-02	5.780e-02	5.334e-02	7.211e-02	6.670e-02	5.910e-02	8.498e-02	6.108e-02	5.753e-02	6.518e-02	6.606e-02	6.076e-02	7.701e-02	6.755e-02	6.000e-02	7.419e-02
1.230e+04	5.838e-02	5.080e-02	6.577e-02	5.689e-02	5.357e-02	7.225e-02	6.568e-02	5.920e-02	8.482e-02	6.100e-02	5.753e-02	6.531e-02	6.595e-02	6.076e-02	7.708e-02	6.739e-02	6.000e-02	7.407e-02
1.240e+04	5.838e-02	5.078e-02	6.516e-02	5.674e-02	5.162e-02	7.225e-02	6.624e-02	5.934e-02	8.479e-02	6.100e-02	5.753e-02	6.577e-02	6.595e-02	6.076e-02	7.708e-02	6.739e-02	6.009e-02	7.407e-02
1.250e+04	5.771e-02	5.080e-02	6.536e-02	5.674e-02	5.162e-02	7.239e-02	6.660e-02	5.933e-02	8.473e-02	6.045e-02	5.753e-02	6.567e-02	6.595e-02	6.075e-02	7.708e-02	6.739e-02	6.000e-02	7.402e-02
1.260e+04	5.819e-02	5.100e-02	6.536e-02	5.674e-02	5.162e-02	7.239e-02	6.530e-02	5.772e-02	8.465e-02	6.098e-02	5.753e-02	6.496e-02	6.635e-02	6.013e-02	7.708e-02	6.748e-02	5.999e-02	7.418e-02
1.270e+04	5.819e-02	5.100e-02	6.316e-02	5.682e-02	5.098e-02	7.239e-02	6.609e-02	5.756e-02	8.465e-02	6.098e-02	5.756e-02	6.479e-02	6.671e-02	6.013e-02	7.697e-02	6.665e-02	5.971e-02	7.256e-02
1.280e+04	5.730e-02	5.135e-02	6.316e-02	5.770e-02	5.098e-02	7.195e-02	6.474e-02	5.756e-02	8.465e-02	6.022e-02	5.779e-02	6.479e-02	6.586e-02	6.013e-02	7.697e-02	6.665e-02	5.998e-02	7.256e-02
1.290e+04	5.730e-02	5.065e-02	6.302e-02	5.739e-02	5.199e-02	7.195e-02	6.474e-02	5.751e-02	8.187e-02	6.022e-02	5.773e-02	6.479e-02	6.598e-02	6.013e-02	7.697e-02	6.640e-02	5.998e-02	7.256e-02
1.300e+04	5.837e-02	5.033e-02	6.302e-02	5.739e-02	5.131e-02	7.195e-02	6.576e-02	5.751e-02	8.291e-02	6.131e-02	5.779e-02	6.479e-02	6.506e-02	6.013e-02	7.697e-02	6.669e-02	5.998e-02	7.342e-02
1.310e+04	5.837e-02	4.995e-02	6.365e-02	5.739e-02	5.073e-02	7.205e-02	6.695e-02	5.781e-02	8.219e-02	5.974e-02	5.746e-02	6.479e-02	6.479e-02	6.049e-02	7.617e-02	6.669e-02	5.998e-02	7.290e-02
1.320e+04	5.838e-02	5.046e-02	6.316e-02	5.697e-02	5.089e-02	7.292e-02	6.566e-02	5.815e-02	8.329e-02	5.970e-02	5.714e-02	6.422e-02	6.476e-02	6.101e-02	7.617e-02	6.485e-02	5.960e-02	7.202e-02
1.330e+04	5.900e-02	5.022e-02	6.420e-02	5.697e-02	5.089e-02	7.292e-02	6.566e-02	5.837e-02	8.329e-02	6.015e-02	5.739e-02	6.390e-02	6.471e-02	6.207e-02	7.581e-02	6.485e-02	5.955e-02	7.233e-02
1.340e+04	5.900e-02	5.070e-02	6.420e-02	5.760e-02	5.188e-02	7.292e-02	6.499e-02	5.852e-02	8.346e-02	6.015e-02	5.739e-02	6.390e-02	6.471e-02	6.135e-02	7.581e-02	6.445e-02	5.941e-02	7.233e-02
1.350e+04	5.900e-02	5.014e-02	6.314e-02	5.706e-02	5.214e-02	7.300e-02	6.499e-02	5.846e-02	8.346e-02	6.010e-02	5.749e-02	6.390e-02	6.471e-02	6.112e-02	7.528e-02	6.464e-02	5.941e-02	7.269e-02
1.360e+04	5.900e-02	5.046e-02	6.300e-02	5.737e-02	5.247e-02	7.300e-02	6.499e-02	5.835e-02	8.401e-02	6.065e-02	5.768e-02	6.390e-02	6.497e-02	6.156e-02	7.528e-02	6.476e-02	5.941e-02	7.262e-02
1.370e+04	5.706e-02	5.033e-02	6.300e-02	5.768e-02	5.247e-02	7.284e-02	6.499e-02	5.846e-02	8.491e-02	6.065e-02	5.709e-02	6.338e-02	6.497e-02	6.156e-02	7.528e-02	6.507e-02	5.894e-02	7.227e-02
1.380e+04	5.722e-02	5.044e-02	6.387e-02	5.751e-02	5.222e-02	7.284e-02	6.499e-02	5.885e-02	8.491e-02	6.010e-02	5.619e-02	6.338e-02	6.497e-02	6.131e-02	7.528e-02	6.584e-02	5.885e-02	7.134e-02
1.390e+04	5.706e-02	5.056e-02	6.403e-02	5.751e-02	5.302e-02	7.284e-02	6.499e-02	5.870e-02	8.575e-02	6.045e-02	5.664e-02	6.330e-02	6.497e-02	6.131e-02	7.528e-02	6.507e-02	5.861e-02	7.028e-02
1.400e+04	5.724e-02	5.055e-02	6.403e-02	5.759e-02	5.302e-02	7.284e-02	6.479e-02	5.870e-02	8.575e-02	6.118e-02	5.658e-02	6.330e-02	6.497e-02	6.092e-02	7.528e-02	6.507e-02	5.885e-02	7.068e-02
1.410e+04	5.724e-02	5.055e-02	6.352e-02	5.756e-02	5.246e-02	7.287e-02	6.382e-02	5.760e-02	8.575e-02	6.087e-02	5.658e-02	6.336e-02	6.524e-02	5.878e-02	7.400e-02	6.549e-02	5.947e-02	7.145e-02
1.420e+04	5.722e-02	4.995e-02	6.291e-02	5.756e-02	5.246e-02	7.282e-02	6.360e-02	5.684e-02	8.557e-02	6.096e-02	5.714e-02	6.336e-02	6.546e-02	6.018e-02	7.421e-02	6.519e-02	5.949e-02	7.145e-02
1.430e+04	5.722e-02	4.995e-02	6.349e-02	5.784e-02	5.089e-02	6.683e-02	6.394e-02	5.684e-02	8.568e-02	6.005e-02	5.667e-02	6.389e-02	6.544e-02	5.970e-02	7.460e-02	6.519e-02	5.927e-02	7.071e-02
1.440e+04	5.722e-02	4.955e-02	6.328e-02	5.784e-02	5.117e-02	6.683e-02	6.338e-02	5.684e-02	8.510e-02	6.023e-02	5.621e-02	6.395e-02	6.544e-02	5.970e-02	7.460e-02	6.519e-02	5.949e-02	7.075e-02
1.450e+04	5.722e-02	4.955e-02	6.293e-02	5.668e-02	5.091e-02	6.667e-02	6.245e-02	5.799e-02	8.510e-02	6.032e-02	5.630e-02	6.386e-02	6.512e-02	6.005e-02	7.479e-02	6.519e-02	5.940e-02	7.140e-02
1.460e+04	5.722e-02	4.955e-02	6.293e-02	5.682e-02	5.070e-02	6.748e-02	6.359e-02	5.816e-02	8.489e-02	6.045e-02	5.645e-02	6.386e-02	6.547e-02	6.014e-02	7.477e-02	6.519e-02	5.940e-02	7.135e-02
1.470e+04	5.754e-02	4.955e-02	6.325e-02	5.685e-02	5.049e-02	6.713e-02	6.359e-02	5.819e-02	8.489e-02	6.023e-02	5.618e-02	6.373e-02	6.547e-02	6.079e-02	7.477e-02	6.312e-02	5.892e-02	7.234e-02
1.480e+04	5.754e-02	4.955e-02	6.325e-02	5.668e-02	5.049e-02	6.712e-02	6.359e-02	5.676e-02	8.489e-02	6.030e-02	5.618e-02	6.548e-02	6.559e-02	6.219e-02	7.382e-02	6.271e-02	5.892e-02	7.247e-02
1.490e+04	5.869e-02	4.955e-02	6.358e-02	5.759e-02	5.068e-02	6.712e-02	6.359e-02	5.566e-02	8.489e-02	6.030e-02	5.618e-02	6.611e-02	6.544e-02	6.182e-02	7.289e-02	6.260e-02	5.927e-02	7.283e-02
1.500e+04	5.889e-02	4.955e-02	6.359e-02	5.760e-02	5.074e-02	6.712e-02	6.359e-02	5.566e-02	7.883e-02	6.032e-02	5.618e-02	6.611e-02	6.586e-02	6.182e-02	7.305e-02	6.260e-02	5.764e-02	7.286e-02
1.510e+04	5.875e-02	4.980e-02	6.271e-02	5.760e-02	5.075e-02	6.712e-02	6.365e-02	5.754e-02	7.883e-02	6.032e-02	5.630e-02	6.627e-02	6.555e-02	6.182e-02	7.268e-02	6.192e-02	5.763e-02	7.286e-02
1.520e+04	5.875e-02	4.942e-02	6.258e-02	5.759e-02	5.009e-02	6.738e-02	6.379e-02	5.776e-02	7.852e-02	6.032e-02	5.630e-02	6.627e-02	6.627e-02	6.182e-02	7.268e-02	6.227e-02	5.817e-02	7.368e-02
1.530e+04	5.920e-02	4.905e-02	6.258e-02	5.759e-02	5.028e-02	6.818e-02	6.382e-02	5.817e-02	7.895e-02	6.032e-02	5.630e-02	6.588e-02	6.657e-02	6.182e-02	7.268e-02	6.259e-02	5.737e-02	7.368e-02
1.540e+04	5.921e-02	4.905e-02	6.281e-02	5.759e-02	5.126e-02	6.825e-02	6.408e-02	5.805e-02	7.989e-02	6.032e-02	5.636e-02	6.474e-02	6.654e-02	6.213e-02	7.313e-02	6.290e-02	5.737e-02	7.333e-02
1.550e+04	5.881e-02	4.905e-02	6.287e-02	5.759e-02	5.191e-02	6.825e-02	6.408e-02	5.829e-02	8.035e-02	6.030e-02	5.630e-02	6.371e-02	6.654e-02	6.074e-02	7.337e-02	6.290e-02	5.688e-02	7.351e-02
1.560e+04	5.881e-02	4.765e-02	6.287e-02	5.759e-02	5.049e-02	6.825e-02	6.360e-02	5.829e-02	8.035e-02	6.149e-02	5.626e-02	6.330e-02	6.654e-02	6.080e-02	7.301e-02	6.271e-02	5.688e-02	7.334e-02
1.570e+04	5.881e-02	4.743e-02	6.271e-02	5.759e-02	5.053e-02	6.825e-02	6.360e-02	5.829e-02	8.079e-02	6.149e-02	5.624e-02	6.326e-02	6.595e-02	5.998e-02	7.337e-02	6.264e-02	5.736e-02	7.334e-02
1.580e+04	5.792e-02	4.786e-02	6.268e-02	5.759e-02	5.053e-02	6.825e-02	6.284e-02	5.833e-02	7.989e-02	6.110e-02	5.624e-02	6.336e-02	6.604e-02	5.999e-02	7.337e-02	6.264e-02	5.736e-02	7.334e-02
1.590e+04	5.842e-02	4.786e-02	6.193e-02	5.651e-02	4.985e-02	6.856e-02	6.401e-02	5.732e-02	7.989e-02	6.110e-02	5.626e-02	6.336e-02	6.604e-02	6.040e-02	7.340e-02	6.307e-02	5.723e-02	7.311e-02
1.600e+04	5.632e-02	4.840e-02	6.200e-02	5.651e-02	4.985e-02	6.819e-02	6.401e-02	5.727e-02	8.002e-02	6.110e-02	5.647e-02	6.336e-02	6.691e-02	6.040e-02	7.392e-02	6.311e-02	5.757e-02	7.277e-02
1.610e+04	5.632e-02	4.822e-02	6.235e-02	5.705e-02	5.031e-02	6.819e-02	6.360e-02	5.729e-02	8.002e-02	6.116e-02	5.583e-02	6.397e-02	6.746e-02	6.040e-02	7.392e-02	6.255e-02	5.757e-02	7.266e-02
1.620e+04	5.632e-02	4.822e-02	6.255e-02	5.722e-02	5.026e-02	6.843e-02	6.338e-02	5.729e-02	8.002e-02	6.116e-02	5.624e-02	6.397e-02	6.746e-02	6.074e-02	7.444e-02	6.254e-02	5.757e-02	7.321e-02
1.630e+04	5.653e-02	4.834e-02	6.245e-02	5.617e-02	5.089e-02	6.727e-02	6.416e-02	5.736e-02	7.845e-02	6.127e-02	5.595e-02	6.397e-02	6.726e-02	6.076e-02	7.444e-02	6.252e-02	5.770e-02	7.304e-02
1.640e+04	5.692e-02	4.839e-02	6.253e-02	5.653e-02	5.103e-02	6.663e-02	6.419e-02	5.710e-02	7.893e-02	6.128e-02	5.595e-02	6.346e-02	6.710e-02	6.054e-02	7.444e-02	6.227e-02	5.752e-02	7.304e-02
1.650e+04	5.692e-02	4.839e-02	6.253e-02	5.731e-02	5.032e-02	6.663e-02	6.386e-02	5.710e-02	7.855e-02	6.128e-02	5.638e-02	6.333e-02	6.722e-02	6.054e-02	7.444e-02	6.227e-02	5.757e-02	7.208e-02
1.660e+04	5.694e-02	4.839e-02	6.253e-02	5.731e-02	5.103e-02	6.663e-02	6.432e-02	5.710e-02	7.855e-02	6.104e-02	5.566e-02	6.356e-02	6.722e-02	6.054e-02	7.268e-02	6.214e-02	5.778e-02	7.208e-02
1.670e+04	5.694e-02	4.839e-02	6.457e-02	5.731e-02	5.101e-02	6.627e-02	6.432e-02	5.659e-02	7.855e-02	6.096e-02	5.573e-02	6.442e-02	6.727e-02	5.940e-02	7.258e-02	6.182e-02	5.798e-02	7.208e-02
1.680e+04	5.645e-02	4.861e-02	6.457e-02	5.747e-02	5.101e-02	6.627e-02	6.363e-02	5.730e-02	7.881e-02	6.096e-02	5.638e-02	6.442e-02	6.694e-02	5.940e-02	7.258e-02	6.182e-02	5.816e-02	7.208e-02
1.690e+04	5.645e-02	4.861e-02	6.421e-02	5.724e-02	4.790e-02	6.565e-02	6.363e-02	5.727e-02	7.948e-02	6.142e-02	5.603e-02	6.442e-02	6.801e-02	5.942e-02	7.336e-02	6.182e-02	5.825e-02	7.191e-02
