n.evals.q.1.0.	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.e_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.unique.all.each.brain.pleiotropy.sd.max	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.min	_.vs.4.nav.y_maze.ga.pleiotropy.1.0.sequential.all.each.brain.pleiotropy.sd.max
1.800e+03	6.036e-02	5.609e-02	6.266e-02	1.041e-01	9.238e-02	1.097e-01	1.046e-01	9.447e-02	1.194e-01	6.017e-02	5.760e-02	6.468e-02	9.868e-02	8.999e-02	1.163e-01	1.052e-01	1.008e-01	1.119e-01
1.900e+03	5.992e-02	5.566e-02	6.352e-02	1.010e-01	9.277e-02	1.095e-01	1.032e-01	9.059e-02	1.186e-01	6.017e-02	5.760e-02	6.335e-02	9.745e-02	9.001e-02	1.151e-01	1.045e-01	9.552e-02	1.122e-01
2.000e+03	5.865e-02	5.471e-02	6.239e-02	9.838e-02	8.982e-02	1.072e-01	1.025e-01	8.952e-02	1.153e-01	5.955e-02	5.688e-02	6.445e-02	9.746e-02	8.703e-02	1.151e-01	1.028e-01	9.590e-02	1.105e-01
2.100e+03	5.811e-02	5.591e-02	6.344e-02	9.618e-02	8.585e-02	1.041e-01	9.928e-02	8.953e-02	1.121e-01	5.900e-02	5.677e-02	6.561e-02	9.759e-02	8.383e-02	1.112e-01	1.017e-01	9.115e-02	1.091e-01
2.200e+03	5.786e-02	5.626e-02	6.280e-02	9.348e-02	8.209e-02	1.025e-01	9.943e-02	8.331e-02	1.122e-01	5.968e-02	5.697e-02	6.500e-02	9.671e-02	8.452e-02	1.080e-01	9.457e-02	9.143e-02	1.069e-01
2.300e+03	5.882e-02	5.631e-02	6.295e-02	9.159e-02	8.032e-02	1.046e-01	9.928e-02	8.421e-02	1.104e-01	5.982e-02	5.596e-02	6.525e-02	9.639e-02	8.289e-02	1.075e-01	9.459e-02	8.810e-02	1.042e-01
2.400e+03	5.832e-02	5.562e-02	6.382e-02	9.030e-02	7.913e-02	1.014e-01	9.830e-02	8.564e-02	1.074e-01	5.961e-02	5.515e-02	6.341e-02	9.201e-02	8.009e-02	1.058e-01	9.486e-02	8.711e-02	1.026e-01
2.500e+03	5.768e-02	5.504e-02	6.311e-02	8.761e-02	7.749e-02	9.746e-02	9.577e-02	8.438e-02	1.074e-01	5.981e-02	5.596e-02	6.409e-02	9.311e-02	7.937e-02	1.044e-01	9.409e-02	8.729e-02	1.028e-01
2.600e+03	5.727e-02	5.484e-02	6.309e-02	8.510e-02	7.703e-02	9.648e-02	9.610e-02	8.280e-02	1.072e-01	6.039e-02	5.600e-02	6.403e-02	9.397e-02	7.835e-02	1.023e-01	9.462e-02	8.625e-02	1.016e-01
2.700e+03	5.716e-02	5.395e-02	6.415e-02	8.538e-02	7.446e-02	9.697e-02	9.472e-02	8.135e-02	1.041e-01	6.026e-02	5.616e-02	6.337e-02	9.236e-02	7.940e-02	1.014e-01	9.126e-02	8.593e-02	1.015e-01
2.800e+03	5.685e-02	5.402e-02	6.342e-02	8.324e-02	7.418e-02	9.437e-02	9.501e-02	8.115e-02	1.024e-01	6.001e-02	5.612e-02	6.358e-02	8.999e-02	7.918e-02	9.914e-02	9.098e-02	8.437e-02	9.764e-02
2.900e+03	5.788e-02	5.460e-02	6.384e-02	8.092e-02	7.474e-02	9.436e-02	9.523e-02	7.864e-02	1.019e-01	5.959e-02	5.553e-02	6.347e-02	8.988e-02	7.932e-02	9.957e-02	9.056e-02	8.425e-02	9.711e-02
3.000e+03	5.798e-02	5.444e-02	6.324e-02	8.020e-02	7.122e-02	9.262e-02	9.280e-02	7.678e-02	1.021e-01	5.918e-02	5.646e-02	6.363e-02	8.780e-02	7.883e-02	9.723e-02	9.063e-02	8.317e-02	9.690e-02
3.100e+03	5.715e-02	5.304e-02	6.264e-02	8.009e-02	7.073e-02	9.249e-02	8.838e-02	7.545e-02	9.935e-02	5.926e-02	5.632e-02	6.458e-02	8.784e-02	7.504e-02	9.763e-02	9.096e-02	7.940e-02	9.739e-02
3.200e+03	5.718e-02	5.290e-02	6.246e-02	7.958e-02	7.105e-02	8.938e-02	8.833e-02	7.653e-02	9.928e-02	5.857e-02	5.614e-02	6.345e-02	8.775e-02	7.264e-02	9.614e-02	9.076e-02	7.496e-02	9.725e-02
3.300e+03	5.687e-02	5.308e-02	6.239e-02	7.726e-02	7.102e-02	8.698e-02	8.715e-02	7.762e-02	9.916e-02	5.874e-02	5.585e-02	6.377e-02	8.828e-02	7.244e-02	9.456e-02	9.035e-02	7.575e-02	9.353e-02
3.400e+03	5.655e-02	5.308e-02	6.296e-02	7.603e-02	6.943e-02	8.629e-02	8.716e-02	7.560e-02	9.981e-02	5.963e-02	5.584e-02	6.356e-02	8.368e-02	7.150e-02	9.448e-02	8.737e-02	7.419e-02	9.311e-02
3.500e+03	5.708e-02	5.218e-02	6.341e-02	7.610e-02	6.758e-02	8.630e-02	8.454e-02	7.216e-02	1.009e-01	5.940e-02	5.560e-02	6.271e-02	8.268e-02	7.182e-02	9.514e-02	8.823e-02	7.355e-02	9.311e-02
3.600e+03	5.768e-02	5.226e-02	6.196e-02	7.593e-02	6.686e-02	8.766e-02	8.481e-02	7.097e-02	9.586e-02	5.881e-02	5.571e-02	6.246e-02	8.202e-02	7.041e-02	9.514e-02	8.558e-02	7.321e-02	9.334e-02
3.700e+03	5.832e-02	5.235e-02	6.255e-02	7.555e-02	6.581e-02	8.824e-02	8.436e-02	7.084e-02	9.634e-02	5.953e-02	5.687e-02	6.215e-02	8.146e-02	7.057e-02	9.497e-02	8.501e-02	7.001e-02	9.300e-02
3.800e+03	5.704e-02	5.167e-02	6.350e-02	7.305e-02	6.546e-02	8.841e-02	8.306e-02	6.929e-02	9.330e-02	5.898e-02	5.693e-02	6.252e-02	8.041e-02	6.920e-02	9.388e-02	8.494e-02	7.055e-02	9.172e-02
3.900e+03	5.777e-02	5.211e-02	6.466e-02	7.157e-02	6.353e-02	8.864e-02	8.375e-02	6.937e-02	9.330e-02	5.925e-02	5.645e-02	6.205e-02	7.943e-02	6.942e-02	9.423e-02	8.496e-02	7.082e-02	9.172e-02
4.000e+03	5.791e-02	5.239e-02	6.537e-02	7.123e-02	6.352e-02	8.843e-02	8.228e-02	7.056e-02	9.376e-02	5.918e-02	5.594e-02	6.255e-02	8.170e-02	6.801e-02	9.401e-02	8.445e-02	7.031e-02	9.062e-02
4.100e+03	5.789e-02	5.168e-02	6.493e-02	7.141e-02	6.349e-02	8.877e-02	8.254e-02	7.009e-02	9.345e-02	5.962e-02	5.504e-02	6.220e-02	8.150e-02	6.765e-02	9.249e-02	8.353e-02	6.897e-02	9.062e-02
4.200e+03	5.784e-02	5.221e-02	6.329e-02	7.138e-02	6.278e-02	8.867e-02	8.240e-02	7.098e-02	9.437e-02	5.914e-02	5.540e-02	6.228e-02	7.954e-02	6.814e-02	9.245e-02	8.334e-02	6.757e-02	8.835e-02
4.300e+03	5.685e-02	5.170e-02	6.486e-02	7.111e-02	6.216e-02	8.213e-02	8.131e-02	7.098e-02	9.531e-02	5.914e-02	5.626e-02	6.219e-02	7.991e-02	6.841e-02	9.235e-02	8.227e-02	6.738e-02	8.740e-02
4.400e+03	5.778e-02	5.171e-02	6.564e-02	7.098e-02	6.250e-02	8.240e-02	8.166e-02	7.021e-02	9.636e-02	5.902e-02	5.624e-02	6.237e-02	7.976e-02	6.942e-02	9.143e-02	8.230e-02	6.704e-02	8.667e-02
4.500e+03	5.767e-02	5.192e-02	6.530e-02	6.970e-02	5.914e-02	8.236e-02	8.068e-02	7.026e-02	9.537e-02	5.862e-02	5.659e-02	6.228e-02	7.937e-02	6.985e-02	9.197e-02	8.107e-02	6.700e-02	8.591e-02
4.600e+03	5.770e-02	5.230e-02	6.460e-02	6.895e-02	5.872e-02	8.238e-02	7.978e-02	7.033e-02	9.490e-02	5.880e-02	5.655e-02	6.281e-02	7.855e-02	6.600e-02	9.128e-02	7.936e-02	6.602e-02	8.599e-02
4.700e+03	5.706e-02	5.261e-02	6.457e-02	6.729e-02	5.978e-02	8.356e-02	7.965e-02	6.954e-02	9.247e-02	5.837e-02	5.630e-02	6.403e-02	7.822e-02	6.615e-02	9.048e-02	7.889e-02	6.692e-02	8.599e-02
4.800e+03	5.731e-02	5.123e-02	6.569e-02	6.850e-02	5.850e-02	8.381e-02	7.637e-02	7.031e-02	9.206e-02	5.821e-02	5.624e-02	6.421e-02	7.699e-02	6.609e-02	9.074e-02	7.816e-02	6.686e-02	8.639e-02
4.900e+03	5.650e-02	5.295e-02	6.340e-02	6.719e-02	5.960e-02	7.746e-02	7.695e-02	6.799e-02	9.318e-02	5.837e-02	5.617e-02	6.438e-02	7.695e-02	6.533e-02	9.155e-02	7.914e-02	6.672e-02	8.387e-02
5.000e+03	5.620e-02	5.300e-02	6.388e-02	6.786e-02	5.852e-02	7.743e-02	7.585e-02	6.598e-02	9.323e-02	5.900e-02	5.647e-02	6.420e-02	7.477e-02	6.533e-02	9.155e-02	7.909e-02	6.615e-02	8.502e-02
5.100e+03	5.793e-02	5.344e-02	6.477e-02	6.615e-02	5.920e-02	7.706e-02	7.585e-02	6.684e-02	9.283e-02	5.930e-02	5.639e-02	6.356e-02	7.571e-02	6.569e-02	9.154e-02	7.798e-02	6.410e-02	8.524e-02
5.200e+03	5.742e-02	5.322e-02	6.508e-02	6.642e-02	5.770e-02	7.757e-02	7.519e-02	6.534e-02	9.143e-02	5.896e-02	5.561e-02	6.340e-02	7.540e-02	6.550e-02	9.220e-02	7.803e-02	6.476e-02	8.311e-02
5.300e+03	5.766e-02	5.317e-02	6.445e-02	6.606e-02	5.749e-02	7.653e-02	7.427e-02	6.577e-02	9.312e-02	5.917e-02	5.528e-02	6.318e-02	7.528e-02	6.550e-02	9.210e-02	7.776e-02	6.486e-02	8.311e-02
5.400e+03	5.775e-02	5.272e-02	6.456e-02	6.515e-02	5.694e-02	7.746e-02	7.368e-02	6.582e-02	9.050e-02	5.978e-02	5.547e-02	6.360e-02	7.594e-02	6.569e-02	9.135e-02	7.585e-02	6.622e-02	8.311e-02
5.500e+03	5.680e-02	5.247e-02	6.352e-02	6.460e-02	5.605e-02	7.758e-02	7.355e-02	6.725e-02	9.035e-02	5.957e-02	5.604e-02	6.345e-02	7.540e-02	6.506e-02	9.135e-02	7.585e-02	6.609e-02	8.326e-02
5.600e+03	5.685e-02	5.250e-02	6.566e-02	6.468e-02	5.599e-02	7.737e-02	7.464e-02	6.818e-02	8.970e-02	5.990e-02	5.600e-02	6.345e-02	7.578e-02	6.469e-02	8.178e-02	7.605e-02	6.568e-02	8.349e-02
5.700e+03	5.630e-02	5.268e-02	6.793e-02	6.485e-02	5.601e-02	7.746e-02	7.461e-02	6.482e-02	8.944e-02	6.038e-02	5.600e-02	6.389e-02	7.587e-02	6.442e-02	8.213e-02	7.592e-02	6.586e-02	8.347e-02
5.800e+03	5.726e-02	5.316e-02	6.770e-02	6.479e-02	5.504e-02	7.746e-02	7.522e-02	6.482e-02	8.984e-02	6.073e-02	5.636e-02	6.328e-02	7.576e-02	6.474e-02	8.156e-02	7.576e-02	6.606e-02	8.322e-02
5.900e+03	5.699e-02	5.191e-02	6.684e-02	6.515e-02	5.514e-02	7.736e-02	7.503e-02	6.395e-02	9.105e-02	6.099e-02	5.615e-02	6.290e-02	7.367e-02	6.431e-02	8.156e-02	7.594e-02	6.622e-02	8.102e-02
6.000e+03	5.736e-02	5.264e-02	6.588e-02	6.576e-02	5.575e-02	7.795e-02	7.529e-02	6.316e-02	9.045e-02	6.118e-02	5.681e-02	6.289e-02	7.480e-02	6.408e-02	8.121e-02	7.579e-02	6.676e-02	8.161e-02
6.100e+03	5.693e-02	5.241e-02	6.588e-02	6.519e-02	5.549e-02	7.685e-02	7.329e-02	6.258e-02	8.852e-02	6.103e-02	5.681e-02	6.328e-02	7.463e-02	6.371e-02	8.187e-02	7.407e-02	6.605e-02	8.149e-02
