x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	2.757e-01	2.288e-01	3.026e-02	1.603e-02	1.603e-02
0	1	2.551e-01	6.793e-02	1.291e-02	1.291e-02	1.178e-02
0	2	6.100e-01	1.648e-01	3.509e-02	3.509e-02	3.509e-02
0	3	nan	2.280e-01	8.140e-02	1.902e-02	1.902e-02
0	4	nan	nan	nan	6.511e-01	6.858e-02
0	5	nan	nan	nan	nan	1.315e-01
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	6.506e-01	2.361e-01	1.575e-01	1.575e-01	4.961e-02
1	1	3.022e-01	1.665e-02	1.665e-02	1.665e-02	1.665e-02
1	2	6.633e-01	1.017e-01	3.635e-02	6.702e-03	5.479e-03
1	3	nan	2.227e-01	1.008e-01	6.680e-02	2.130e-02
1	4	nan	nan	nan	2.614e-01	6.390e-02
1	5	nan	nan	nan	nan	1.044e-01
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	6.770e-01	2.320e-01	2.320e-01	2.320e-01	2.320e-01
2	1	nan	1.227e-01	1.227e-01	7.003e-02	4.274e-03
2	2	nan	2.202e-01	1.003e-01	9.801e-02	1.977e-03
2	3	nan	1.696e-01	9.882e-02	6.196e-02	6.196e-02
2	4	nan	nan	nan	6.557e-01	5.951e-03
2	5	nan	nan	nan	nan	2.275e-01
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	nan	nan
3	4	nan	nan	nan	nan	1.230e-01
3	5	nan	nan	nan	nan	2.334e-01
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
