x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.10.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.25.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.0.50.quality.behavior.quality.arena.coverage.10x10.	progress.rate.q.0.05.1.00.quality.behavior.quality.arena.coverage.10x10.
0	0	1.000e-01	3.900e-01	3.900e-01	4.000e-01	4.000e-01
0	1	2.000e-01	3.800e-01	3.800e-01	4.100e-01	4.300e-01
0	2	2.000e-01	3.800e-01	4.100e-01	4.200e-01	4.200e-01
0	3	1.000e-01	3.900e-01	4.100e-01	4.200e-01	4.200e-01
0	4	nan	2.300e-01	3.100e-01	4.000e-01	4.600e-01
0	5	nan	nan	nan	nan	4.500e-01
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	3.000e-02	3.100e-01	3.900e-01	3.900e-01	4.200e-01
1	1	1.600e-01	3.600e-01	3.900e-01	3.900e-01	4.200e-01
1	2	1.100e-01	3.500e-01	3.800e-01	4.100e-01	4.100e-01
1	3	nan	3.700e-01	3.900e-01	4.100e-01	4.200e-01
1	4	nan	3.300e-01	3.600e-01	3.700e-01	4.000e-01
1	5	nan	nan	nan	nan	3.700e-01
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	2.800e-01	3.800e-01	3.800e-01	4.100e-01
2	1	nan	3.300e-01	3.900e-01	4.100e-01	4.200e-01
2	2	nan	3.400e-01	4.000e-01	4.000e-01	4.000e-01
2	3	nan	3.600e-01	3.700e-01	3.700e-01	3.900e-01
2	4	nan	3.600e-01	3.900e-01	3.900e-01	3.900e-01
2	5	nan	nan	nan	nan	3.800e-01
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	3.700e-01	3.700e-01	4.000e-01
3	1	nan	3.500e-01	3.800e-01	4.200e-01	4.400e-01
3	2	nan	2.100e-01	3.600e-01	3.700e-01	3.700e-01
3	3	nan	nan	3.700e-01	3.700e-01	3.900e-01
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
