n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.avg.max
9.700e+03	4.060e-01	3.748e-01	4.212e-01	2.995e-01	2.698e-01	3.371e-01	2.002e-01	1.812e-01	2.221e-01
9.800e+03	4.057e-01	3.736e-01	4.217e-01	2.990e-01	2.698e-01	3.405e-01	2.005e-01	1.824e-01	2.221e-01
9.900e+03	4.048e-01	3.729e-01	4.219e-01	2.981e-01	2.700e-01	3.398e-01	2.014e-01	1.826e-01	2.221e-01
1.000e+04	4.036e-01	3.729e-01	4.224e-01	2.948e-01	2.707e-01	3.395e-01	2.021e-01	1.829e-01	2.236e-01
1.010e+04	4.036e-01	3.729e-01	4.219e-01	2.940e-01	2.710e-01	3.407e-01	2.050e-01	1.840e-01	2.245e-01
1.020e+04	4.031e-01	3.729e-01	4.219e-01	2.919e-01	2.719e-01	3.405e-01	2.064e-01	1.840e-01	2.248e-01
1.030e+04	4.029e-01	3.729e-01	4.212e-01	2.898e-01	2.714e-01	3.405e-01	2.086e-01	1.840e-01	2.248e-01
1.040e+04	4.026e-01	3.721e-01	4.212e-01	2.900e-01	2.710e-01	3.410e-01	2.093e-01	1.848e-01	2.257e-01
1.050e+04	4.026e-01	3.721e-01	4.210e-01	2.910e-01	2.710e-01	3.424e-01	2.117e-01	1.852e-01	2.269e-01
1.060e+04	4.031e-01	3.714e-01	4.212e-01	2.921e-01	2.738e-01	3.421e-01	2.136e-01	1.864e-01	2.269e-01
1.070e+04	4.033e-01	3.702e-01	4.214e-01	2.919e-01	2.745e-01	3.419e-01	2.138e-01	1.879e-01	2.276e-01
1.080e+04	4.031e-01	3.686e-01	4.214e-01	2.919e-01	2.750e-01	3.414e-01	2.160e-01	1.876e-01	2.286e-01
1.090e+04	4.031e-01	3.688e-01	4.214e-01	2.919e-01	2.764e-01	3.424e-01	2.179e-01	1.871e-01	2.286e-01
1.100e+04	4.031e-01	3.686e-01	4.224e-01	2.926e-01	2.776e-01	3.436e-01	2.179e-01	1.862e-01	2.295e-01
1.110e+04	4.031e-01	3.686e-01	4.202e-01	2.924e-01	2.788e-01	3.436e-01	2.190e-01	1.850e-01	2.295e-01
1.120e+04	4.026e-01	3.664e-01	4.202e-01	2.931e-01	2.783e-01	3.436e-01	2.188e-01	1.836e-01	2.293e-01
1.130e+04	4.026e-01	3.657e-01	4.190e-01	2.921e-01	2.783e-01	3.421e-01	2.210e-01	1.845e-01	2.286e-01
1.140e+04	4.021e-01	3.652e-01	4.190e-01	2.921e-01	2.786e-01	3.426e-01	2.210e-01	1.852e-01	2.302e-01
1.150e+04	4.019e-01	3.657e-01	4.186e-01	2.924e-01	2.798e-01	3.424e-01	2.205e-01	1.867e-01	2.302e-01
1.160e+04	4.019e-01	3.660e-01	4.186e-01	2.948e-01	2.793e-01	3.457e-01	2.190e-01	1.886e-01	2.302e-01
1.170e+04	4.019e-01	3.643e-01	4.188e-01	2.940e-01	2.793e-01	3.457e-01	2.167e-01	1.888e-01	2.298e-01
1.180e+04	4.026e-01	3.643e-01	4.188e-01	2.940e-01	2.807e-01	3.467e-01	2.179e-01	1.888e-01	2.290e-01
1.190e+04	4.026e-01	3.638e-01	4.179e-01	2.933e-01	2.807e-01	3.474e-01	2.176e-01	1.900e-01	2.295e-01
1.200e+04	4.024e-01	3.638e-01	4.179e-01	2.933e-01	2.810e-01	3.474e-01	2.160e-01	1.890e-01	2.314e-01
1.210e+04	4.024e-01	3.638e-01	4.179e-01	2.917e-01	2.817e-01	3.471e-01	2.136e-01	1.888e-01	2.312e-01
1.220e+04	4.021e-01	3.638e-01	4.174e-01	2.907e-01	2.817e-01	3.467e-01	2.129e-01	1.883e-01	2.329e-01
1.230e+04	4.019e-01	3.638e-01	4.171e-01	2.900e-01	2.831e-01	3.467e-01	2.112e-01	1.879e-01	2.348e-01
