n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
4.000e+03	1.713e-02	1.468e-02	1.950e-02	2.835e-02	2.364e-02	3.283e-02	3.607e-02	3.138e-02	4.201e-02
4.100e+03	1.645e-02	1.512e-02	1.968e-02	2.898e-02	2.349e-02	3.294e-02	3.671e-02	3.007e-02	4.212e-02
4.200e+03	1.631e-02	1.459e-02	1.932e-02	2.768e-02	2.311e-02	3.218e-02	3.612e-02	3.014e-02	4.015e-02
4.300e+03	1.627e-02	1.457e-02	1.998e-02	2.722e-02	2.391e-02	3.202e-02	3.549e-02	2.956e-02	3.999e-02
4.400e+03	1.627e-02	1.376e-02	2.021e-02	2.568e-02	2.368e-02	3.126e-02	3.606e-02	2.801e-02	3.993e-02
4.500e+03	1.620e-02	1.360e-02	1.925e-02	2.531e-02	2.292e-02	3.109e-02	3.657e-02	2.744e-02	3.914e-02
4.600e+03	1.580e-02	1.408e-02	2.005e-02	2.488e-02	2.012e-02	3.041e-02	3.515e-02	2.717e-02	3.644e-02
4.700e+03	1.534e-02	1.408e-02	1.975e-02	2.587e-02	1.972e-02	2.906e-02	3.408e-02	2.649e-02	3.700e-02
4.800e+03	1.547e-02	1.290e-02	1.973e-02	2.420e-02	1.952e-02	2.756e-02	3.517e-02	2.702e-02	3.723e-02
4.900e+03	1.375e-02	1.201e-02	1.966e-02	2.339e-02	1.995e-02	2.756e-02	3.366e-02	2.692e-02	3.550e-02
5.000e+03	1.391e-02	1.191e-02	1.917e-02	2.340e-02	2.013e-02	2.736e-02	3.177e-02	2.619e-02	3.545e-02
5.100e+03	1.357e-02	1.198e-02	1.904e-02	2.590e-02	2.107e-02	2.738e-02	3.200e-02	2.513e-02	3.435e-02
