n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
1.660e+04	9.472e-03	8.400e-03	1.138e-02	1.435e-02	1.181e-02	2.136e-02	2.132e-02	1.596e-02	2.207e-02
1.670e+04	9.358e-03	8.264e-03	1.165e-02	1.431e-02	1.205e-02	2.147e-02	2.141e-02	1.594e-02	2.197e-02
1.680e+04	9.358e-03	8.193e-03	1.165e-02	1.430e-02	1.194e-02	2.147e-02	2.141e-02	1.594e-02	2.197e-02
1.690e+04	9.374e-03	8.312e-03	1.199e-02	1.441e-02	1.219e-02	2.147e-02	2.083e-02	1.567e-02	2.150e-02
1.700e+04	9.205e-03	8.313e-03	1.248e-02	1.441e-02	1.220e-02	2.176e-02	2.058e-02	1.558e-02	2.127e-02
1.710e+04	9.205e-03	8.366e-03	1.265e-02	1.432e-02	1.220e-02	2.176e-02	2.027e-02	1.558e-02	2.127e-02
1.720e+04	9.205e-03	8.366e-03	1.248e-02	1.432e-02	1.220e-02	2.016e-02	2.069e-02	1.578e-02	2.127e-02
1.730e+04	9.236e-03	8.366e-03	1.231e-02	1.471e-02	1.218e-02	2.016e-02	2.027e-02	1.592e-02	2.127e-02
1.740e+04	9.236e-03	8.388e-03	1.231e-02	1.462e-02	1.195e-02	1.936e-02	1.995e-02	1.593e-02	2.159e-02
1.750e+04	9.236e-03	8.404e-03	1.226e-02	1.453e-02	1.193e-02	1.937e-02	1.989e-02	1.599e-02	2.159e-02
1.760e+04	9.106e-03	8.326e-03	1.226e-02	1.424e-02	1.177e-02	1.954e-02	1.978e-02	1.599e-02	2.159e-02
1.770e+04	9.094e-03	8.326e-03	1.236e-02	1.497e-02	1.185e-02	1.954e-02	1.912e-02	1.609e-02	2.121e-02
1.780e+04	9.094e-03	8.404e-03	1.269e-02	1.486e-02	1.220e-02	1.853e-02	1.870e-02	1.571e-02	1.921e-02
1.790e+04	8.988e-03	8.404e-03	1.261e-02	1.486e-02	1.220e-02	1.868e-02	1.671e-02	1.555e-02	1.926e-02
1.800e+04	9.012e-03	8.404e-03	1.220e-02	1.462e-02	1.141e-02	1.874e-02	1.662e-02	1.555e-02	1.934e-02
1.810e+04	9.224e-03	8.217e-03	1.220e-02	1.462e-02	1.141e-02	1.864e-02	1.662e-02	1.589e-02	1.950e-02
1.820e+04	9.224e-03	8.217e-03	1.188e-02	1.443e-02	1.115e-02	1.768e-02	1.679e-02	1.605e-02	1.950e-02
1.830e+04	9.224e-03	8.193e-03	1.194e-02	1.432e-02	1.104e-02	1.761e-02	1.679e-02	1.516e-02	1.955e-02
1.840e+04	9.478e-03	8.193e-03	1.194e-02	1.432e-02	1.115e-02	1.605e-02	1.679e-02	1.498e-02	1.955e-02
1.850e+04	9.431e-03	8.091e-03	1.199e-02	1.432e-02	1.143e-02	1.605e-02	1.679e-02	1.409e-02	1.955e-02
1.860e+04	9.178e-03	8.018e-03	1.199e-02	1.429e-02	1.143e-02	1.605e-02	1.718e-02	1.361e-02	1.955e-02
1.870e+04	9.178e-03	8.018e-03	1.199e-02	1.430e-02	1.123e-02	1.610e-02	1.718e-02	1.485e-02	1.955e-02
1.880e+04	9.178e-03	7.942e-03	1.199e-02	1.419e-02	1.131e-02	1.430e-02	1.718e-02	1.506e-02	1.960e-02
1.890e+04	9.178e-03	8.018e-03	1.203e-02	1.338e-02	1.127e-02	1.416e-02	1.695e-02	1.495e-02	1.957e-02
1.900e+04	9.178e-03	7.914e-03	1.203e-02	1.383e-02	1.159e-02	1.431e-02	1.703e-02	1.500e-02	1.957e-02
1.910e+04	9.178e-03	8.043e-03	1.203e-02	1.383e-02	1.175e-02	1.431e-02	1.666e-02	1.497e-02	1.957e-02
1.920e+04	8.937e-03	8.119e-03	1.229e-02	1.383e-02	1.150e-02	1.445e-02	1.692e-02	1.520e-02	1.948e-02
1.930e+04	8.937e-03	8.119e-03	1.229e-02	1.383e-02	1.066e-02	1.441e-02	1.694e-02	1.501e-02	1.951e-02
1.940e+04	8.937e-03	8.193e-03	1.224e-02	1.370e-02	1.071e-02	1.441e-02	1.787e-02	1.519e-02	1.957e-02
1.950e+04	8.912e-03	8.292e-03	1.224e-02	1.383e-02	1.082e-02	1.462e-02	1.789e-02	1.519e-02	1.957e-02
1.960e+04	8.912e-03	8.292e-03	1.229e-02	1.375e-02	1.079e-02	1.443e-02	1.789e-02	1.519e-02	1.959e-02
1.970e+04	8.912e-03	8.388e-03	1.234e-02	1.377e-02	1.092e-02	1.448e-02	1.785e-02	1.509e-02	1.959e-02
1.980e+04	8.912e-03	8.388e-03	1.234e-02	1.353e-02	1.136e-02	1.448e-02	1.766e-02	1.509e-02	1.959e-02
1.990e+04	9.532e-03	8.381e-03	1.234e-02	1.356e-02	1.174e-02	1.458e-02	1.766e-02	1.484e-02	1.959e-02
2.000e+04	9.532e-03	8.248e-03	1.217e-02	1.384e-02	1.174e-02	1.495e-02	1.717e-02	1.509e-02	1.968e-02
