n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
1.530e+04	1.705e-02	1.645e-02	2.630e-02	2.543e-02	1.850e-02	3.016e-02	2.879e-02	2.228e-02	3.017e-02
1.540e+04	1.705e-02	1.662e-02	2.630e-02	2.566e-02	1.850e-02	2.970e-02	2.879e-02	2.231e-02	3.017e-02
1.550e+04	1.705e-02	1.662e-02	2.662e-02	2.566e-02	1.884e-02	2.970e-02	2.873e-02	2.194e-02	3.040e-02
1.560e+04	1.919e-02	1.662e-02	2.662e-02	2.503e-02	1.888e-02	2.910e-02	2.834e-02	2.221e-02	3.029e-02
1.570e+04	1.947e-02	1.662e-02	2.606e-02	2.470e-02	1.887e-02	2.910e-02	2.678e-02	2.051e-02	3.076e-02
1.580e+04	1.947e-02	1.662e-02	2.615e-02	2.379e-02	1.881e-02	2.894e-02	2.713e-02	2.076e-02	3.085e-02
1.590e+04	1.919e-02	1.672e-02	2.630e-02	2.392e-02	1.847e-02	2.687e-02	2.707e-02	2.042e-02	2.976e-02
1.600e+04	1.886e-02	1.684e-02	2.542e-02	2.318e-02	1.853e-02	2.736e-02	2.702e-02	1.982e-02	2.987e-02
1.610e+04	1.884e-02	1.662e-02	2.521e-02	2.374e-02	1.853e-02	2.750e-02	2.667e-02	1.986e-02	2.998e-02
1.620e+04	1.875e-02	1.662e-02	2.521e-02	2.378e-02	1.870e-02	2.716e-02	2.673e-02	1.960e-02	2.998e-02
1.630e+04	1.847e-02	1.662e-02	2.521e-02	2.345e-02	1.877e-02	2.719e-02	2.622e-02	1.963e-02	2.966e-02
1.640e+04	1.847e-02	1.662e-02	2.521e-02	2.345e-02	1.860e-02	2.719e-02	2.602e-02	1.989e-02	2.957e-02
1.650e+04	1.844e-02	1.672e-02	2.521e-02	2.345e-02	1.860e-02	2.695e-02	2.681e-02	1.982e-02	2.817e-02
1.660e+04	1.886e-02	1.659e-02	2.521e-02	2.358e-02	1.841e-02	2.613e-02	2.670e-02	1.982e-02	2.737e-02
1.670e+04	1.886e-02	1.650e-02	2.540e-02	2.358e-02	1.866e-02	2.613e-02	2.606e-02	1.970e-02	2.736e-02
1.680e+04	1.841e-02	1.653e-02	2.566e-02	2.366e-02	1.871e-02	2.613e-02	2.606e-02	1.999e-02	2.729e-02
1.690e+04	1.841e-02	1.653e-02	2.531e-02	2.366e-02	1.853e-02	2.613e-02	2.516e-02	2.011e-02	2.648e-02
1.700e+04	1.773e-02	1.653e-02	2.535e-02	2.366e-02	1.798e-02	2.666e-02	2.506e-02	1.942e-02	2.616e-02
1.710e+04	1.752e-02	1.653e-02	2.544e-02	2.345e-02	1.798e-02	2.666e-02	2.506e-02	1.825e-02	2.643e-02
1.720e+04	1.853e-02	1.659e-02	2.540e-02	2.369e-02	1.853e-02	2.648e-02	2.506e-02	1.853e-02	2.687e-02
1.730e+04	1.870e-02	1.659e-02	2.540e-02	2.369e-02	1.920e-02	2.648e-02	2.493e-02	1.860e-02	2.588e-02
1.740e+04	1.870e-02	1.680e-02	2.548e-02	2.210e-02	1.942e-02	2.615e-02	2.506e-02	1.853e-02	2.569e-02
1.750e+04	1.981e-02	1.667e-02	2.548e-02	2.225e-02	1.974e-02	2.615e-02	2.506e-02	1.825e-02	2.560e-02
1.760e+04	1.981e-02	1.691e-02	2.548e-02	2.225e-02	1.983e-02	2.632e-02	2.506e-02	1.825e-02	2.560e-02
1.770e+04	1.981e-02	1.713e-02	2.557e-02	2.257e-02	1.980e-02	2.632e-02	2.469e-02	1.865e-02	2.518e-02
1.780e+04	1.981e-02	1.700e-02	2.559e-02	2.270e-02	1.980e-02	2.658e-02	2.316e-02	1.878e-02	2.518e-02
1.790e+04	1.981e-02	1.706e-02	2.595e-02	2.270e-02	2.008e-02	2.659e-02	2.315e-02	1.929e-02	2.564e-02
1.800e+04	2.016e-02	1.700e-02	2.573e-02	2.189e-02	2.044e-02	2.643e-02	2.366e-02	1.916e-02	2.564e-02
1.810e+04	2.016e-02	1.673e-02	2.622e-02	2.189e-02	2.084e-02	2.718e-02	2.366e-02	1.966e-02	2.564e-02
1.820e+04	2.016e-02	1.673e-02	2.622e-02	2.189e-02	2.076e-02	2.694e-02	2.405e-02	2.029e-02	2.564e-02
1.830e+04	2.050e-02	1.696e-02	2.622e-02	2.225e-02	2.073e-02	2.670e-02	2.409e-02	2.072e-02	2.553e-02
1.840e+04	2.095e-02	1.667e-02	2.557e-02	2.198e-02	2.071e-02	2.670e-02	2.409e-02	2.084e-02	2.619e-02
1.850e+04	2.095e-02	1.667e-02	2.517e-02	2.260e-02	2.039e-02	2.687e-02	2.436e-02	2.137e-02	2.661e-02
1.860e+04	2.095e-02	1.687e-02	2.520e-02	2.318e-02	2.039e-02	2.687e-02	2.389e-02	2.218e-02	2.661e-02
1.870e+04	2.095e-02	1.692e-02	2.520e-02	2.321e-02	1.847e-02	2.691e-02	2.363e-02	2.223e-02	2.640e-02
1.880e+04	2.109e-02	1.706e-02	2.520e-02	2.366e-02	1.860e-02	2.691e-02	2.402e-02	2.255e-02	2.640e-02
1.890e+04	2.109e-02	1.706e-02	2.520e-02	2.396e-02	1.860e-02	2.691e-02	2.428e-02	2.284e-02	2.640e-02
1.900e+04	2.109e-02	1.706e-02	2.520e-02	2.474e-02	1.878e-02	2.677e-02	2.454e-02	2.246e-02	2.640e-02
1.910e+04	2.109e-02	1.729e-02	2.520e-02	2.459e-02	1.860e-02	2.677e-02	2.516e-02	2.246e-02	2.673e-02
1.920e+04	2.109e-02	1.731e-02	2.483e-02	2.459e-02	1.878e-02	2.677e-02	2.516e-02	2.234e-02	2.673e-02
1.930e+04	2.109e-02	1.731e-02	2.483e-02	2.321e-02	1.878e-02	2.627e-02	2.481e-02	2.234e-02	2.683e-02
1.940e+04	2.150e-02	1.720e-02	2.483e-02	2.321e-02	1.930e-02	2.622e-02	2.516e-02	2.234e-02	2.694e-02
1.950e+04	2.130e-02	1.896e-02	2.483e-02	2.320e-02	1.951e-02	2.599e-02	2.539e-02	2.271e-02	2.640e-02
1.960e+04	2.163e-02	1.871e-02	2.483e-02	2.343e-02	2.031e-02	2.599e-02	2.539e-02	2.271e-02	2.672e-02
1.970e+04	2.187e-02	1.871e-02	2.483e-02	2.368e-02	2.040e-02	2.651e-02	2.562e-02	2.200e-02	2.630e-02
1.980e+04	2.187e-02	1.896e-02	2.483e-02	2.344e-02	2.068e-02	2.659e-02	2.562e-02	2.291e-02	2.630e-02
1.990e+04	2.190e-02	1.896e-02	2.531e-02	2.330e-02	2.076e-02	2.673e-02	2.562e-02	2.302e-02	2.638e-02
2.000e+04	2.190e-02	1.848e-02	2.531e-02	2.358e-02	2.061e-02	2.679e-02	2.597e-02	2.275e-02	2.650e-02
