n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
4.000e+03	3.901e-02	3.500e-02	3.993e-02	5.021e-02	2.779e-02	5.584e-02	4.628e-02	4.009e-02	4.930e-02
4.100e+03	3.864e-02	3.412e-02	4.025e-02	5.038e-02	2.795e-02	5.584e-02	4.628e-02	4.079e-02	4.891e-02
4.200e+03	3.859e-02	3.286e-02	4.133e-02	4.966e-02	2.880e-02	5.624e-02	4.561e-02	4.061e-02	4.843e-02
4.300e+03	3.923e-02	3.286e-02	4.060e-02	4.850e-02	2.982e-02	5.598e-02	4.598e-02	4.192e-02	4.717e-02
4.400e+03	3.641e-02	3.114e-02	4.082e-02	4.877e-02	2.983e-02	5.617e-02	4.549e-02	4.073e-02	4.743e-02
4.500e+03	3.595e-02	2.965e-02	4.063e-02	4.873e-02	2.681e-02	5.614e-02	4.523e-02	3.837e-02	4.787e-02
4.600e+03	3.571e-02	2.831e-02	4.117e-02	4.797e-02	2.785e-02	5.426e-02	4.554e-02	3.800e-02	4.674e-02
4.700e+03	3.619e-02	2.831e-02	4.117e-02	4.549e-02	2.613e-02	5.020e-02	4.561e-02	3.673e-02	4.715e-02
4.800e+03	3.718e-02	2.723e-02	4.025e-02	4.358e-02	2.743e-02	4.855e-02	4.490e-02	3.800e-02	4.664e-02
4.900e+03	3.729e-02	2.700e-02	3.960e-02	4.358e-02	2.728e-02	4.834e-02	4.336e-02	3.805e-02	4.642e-02
5.000e+03	3.674e-02	2.694e-02	3.973e-02	4.277e-02	2.731e-02	4.834e-02	4.356e-02	3.781e-02	4.489e-02
5.100e+03	3.702e-02	2.517e-02	3.915e-02	4.124e-02	2.968e-02	4.828e-02	4.177e-02	3.852e-02	4.217e-02
5.200e+03	3.702e-02	2.600e-02	3.887e-02	4.103e-02	2.994e-02	4.819e-02	4.199e-02	3.808e-02	4.217e-02
5.300e+03	3.647e-02	2.658e-02	3.702e-02	4.075e-02	2.990e-02	4.778e-02	4.092e-02	3.842e-02	4.224e-02
5.400e+03	3.591e-02	2.638e-02	3.634e-02	3.874e-02	2.978e-02	4.696e-02	4.126e-02	3.846e-02	4.351e-02
