_.locomotion.hilly.5.0.75.ga.epistasis.1.0	_.locomotion.hilly.5.0.75.ga.epistasis.2.0	_.locomotion.hilly.5.0.75.ga.epistasis.0.5
3.333e-01	2.619e-01	3.571e-01
2.619e-01	1.429e-01	3.571e-01
3.810e-01	2.857e-01	4.286e-01
2.857e-01	2.619e-01	4.286e-01
2.857e-01	1.905e-01	3.810e-01
3.333e-01	2.381e-01	4.286e-01
4.048e-01	1.905e-01	4.048e-01
3.333e-01	3.333e-01	4.048e-01
4.286e-01	2.619e-01	4.524e-01
2.857e-01	1.905e-01	3.571e-01
