run.problem.name;run.solver.name;run.randomGenerator.seed;run.problem.simulation.arena;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;best→quality→behavior.quality→first.agent.velocity.x;best→genotype→size;best→genotype→first→size;best→genotype→second→size;best→body.epistasis;best→brain.epistasis;best→global.epistasis;best→cross.epistasis;all→each[body.epistasis]→avg;all→each[brain.epistasis]→avg;all→each[global.epistasis]→avg;all→each[cross.epistasis]→avg;all→each[body.epistasis]→sd;all→each[brain.epistasis]→sd;all→each[global.epistasis]→sd;all→each[cross.epistasis]→sd
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;8;800;800;2.96780e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.57143e-01;5.83333e-01;4.04762e-01;3.71667e-01;3.78333e-01;5.76429e-01;4.02857e-01;3.98260e-02;4.56616e-02;1.86855e-02;5.34183e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;9;900;900;3.15660e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.86429e-01;3.56905e-01;5.75714e-01;4.08095e-01;3.91020e-02;4.22570e-02;1.92342e-02;5.25991e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;9;900;900;3.33450e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;4.04762e-01;3.33333e-01;5.83333e-01;4.28571e-01;3.73095e-01;3.76905e-01;5.75952e-01;4.01905e-01;4.01323e-02;4.60522e-02;1.90312e-02;5.41142e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;10;1000;1000;3.49870e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.83333e-01;3.58095e-01;5.73929e-01;4.06429e-01;3.94836e-02;4.24478e-02;1.76813e-02;5.34793e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;10;1000;1000;3.67210e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.77619e-01;3.73095e-01;5.76905e-01;4.03095e-01;4.42908e-02;4.60522e-02;1.90044e-02;5.24085e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;11;1100;1100;3.84540e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.81905e-01;3.59762e-01;5.73214e-01;4.04762e-01;3.91114e-02;4.01097e-02;1.74457e-02;5.34522e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;11;1100;1100;4.02540e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.33333e-01;3.80952e-01;5.83333e-01;4.52381e-01;3.77619e-01;3.76190e-01;5.78095e-01;4.02381e-01;4.41627e-02;4.71405e-02;1.92931e-02;5.30798e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;12;1200;1200;4.20920e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.81667e-01;3.64524e-01;5.72619e-01;3.99048e-01;3.83111e-02;3.77507e-02;1.67937e-02;5.26099e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;12;1200;1200;4.36580e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.09524e-01;5.71429e-01;4.52381e-01;3.78810e-01;3.77143e-01;5.78095e-01;4.00238e-01;4.17984e-02;4.95696e-02;2.00142e-02;5.25641e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;13;1300;1300;4.53280e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.81190e-01;3.65476e-01;5.72857e-01;3.99048e-01;3.94829e-02;3.66350e-02;1.62604e-02;5.21771e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;13;1300;1300;4.71370e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.09524e-01;5.71429e-01;4.52381e-01;3.77857e-01;3.75000e-01;5.76667e-01;4.00476e-01;4.16027e-02;4.91855e-02;2.10496e-02;4.95307e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;2;null;14;1400;1400;4.91410e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.57143e-01;4.52381e-01;5.47619e-01;2.85714e-01;3.79048e-01;3.65476e-01;5.72381e-01;4.00238e-01;3.93657e-02;3.47285e-02;1.59435e-02;5.26718e-02
locomotion[hilly[5-0.75]];ga-epistasis-0.5;1;null;14;1400;1400;5.07100e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;NA;NA;42;84;3.80952e-01;3.09524e-01;5.71429e-01;4.52381e-01;3.78333e-01;3.74524e-01;5.77024e-01;4.01190e-01;4.31071e-02;5.04913e-02;2.18513e-02;4.96444e-02
