n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
1.550e+04	2.324e-02	2.152e-02	2.782e-02	3.124e-02	2.679e-02	3.655e-02	2.753e-02	2.617e-02	2.818e-02
1.560e+04	2.336e-02	2.146e-02	2.782e-02	2.815e-02	2.708e-02	3.617e-02	2.687e-02	2.553e-02	2.818e-02
1.570e+04	2.329e-02	2.146e-02	2.729e-02	2.815e-02	2.728e-02	3.568e-02	2.645e-02	2.506e-02	2.818e-02
1.580e+04	2.329e-02	2.159e-02	2.771e-02	2.958e-02	2.704e-02	3.520e-02	2.641e-02	2.455e-02	2.805e-02
1.590e+04	2.293e-02	2.126e-02	2.757e-02	2.923e-02	2.704e-02	3.440e-02	2.641e-02	2.405e-02	2.784e-02
1.600e+04	2.299e-02	2.119e-02	2.831e-02	2.922e-02	2.704e-02	3.481e-02	2.643e-02	2.357e-02	2.768e-02
1.610e+04	2.299e-02	2.100e-02	2.845e-02	2.983e-02	2.700e-02	3.499e-02	2.640e-02	2.414e-02	2.768e-02
1.620e+04	2.296e-02	2.091e-02	2.764e-02	2.915e-02	2.704e-02	3.501e-02	2.679e-02	2.393e-02	2.762e-02
1.630e+04	2.296e-02	2.091e-02	2.764e-02	2.925e-02	2.675e-02	3.514e-02	2.658e-02	2.413e-02	2.827e-02
1.640e+04	2.296e-02	2.105e-02	2.716e-02	2.918e-02	2.675e-02	3.358e-02	2.658e-02	2.413e-02	2.823e-02
1.650e+04	2.316e-02	2.091e-02	2.716e-02	2.924e-02	2.687e-02	3.376e-02	2.648e-02	2.344e-02	2.695e-02
1.660e+04	2.301e-02	2.089e-02	2.716e-02	2.926e-02	2.708e-02	3.325e-02	2.642e-02	2.296e-02	2.723e-02
1.670e+04	2.554e-02	2.083e-02	2.630e-02	2.926e-02	2.699e-02	3.342e-02	2.648e-02	2.296e-02	2.729e-02
1.680e+04	2.557e-02	2.100e-02	2.636e-02	2.998e-02	2.651e-02	3.359e-02	2.648e-02	2.296e-02	2.736e-02
1.690e+04	2.554e-02	2.127e-02	2.636e-02	2.998e-02	2.651e-02	3.253e-02	2.681e-02	2.344e-02	2.723e-02
1.700e+04	2.525e-02	2.082e-02	2.715e-02	2.955e-02	2.618e-02	3.357e-02	2.665e-02	2.344e-02	2.686e-02
1.710e+04	2.522e-02	2.082e-02	2.715e-02	2.955e-02	2.666e-02	3.357e-02	2.673e-02	2.343e-02	2.811e-02
1.720e+04	2.570e-02	2.082e-02	2.878e-02	2.980e-02	2.651e-02	3.318e-02	2.642e-02	2.343e-02	2.811e-02
1.730e+04	2.560e-02	2.014e-02	2.884e-02	2.980e-02	2.651e-02	3.265e-02	2.605e-02	2.308e-02	2.817e-02
1.740e+04	2.560e-02	2.039e-02	2.884e-02	2.980e-02	2.618e-02	3.206e-02	2.589e-02	2.257e-02	2.803e-02
1.750e+04	2.560e-02	2.100e-02	2.947e-02	2.934e-02	2.586e-02	3.110e-02	2.610e-02	2.286e-02	2.803e-02
1.760e+04	2.560e-02	2.110e-02	2.899e-02	2.934e-02	2.553e-02	3.102e-02	2.610e-02	2.281e-02	2.834e-02
1.770e+04	2.540e-02	2.103e-02	2.899e-02	2.904e-02	2.518e-02	3.097e-02	2.632e-02	2.271e-02	2.849e-02
1.780e+04	2.489e-02	2.137e-02	2.899e-02	2.904e-02	2.518e-02	3.106e-02	2.552e-02	2.298e-02	2.849e-02
1.790e+04	2.429e-02	2.147e-02	2.899e-02	2.858e-02	2.518e-02	2.962e-02	2.658e-02	2.339e-02	2.863e-02
1.800e+04	2.429e-02	2.140e-02	2.967e-02	2.831e-02	2.513e-02	3.010e-02	2.659e-02	2.366e-02	2.904e-02
1.810e+04	2.440e-02	2.131e-02	2.941e-02	2.831e-02	2.443e-02	3.086e-02	2.678e-02	2.284e-02	2.935e-02
1.820e+04	2.435e-02	2.122e-02	2.941e-02	2.801e-02	2.452e-02	3.086e-02	2.710e-02	2.291e-02	2.935e-02
1.830e+04	2.435e-02	2.067e-02	3.019e-02	2.815e-02	2.517e-02	3.168e-02	2.731e-02	2.358e-02	2.966e-02
1.840e+04	2.433e-02	2.076e-02	3.082e-02	2.815e-02	2.495e-02	3.209e-02	2.799e-02	2.358e-02	2.966e-02
1.850e+04	2.433e-02	2.076e-02	3.082e-02	2.798e-02	2.363e-02	3.334e-02	2.717e-02	2.366e-02	2.966e-02
1.860e+04	2.397e-02	2.076e-02	3.082e-02	2.798e-02	2.363e-02	3.499e-02	2.718e-02	2.422e-02	2.943e-02
1.870e+04	2.405e-02	2.076e-02	3.082e-02	2.801e-02	2.363e-02	3.517e-02	2.718e-02	2.390e-02	2.975e-02
1.880e+04	2.405e-02	2.076e-02	3.126e-02	2.815e-02	2.363e-02	3.609e-02	2.718e-02	2.318e-02	2.998e-02
1.890e+04	2.405e-02	2.067e-02	3.124e-02	2.746e-02	2.363e-02	3.628e-02	2.700e-02	2.301e-02	2.998e-02
1.900e+04	2.399e-02	2.067e-02	3.108e-02	2.645e-02	2.397e-02	3.450e-02	2.827e-02	2.301e-02	2.975e-02
1.910e+04	2.396e-02	2.048e-02	3.091e-02	2.673e-02	2.377e-02	3.465e-02	2.921e-02	2.311e-02	2.979e-02
1.920e+04	2.397e-02	2.091e-02	3.069e-02	2.666e-02	2.358e-02	3.482e-02	2.825e-02	2.390e-02	2.930e-02
1.930e+04	2.397e-02	2.091e-02	3.069e-02	2.666e-02	2.353e-02	3.442e-02	2.810e-02	2.360e-02	2.930e-02
1.940e+04	2.397e-02	2.024e-02	3.132e-02	2.681e-02	2.353e-02	3.435e-02	2.835e-02	2.342e-02	2.930e-02
1.950e+04	2.472e-02	2.024e-02	3.113e-02	2.736e-02	2.552e-02	3.442e-02	2.835e-02	2.329e-02	2.974e-02
1.960e+04	2.472e-02	2.086e-02	3.235e-02	2.736e-02	2.518e-02	3.471e-02	2.835e-02	2.311e-02	3.047e-02
1.970e+04	2.472e-02	2.126e-02	3.235e-02	2.707e-02	2.508e-02	3.510e-02	2.909e-02	2.261e-02	3.168e-02
1.980e+04	2.472e-02	2.146e-02	3.235e-02	2.694e-02	2.407e-02	3.475e-02	2.909e-02	2.261e-02	3.355e-02
1.990e+04	2.472e-02	2.178e-02	3.181e-02	2.692e-02	2.407e-02	3.428e-02	2.914e-02	2.261e-02	3.412e-02
2.000e+04	2.472e-02	2.158e-02	3.181e-02	2.715e-02	2.407e-02	3.390e-02	2.902e-02	2.213e-02	3.357e-02
