n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
4.000e+03	4.735e-02	3.771e-02	5.239e-02	6.389e-02	4.968e-02	7.078e-02	5.402e-02	4.610e-02	5.765e-02
4.100e+03	4.768e-02	3.521e-02	5.213e-02	6.439e-02	4.888e-02	6.756e-02	5.353e-02	4.574e-02	5.732e-02
4.200e+03	4.750e-02	3.449e-02	5.195e-02	6.348e-02	4.719e-02	6.626e-02	5.303e-02	4.498e-02	5.647e-02
4.300e+03	4.691e-02	3.449e-02	4.827e-02	6.330e-02	4.514e-02	6.547e-02	5.225e-02	4.469e-02	5.645e-02
4.400e+03	4.623e-02	3.449e-02	4.785e-02	6.305e-02	4.451e-02	6.463e-02	5.213e-02	4.549e-02	5.651e-02
4.500e+03	4.581e-02	3.407e-02	4.731e-02	6.148e-02	4.442e-02	6.282e-02	5.196e-02	4.658e-02	5.640e-02
4.600e+03	4.511e-02	3.178e-02	4.683e-02	6.101e-02	4.136e-02	6.229e-02	5.173e-02	4.482e-02	5.472e-02
4.700e+03	4.522e-02	3.244e-02	4.586e-02	6.097e-02	3.999e-02	6.124e-02	4.884e-02	4.524e-02	5.317e-02
4.800e+03	4.448e-02	3.127e-02	4.696e-02	5.807e-02	3.885e-02	6.118e-02	4.768e-02	4.497e-02	5.066e-02
4.900e+03	4.435e-02	3.142e-02	4.672e-02	5.304e-02	3.876e-02	6.185e-02	4.808e-02	4.497e-02	4.928e-02
5.000e+03	4.499e-02	3.230e-02	4.672e-02	5.521e-02	3.789e-02	6.094e-02	4.695e-02	4.395e-02	4.836e-02
5.100e+03	4.421e-02	3.110e-02	4.722e-02	5.311e-02	3.681e-02	6.039e-02	4.739e-02	4.012e-02	4.813e-02
5.200e+03	4.437e-02	3.021e-02	4.663e-02	5.291e-02	3.814e-02	5.885e-02	4.647e-02	3.839e-02	4.775e-02
5.300e+03	4.610e-02	3.011e-02	4.768e-02	5.010e-02	3.858e-02	5.790e-02	4.592e-02	3.861e-02	4.848e-02
5.400e+03	4.608e-02	3.002e-02	4.777e-02	5.046e-02	3.690e-02	5.707e-02	4.610e-02	3.642e-02	4.795e-02
5.500e+03	4.657e-02	2.982e-02	4.758e-02	5.250e-02	3.538e-02	5.710e-02	4.566e-02	3.598e-02	4.646e-02
5.600e+03	4.536e-02	2.693e-02	4.676e-02	5.105e-02	3.500e-02	5.723e-02	4.317e-02	3.649e-02	4.625e-02
