n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.max
1.500e+03	3.810e-01	3.571e-01	4.048e-01	2.143e-01	1.905e-01	2.381e-01	1.667e-01	9.524e-02	1.905e-01
1.600e+03	3.810e-01	3.333e-01	4.048e-01	2.143e-01	1.905e-01	2.619e-01	1.667e-01	9.524e-02	1.905e-01
1.700e+03	3.810e-01	3.333e-01	4.048e-01	2.143e-01	1.905e-01	2.381e-01	1.667e-01	9.524e-02	1.905e-01
1.800e+03	3.810e-01	3.333e-01	4.048e-01	2.143e-01	1.905e-01	2.381e-01	1.667e-01	1.190e-01	1.905e-01
1.900e+03	3.810e-01	3.333e-01	4.048e-01	2.143e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.667e-01
2.000e+03	3.810e-01	3.333e-01	4.048e-01	2.143e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.667e-01
2.100e+03	3.810e-01	3.333e-01	3.810e-01	2.143e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.667e-01
2.200e+03	3.810e-01	3.333e-01	3.810e-01	2.143e-01	1.905e-01	2.381e-01	1.190e-01	9.524e-02	1.667e-01
2.300e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
2.400e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
2.500e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
2.600e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
2.700e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
2.800e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
2.900e+03	3.810e-01	3.571e-01	3.810e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.000e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.100e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.200e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.300e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.400e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.190e-01	9.524e-02	1.667e-01
3.500e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
3.600e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
3.700e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	9.524e-02	1.667e-01
3.800e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.667e-01
3.900e+03	3.571e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.905e-01
4.000e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.905e-01
4.100e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.905e-01
4.200e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.905e-01
4.300e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.667e-01	1.190e-01	1.905e-01
4.400e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.667e-01	1.190e-01	1.905e-01
4.500e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
4.600e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	9.524e-02	1.667e-01
4.700e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.429e-01	1.190e-01	1.429e-01
4.800e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.429e-01	2.381e-01	1.429e-01	1.190e-01	1.429e-01
4.900e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.429e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
5.000e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.429e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
5.100e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	1.429e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
5.200e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
5.300e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.429e-01	1.190e-01	1.667e-01
5.400e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
5.500e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
5.600e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
5.700e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
5.800e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
5.900e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.000e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.100e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.200e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.300e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.667e-01	1.429e-01	1.667e-01
6.400e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.905e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.500e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.667e-01	2.381e-01	1.667e-01	1.190e-01	1.667e-01
6.600e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.667e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
6.700e+03	3.810e-01	3.571e-01	4.048e-01	2.381e-01	1.667e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
6.800e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
6.900e+03	4.048e-01	3.571e-01	4.286e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.000e+03	4.048e-01	3.571e-01	4.286e-01	2.619e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.100e+03	4.048e-01	3.571e-01	4.286e-01	2.619e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.200e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.300e+03	4.048e-01	3.571e-01	4.048e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.400e+03	4.048e-01	3.571e-01	4.286e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.500e+03	4.048e-01	3.571e-01	4.286e-01	2.381e-01	2.143e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.600e+03	3.810e-01	3.571e-01	4.286e-01	2.619e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.700e+03	3.810e-01	3.571e-01	4.048e-01	2.619e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
7.800e+03	3.810e-01	3.571e-01	4.048e-01	2.619e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
7.900e+03	3.810e-01	3.571e-01	4.048e-01	2.619e-01	2.143e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.000e+03	3.810e-01	3.571e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.100e+03	3.810e-01	3.571e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.200e+03	3.571e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.300e+03	3.571e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.400e+03	3.571e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.429e-01	1.190e-01	1.667e-01
8.500e+03	3.571e-01	3.333e-01	4.048e-01	2.619e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.667e-01
8.600e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
8.700e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
8.800e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
8.900e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
9.000e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
9.100e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.667e-01
9.200e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
9.300e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
9.400e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.429e-01	1.190e-01	1.667e-01
9.500e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
9.600e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
9.700e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
9.800e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
9.900e+03	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
1.000e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
1.010e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.020e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.030e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.040e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.050e+04	3.571e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.060e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
1.070e+04	3.810e-01	3.333e-01	4.048e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.190e-01	1.905e-01
