_.locomotion.hilly.5.0.75.ga.epistasis.1.0	_.locomotion.hilly.5.0.75.ga.epistasis.2.0	_.locomotion.hilly.5.0.75.ga.epistasis.0.5
3.157e-01	1.240e-01	4.021e-01
2.226e-01	9.762e-02	3.619e-01
1.445e-01	1.288e-01	3.440e-01
1.667e-01	1.145e-01	3.983e-01
3.038e-01	9.690e-02	3.914e-01
2.712e-01	1.017e-01	4.348e-01
2.005e-01	2.195e-01	4.017e-01
2.736e-01	8.976e-02	3.412e-01
2.331e-01	1.826e-01	3.771e-01
2.190e-01	1.731e-01	4.143e-01
