n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.max
1.770e+04	1.858e-02	1.729e-02	2.152e-02	3.021e-02	1.840e-02	3.464e-02	2.636e-02	2.293e-02	2.721e-02
1.780e+04	1.875e-02	1.729e-02	2.132e-02	3.010e-02	1.884e-02	3.301e-02	2.621e-02	2.260e-02	2.766e-02
1.790e+04	1.859e-02	1.708e-02	2.116e-02	3.021e-02	1.778e-02	3.302e-02	2.649e-02	1.868e-02	2.838e-02
1.800e+04	1.821e-02	1.708e-02	2.116e-02	3.002e-02	1.778e-02	3.314e-02	2.688e-02	1.872e-02	2.757e-02
1.810e+04	1.825e-02	1.708e-02	2.100e-02	3.002e-02	1.778e-02	3.216e-02	2.673e-02	1.872e-02	2.850e-02
1.820e+04	1.827e-02	1.729e-02	2.131e-02	2.926e-02	1.759e-02	3.216e-02	2.721e-02	1.868e-02	2.852e-02
1.830e+04	1.827e-02	1.729e-02	2.135e-02	2.926e-02	1.778e-02	3.033e-02	2.759e-02	1.868e-02	2.805e-02
1.840e+04	1.839e-02	1.729e-02	2.121e-02	2.774e-02	1.815e-02	3.017e-02	2.737e-02	1.872e-02	2.805e-02
1.850e+04	1.859e-02	1.738e-02	2.121e-02	2.760e-02	1.957e-02	2.998e-02	2.737e-02	1.838e-02	2.805e-02
1.860e+04	1.859e-02	1.814e-02	2.121e-02	2.777e-02	2.083e-02	2.998e-02	2.740e-02	1.841e-02	2.835e-02
1.870e+04	1.859e-02	1.814e-02	2.121e-02	2.813e-02	2.084e-02	3.013e-02	2.773e-02	1.875e-02	2.835e-02
1.880e+04	1.859e-02	1.814e-02	2.116e-02	2.797e-02	2.114e-02	3.013e-02	2.782e-02	1.859e-02	2.879e-02
1.890e+04	1.859e-02	1.814e-02	2.116e-02	2.731e-02	2.115e-02	3.013e-02	2.762e-02	1.874e-02	2.862e-02
1.900e+04	1.876e-02	1.814e-02	2.178e-02	2.757e-02	2.143e-02	3.013e-02	2.778e-02	1.874e-02	2.875e-02
1.910e+04	1.882e-02	1.814e-02	2.178e-02	2.729e-02	2.169e-02	3.017e-02	2.764e-02	1.858e-02	3.019e-02
1.920e+04	1.857e-02	1.814e-02	2.158e-02	2.774e-02	2.169e-02	3.021e-02	2.774e-02	1.785e-02	3.028e-02
1.930e+04	1.936e-02	1.791e-02	2.158e-02	2.742e-02	2.219e-02	3.025e-02	2.784e-02	1.794e-02	3.019e-02
1.940e+04	1.936e-02	1.791e-02	2.145e-02	2.702e-02	2.220e-02	2.926e-02	2.825e-02	1.785e-02	3.032e-02
1.950e+04	1.936e-02	1.791e-02	2.190e-02	2.702e-02	2.220e-02	2.926e-02	2.845e-02	1.782e-02	3.032e-02
1.960e+04	1.936e-02	1.791e-02	2.305e-02	2.686e-02	2.220e-02	2.903e-02	2.797e-02	1.778e-02	3.032e-02
1.970e+04	1.936e-02	1.860e-02	2.305e-02	2.686e-02	2.246e-02	2.945e-02	2.691e-02	1.802e-02	3.032e-02
1.980e+04	1.936e-02	1.853e-02	2.305e-02	2.681e-02	2.271e-02	2.939e-02	2.691e-02	1.762e-02	3.017e-02
1.990e+04	2.048e-02	1.825e-02	2.305e-02	2.675e-02	2.271e-02	2.939e-02	2.691e-02	1.783e-02	3.017e-02
2.000e+04	2.048e-02	1.841e-02	2.305e-02	2.675e-02	2.271e-02	2.939e-02	2.691e-02	1.783e-02	3.028e-02
