n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.sd.max
4.000e+03	3.602e-02	3.153e-02	4.386e-02	4.743e-02	3.394e-02	5.038e-02	4.228e-02	3.820e-02	4.584e-02
4.100e+03	3.591e-02	2.958e-02	4.331e-02	4.726e-02	3.509e-02	4.830e-02	4.204e-02	3.762e-02	4.629e-02
4.200e+03	3.459e-02	2.846e-02	4.332e-02	4.604e-02	3.352e-02	4.802e-02	4.277e-02	3.766e-02	4.634e-02
4.300e+03	3.398e-02	2.847e-02	4.184e-02	4.580e-02	3.485e-02	4.797e-02	4.289e-02	3.642e-02	4.611e-02
4.400e+03	3.503e-02	2.786e-02	4.184e-02	4.519e-02	3.440e-02	4.782e-02	4.219e-02	3.674e-02	4.712e-02
4.500e+03	3.533e-02	2.770e-02	4.175e-02	4.342e-02	3.379e-02	4.762e-02	4.304e-02	3.692e-02	4.689e-02
4.600e+03	3.465e-02	2.673e-02	4.138e-02	4.246e-02	3.019e-02	4.652e-02	4.168e-02	3.883e-02	4.719e-02
4.700e+03	3.488e-02	2.582e-02	4.133e-02	4.055e-02	3.101e-02	4.526e-02	4.138e-02	3.881e-02	4.713e-02
4.800e+03	3.392e-02	2.531e-02	4.209e-02	4.082e-02	3.093e-02	4.711e-02	4.124e-02	3.870e-02	4.693e-02
4.900e+03	3.554e-02	2.474e-02	4.193e-02	3.982e-02	3.094e-02	4.725e-02	4.083e-02	3.870e-02	4.670e-02
5.000e+03	3.590e-02	2.215e-02	4.247e-02	4.026e-02	3.104e-02	4.666e-02	4.053e-02	3.723e-02	4.597e-02
5.100e+03	3.530e-02	2.210e-02	3.903e-02	4.052e-02	3.121e-02	4.637e-02	4.055e-02	3.734e-02	4.496e-02
5.200e+03	3.530e-02	2.125e-02	3.878e-02	4.078e-02	3.236e-02	4.671e-02	3.973e-02	3.559e-02	4.450e-02
5.300e+03	3.592e-02	2.143e-02	4.060e-02	4.052e-02	3.236e-02	4.676e-02	3.952e-02	3.593e-02	4.427e-02
5.400e+03	3.634e-02	2.437e-02	4.066e-02	4.081e-02	3.004e-02	4.639e-02	3.948e-02	3.593e-02	4.263e-02
5.500e+03	3.680e-02	2.489e-02	4.110e-02	4.074e-02	2.910e-02	4.632e-02	3.794e-02	3.532e-02	4.129e-02
5.600e+03	3.489e-02	2.536e-02	4.148e-02	4.075e-02	2.936e-02	4.486e-02	3.756e-02	3.474e-02	4.158e-02
5.700e+03	3.468e-02	2.687e-02	4.168e-02	4.053e-02	2.952e-02	4.297e-02	3.753e-02	3.271e-02	4.185e-02
5.800e+03	3.647e-02	2.721e-02	4.206e-02	4.082e-02	2.904e-02	4.283e-02	3.681e-02	3.139e-02	4.115e-02
5.900e+03	3.642e-02	2.723e-02	4.143e-02	4.144e-02	2.904e-02	4.359e-02	3.694e-02	3.141e-02	4.139e-02
6.000e+03	3.606e-02	2.686e-02	4.204e-02	4.048e-02	2.879e-02	4.242e-02	3.830e-02	3.080e-02	4.301e-02
6.100e+03	3.601e-02	2.750e-02	4.145e-02	3.991e-02	2.884e-02	4.342e-02	3.859e-02	3.046e-02	4.290e-02
6.200e+03	3.575e-02	2.675e-02	3.975e-02	3.991e-02	2.885e-02	4.382e-02	3.747e-02	3.078e-02	4.097e-02
6.300e+03	3.672e-02	2.655e-02	3.781e-02	3.997e-02	2.867e-02	4.465e-02	3.801e-02	3.201e-02	3.967e-02
6.400e+03	3.457e-02	2.617e-02	3.767e-02	3.899e-02	2.847e-02	4.471e-02	3.805e-02	3.189e-02	4.008e-02
6.500e+03	3.603e-02	2.639e-02	3.766e-02	3.950e-02	2.847e-02	4.434e-02	3.813e-02	2.878e-02	3.891e-02
6.600e+03	3.125e-02	2.460e-02	3.711e-02	3.879e-02	2.784e-02	4.445e-02	3.813e-02	2.936e-02	3.991e-02
6.700e+03	3.205e-02	2.316e-02	3.694e-02	3.957e-02	2.726e-02	4.321e-02	3.748e-02	2.926e-02	3.908e-02
6.800e+03	2.989e-02	1.725e-02	3.645e-02	3.911e-02	2.778e-02	4.326e-02	3.531e-02	2.926e-02	3.858e-02
6.900e+03	3.005e-02	1.744e-02	3.621e-02	4.100e-02	2.890e-02	4.511e-02	3.520e-02	2.814e-02	3.878e-02
7.000e+03	2.986e-02	1.739e-02	3.621e-02	3.862e-02	2.900e-02	4.324e-02	3.485e-02	2.790e-02	3.867e-02
7.100e+03	2.905e-02	1.753e-02	3.621e-02	3.789e-02	2.944e-02	4.304e-02	3.471e-02	2.790e-02	3.925e-02
7.200e+03	2.906e-02	1.738e-02	3.652e-02	3.747e-02	2.906e-02	4.251e-02	3.471e-02	2.743e-02	3.896e-02
7.300e+03	2.846e-02	1.729e-02	3.672e-02	3.747e-02	2.905e-02	4.228e-02	3.464e-02	2.743e-02	4.254e-02
7.400e+03	2.696e-02	1.762e-02	3.652e-02	3.729e-02	2.867e-02	4.397e-02	3.473e-02	2.770e-02	4.267e-02
7.500e+03	2.659e-02	1.817e-02	3.639e-02	3.736e-02	2.846e-02	4.404e-02	3.473e-02	2.790e-02	4.304e-02
7.600e+03	2.640e-02	1.825e-02	3.488e-02	3.675e-02	2.867e-02	4.404e-02	3.458e-02	3.077e-02	4.290e-02
7.700e+03	2.507e-02	1.825e-02	3.488e-02	3.556e-02	2.867e-02	4.527e-02	3.579e-02	3.077e-02	4.257e-02
7.800e+03	2.507e-02	1.835e-02	3.504e-02	3.609e-02	2.884e-02	4.524e-02	3.686e-02	3.068e-02	4.246e-02
7.900e+03	2.451e-02	1.815e-02	3.505e-02	3.609e-02	2.766e-02	4.524e-02	3.686e-02	3.139e-02	4.196e-02
8.000e+03	2.451e-02	1.856e-02	3.342e-02	3.740e-02	2.777e-02	4.529e-02	3.662e-02	3.131e-02	4.291e-02
8.100e+03	2.325e-02	1.868e-02	3.341e-02	3.711e-02	2.787e-02	4.518e-02	3.686e-02	3.131e-02	4.300e-02
8.200e+03	2.335e-02	1.982e-02	3.185e-02	3.727e-02	2.787e-02	4.554e-02	3.694e-02	3.157e-02	4.300e-02
8.300e+03	2.373e-02	1.960e-02	3.202e-02	3.793e-02	2.795e-02	4.554e-02	3.670e-02	3.165e-02	4.212e-02
8.400e+03	2.275e-02	1.995e-02	3.109e-02	3.738e-02	2.877e-02	4.554e-02	3.597e-02	3.140e-02	4.232e-02
8.500e+03	2.259e-02	1.995e-02	3.109e-02	3.768e-02	2.808e-02	4.520e-02	3.597e-02	3.103e-02	4.412e-02
8.600e+03	2.451e-02	1.997e-02	3.075e-02	3.875e-02	2.923e-02	4.520e-02	3.597e-02	3.061e-02	4.425e-02
8.700e+03	2.422e-02	1.997e-02	2.993e-02	3.869e-02	2.887e-02	4.531e-02	3.597e-02	3.049e-02	4.401e-02
8.800e+03	2.289e-02	1.978e-02	2.839e-02	3.934e-02	2.887e-02	4.561e-02	3.825e-02	3.049e-02	4.332e-02
8.900e+03	2.305e-02	1.995e-02	2.665e-02	3.941e-02	2.952e-02	4.656e-02	3.750e-02	3.113e-02	4.440e-02
9.000e+03	2.184e-02	1.986e-02	2.659e-02	3.940e-02	2.945e-02	4.808e-02	3.759e-02	3.113e-02	4.374e-02
9.100e+03	2.140e-02	1.894e-02	2.421e-02	3.970e-02	2.889e-02	4.922e-02	3.750e-02	3.058e-02	4.416e-02
9.200e+03	2.143e-02	1.844e-02	2.153e-02	3.970e-02	2.883e-02	4.910e-02	3.700e-02	3.055e-02	4.384e-02
9.300e+03	2.147e-02	1.847e-02	2.255e-02	3.945e-02	2.930e-02	4.930e-02	3.628e-02	3.109e-02	4.266e-02
9.400e+03	2.169e-02	1.729e-02	2.261e-02	3.943e-02	2.805e-02	4.940e-02	3.639e-02	3.175e-02	4.266e-02
9.500e+03	2.177e-02	1.719e-02	2.261e-02	3.951e-02	2.865e-02	5.027e-02	3.723e-02	3.182e-02	4.264e-02
9.600e+03	2.169e-02	1.720e-02	2.261e-02	3.898e-02	2.877e-02	4.959e-02	3.729e-02	3.185e-02	4.138e-02
9.700e+03	2.169e-02	1.772e-02	2.280e-02	3.897e-02	2.882e-02	4.973e-02	3.696e-02	3.178e-02	4.329e-02
9.800e+03	2.169e-02	1.822e-02	2.285e-02	3.831e-02	2.882e-02	4.986e-02	3.690e-02	3.214e-02	4.329e-02
9.900e+03	2.156e-02	1.822e-02	2.285e-02	3.808e-02	2.894e-02	4.986e-02	3.849e-02	3.317e-02	4.370e-02
1.000e+04	2.129e-02	1.800e-02	2.229e-02	3.748e-02	2.741e-02	5.040e-02	3.787e-02	3.317e-02	4.485e-02
1.010e+04	2.100e-02	1.800e-02	2.215e-02	3.753e-02	2.764e-02	5.057e-02	3.754e-02	2.843e-02	4.592e-02
1.020e+04	2.100e-02	1.800e-02	2.192e-02	3.733e-02	2.683e-02	5.019e-02	3.916e-02	2.889e-02	4.597e-02
1.030e+04	2.105e-02	1.856e-02	2.193e-02	3.815e-02	2.665e-02	4.949e-02	3.901e-02	2.869e-02	4.676e-02
1.040e+04	2.156e-02	1.916e-02	2.192e-02	3.807e-02	2.689e-02	4.949e-02	3.932e-02	2.877e-02	4.676e-02
1.050e+04	2.086e-02	1.908e-02	2.169e-02	3.792e-02	2.692e-02	4.873e-02	3.864e-02	2.877e-02	4.661e-02
1.060e+04	2.099e-02	1.922e-02	2.168e-02	3.861e-02	2.662e-02	4.830e-02	3.745e-02	2.877e-02	4.670e-02
1.070e+04	2.111e-02	1.922e-02	2.210e-02	3.965e-02	2.662e-02	4.839e-02	3.710e-02	2.894e-02	4.485e-02
1.080e+04	2.130e-02	1.916e-02	2.173e-02	3.918e-02	2.683e-02	4.691e-02	3.683e-02	2.894e-02	4.337e-02
1.090e+04	2.137e-02	1.862e-02	2.182e-02	3.890e-02	2.681e-02	4.662e-02	3.683e-02	2.894e-02	4.399e-02
1.100e+04	2.062e-02	1.862e-02	2.150e-02	3.890e-02	2.671e-02	4.644e-02	3.673e-02	2.843e-02	4.442e-02
1.110e+04	2.046e-02	1.862e-02	2.150e-02	3.883e-02	2.786e-02	4.682e-02	3.673e-02	2.843e-02	4.472e-02
1.120e+04	2.073e-02	1.862e-02	2.157e-02	3.955e-02	2.786e-02	4.674e-02	3.626e-02	2.832e-02	4.473e-02
1.130e+04	2.082e-02	1.884e-02	2.192e-02	3.984e-02	2.777e-02	4.674e-02	3.634e-02	2.845e-02	4.621e-02
1.140e+04	2.063e-02	1.896e-02	2.121e-02	3.983e-02	2.683e-02	4.674e-02	3.679e-02	2.878e-02	4.592e-02
1.150e+04	2.090e-02	1.875e-02	2.113e-02	3.983e-02	2.683e-02	4.550e-02	3.684e-02	2.898e-02	4.628e-02
1.160e+04	2.090e-02	1.854e-02	2.156e-02	3.976e-02	2.716e-02	4.531e-02	3.655e-02	2.833e-02	4.707e-02
1.170e+04	2.084e-02	1.866e-02	2.168e-02	3.976e-02	2.666e-02	4.525e-02	3.624e-02	2.781e-02	4.665e-02
1.180e+04	2.104e-02	1.859e-02	2.168e-02	4.108e-02	2.704e-02	4.353e-02	3.297e-02	2.673e-02	4.518e-02
1.190e+04	2.109e-02	1.828e-02	2.156e-02	4.048e-02	2.641e-02	4.362e-02	3.297e-02	2.658e-02	4.549e-02
1.200e+04	2.126e-02	1.828e-02	2.143e-02	4.050e-02	2.598e-02	4.254e-02	3.195e-02	2.651e-02	4.564e-02
