n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.quality.first.agent.velocity.x.max	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.min	_.locomotion.hilly.5.0.75.ga.single.ds.best.quality.first.agent.velocity.x.max
3.000e+03	1.897e+00	1.444e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.105e+00	1.316e+00	2.295e+00	2.094e+00	2.463e+00
3.100e+03	1.897e+00	1.444e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.105e+00	1.316e+00	2.415e+00	2.101e+00	2.463e+00
3.200e+03	1.897e+00	1.464e+00	2.116e+00	1.362e+00	1.138e+00	1.807e+00	1.244e+00	1.112e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
3.300e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.138e+00	1.897e+00	1.244e+00	1.167e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
3.400e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.138e+00	1.897e+00	1.244e+00	1.167e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
3.500e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.138e+00	1.897e+00	1.244e+00	1.186e+00	1.316e+00	2.415e+00	2.101e+00	2.468e+00
3.600e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.211e+00	1.897e+00	1.276e+00	1.186e+00	1.517e+00	2.415e+00	2.160e+00	2.468e+00
3.700e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.211e+00	1.897e+00	1.276e+00	1.186e+00	1.517e+00	2.415e+00	2.160e+00	2.468e+00
3.800e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.211e+00	1.897e+00	1.276e+00	1.186e+00	1.517e+00	2.415e+00	2.160e+00	2.507e+00
3.900e+03	1.897e+00	1.464e+00	2.116e+00	1.452e+00	1.211e+00	1.897e+00	1.276e+00	1.186e+00	1.517e+00	2.421e+00	2.160e+00	2.521e+00
4.000e+03	1.914e+00	1.640e+00	2.116e+00	1.477e+00	1.386e+00	1.897e+00	1.276e+00	1.186e+00	1.517e+00	2.421e+00	2.160e+00	2.521e+00
4.100e+03	1.914e+00	1.640e+00	2.116e+00	1.795e+00	1.386e+00	1.897e+00	1.276e+00	1.188e+00	1.517e+00	2.421e+00	2.160e+00	2.530e+00
4.200e+03	1.914e+00	1.640e+00	2.116e+00	1.795e+00	1.386e+00	1.897e+00	1.276e+00	1.188e+00	1.517e+00	2.421e+00	2.160e+00	2.603e+00
4.300e+03	1.914e+00	1.831e+00	2.116e+00	1.795e+00	1.386e+00	1.897e+00	1.276e+00	1.188e+00	1.517e+00	2.429e+00	2.160e+00	2.603e+00
4.400e+03	1.914e+00	1.831e+00	2.116e+00	1.795e+00	1.386e+00	1.897e+00	1.276e+00	1.188e+00	1.517e+00	2.463e+00	2.160e+00	2.603e+00
4.500e+03	1.914e+00	1.871e+00	2.116e+00	1.795e+00	1.386e+00	1.897e+00	1.276e+00	1.235e+00	1.517e+00	2.463e+00	2.160e+00	2.639e+00
4.600e+03	1.914e+00	1.871e+00	2.131e+00	1.795e+00	1.386e+00	1.897e+00	1.355e+00	1.244e+00	1.517e+00	2.463e+00	2.160e+00	2.639e+00
4.700e+03	1.914e+00	1.871e+00	2.131e+00	1.795e+00	1.386e+00	1.897e+00	1.357e+00	1.244e+00	1.517e+00	2.463e+00	2.160e+00	2.639e+00
4.800e+03	1.915e+00	1.873e+00	2.131e+00	1.795e+00	1.402e+00	1.897e+00	1.357e+00	1.244e+00	1.517e+00	2.509e+00	2.160e+00	2.639e+00
4.900e+03	1.915e+00	1.873e+00	2.131e+00	1.795e+00	1.402e+00	1.897e+00	1.357e+00	1.244e+00	1.517e+00	2.509e+00	2.160e+00	2.639e+00
5.000e+03	2.001e+00	1.873e+00	2.131e+00	1.795e+00	1.402e+00	1.897e+00	1.372e+00	1.244e+00	1.597e+00	2.509e+00	2.160e+00	2.639e+00
5.100e+03	2.031e+00	1.873e+00	2.131e+00	1.795e+00	1.402e+00	1.897e+00	1.372e+00	1.244e+00	1.597e+00	2.509e+00	2.160e+00	2.639e+00
5.200e+03	2.031e+00	1.873e+00	2.131e+00	1.807e+00	1.402e+00	1.929e+00	1.372e+00	1.244e+00	1.597e+00	2.509e+00	2.160e+00	2.639e+00
5.300e+03	2.031e+00	1.873e+00	2.131e+00	1.807e+00	1.402e+00	1.929e+00	1.398e+00	1.335e+00	1.597e+00	2.509e+00	2.160e+00	2.639e+00
5.400e+03	2.031e+00	1.873e+00	2.131e+00	1.807e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.509e+00	2.166e+00	2.639e+00
5.500e+03	2.059e+00	1.873e+00	2.131e+00	1.807e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.639e+00
5.600e+03	2.059e+00	1.873e+00	2.131e+00	1.875e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.695e+00
5.700e+03	2.059e+00	1.873e+00	2.131e+00	1.875e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.695e+00
5.800e+03	2.059e+00	1.873e+00	2.131e+00	1.875e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.695e+00
5.900e+03	2.059e+00	1.873e+00	2.131e+00	1.883e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.695e+00
6.000e+03	2.059e+00	1.873e+00	2.131e+00	1.883e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.536e+00	2.166e+00	2.695e+00
6.100e+03	2.059e+00	1.873e+00	2.149e+00	1.883e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.540e+00	2.166e+00	2.695e+00
6.200e+03	2.102e+00	1.936e+00	2.149e+00	1.883e+00	1.402e+00	1.929e+00	1.517e+00	1.335e+00	1.772e+00	2.639e+00	2.166e+00	2.695e+00
6.300e+03	2.102e+00	1.936e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.335e+00	1.772e+00	2.639e+00	2.166e+00	2.695e+00
6.400e+03	2.102e+00	1.936e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.335e+00	1.772e+00	2.639e+00	2.166e+00	2.695e+00
6.500e+03	2.102e+00	1.936e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.335e+00	1.772e+00	2.639e+00	2.166e+00	2.695e+00
6.600e+03	2.102e+00	1.936e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.166e+00	2.695e+00
6.700e+03	2.102e+00	1.980e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.166e+00	2.695e+00
6.800e+03	2.102e+00	1.998e+00	2.149e+00	1.883e+00	1.402e+00	1.961e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.166e+00	2.735e+00
6.900e+03	2.141e+00	1.998e+00	2.208e+00	1.961e+00	1.402e+00	1.991e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.166e+00	2.735e+00
7.000e+03	2.141e+00	1.998e+00	2.208e+00	1.961e+00	1.404e+00	2.091e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.166e+00	2.735e+00
7.100e+03	2.141e+00	1.998e+00	2.208e+00	1.961e+00	1.404e+00	2.091e+00	1.597e+00	1.365e+00	1.914e+00	2.639e+00	2.174e+00	2.735e+00
7.200e+03	2.149e+00	1.998e+00	2.208e+00	1.961e+00	1.404e+00	2.091e+00	1.597e+00	1.365e+00	1.914e+00	2.668e+00	2.174e+00	2.735e+00
