_.locomotion.hilly.5.0.75.ga.epistasis.1.0	_.locomotion.hilly.5.0.75.ga.epistasis.2.0	_.locomotion.hilly.5.0.75.ga.epistasis.0.5
1.801e-02	3.036e-02	1.841e-02
2.551e-02	3.308e-02	2.048e-02
1.852e-02	1.995e-02	1.886e-02
2.564e-02	2.226e-02	2.305e-02
2.675e-02	1.658e-02	2.111e-02
2.914e-02	3.028e-02	1.863e-02
2.939e-02	1.564e-02	1.802e-02
2.271e-02	2.691e-02	3.050e-02
3.321e-02	1.783e-02	2.326e-02
3.483e-02	2.854e-02	1.506e-02
