_.locomotion.hilly.5.0.75.ga.epistasis.1.0	_.locomotion.hilly.5.0.75.ga.epistasis.2.0	_.locomotion.hilly.5.0.75.ga.epistasis.0.5
1.470e-02	2.597e-02	1.443e-02
2.358e-02	1.906e-02	2.543e-02
2.679e-02	2.650e-02	1.694e-02
2.129e-02	3.178e-02	2.086e-02
2.761e-02	2.553e-02	1.890e-02
2.296e-02	2.379e-02	2.531e-02
3.001e-02	2.644e-02	4.360e-02
2.573e-02	3.679e-02	1.848e-02
1.994e-02	2.275e-02	2.190e-02
2.061e-02	1.919e-02	2.301e-02
