n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.max
4.000e+03	3.829e-01	3.683e-01	3.890e-01	2.179e-01	2.050e-01	2.269e-01	1.340e-01	1.131e-01	1.400e-01
4.100e+03	3.845e-01	3.681e-01	3.910e-01	2.176e-01	2.060e-01	2.238e-01	1.352e-01	1.136e-01	1.412e-01
4.200e+03	3.833e-01	3.671e-01	3.919e-01	2.179e-01	2.062e-01	2.229e-01	1.369e-01	1.133e-01	1.410e-01
4.300e+03	3.833e-01	3.660e-01	3.924e-01	2.186e-01	2.095e-01	2.238e-01	1.400e-01	1.143e-01	1.424e-01
4.400e+03	3.840e-01	3.664e-01	3.933e-01	2.188e-01	2.114e-01	2.231e-01	1.407e-01	1.150e-01	1.426e-01
4.500e+03	3.831e-01	3.671e-01	3.938e-01	2.186e-01	2.124e-01	2.238e-01	1.419e-01	1.174e-01	1.464e-01
4.600e+03	3.836e-01	3.667e-01	3.952e-01	2.190e-01	2.131e-01	2.236e-01	1.445e-01	1.190e-01	1.512e-01
4.700e+03	3.838e-01	3.664e-01	3.964e-01	2.198e-01	2.143e-01	2.238e-01	1.462e-01	1.176e-01	1.526e-01
4.800e+03	3.833e-01	3.648e-01	3.962e-01	2.210e-01	2.143e-01	2.243e-01	1.471e-01	1.169e-01	1.552e-01
4.900e+03	3.831e-01	3.640e-01	3.981e-01	2.198e-01	2.136e-01	2.260e-01	1.505e-01	1.169e-01	1.574e-01
5.000e+03	3.831e-01	3.645e-01	3.995e-01	2.207e-01	2.148e-01	2.260e-01	1.507e-01	1.171e-01	1.586e-01
5.100e+03	3.836e-01	3.645e-01	4.005e-01	2.176e-01	2.157e-01	2.269e-01	1.538e-01	1.176e-01	1.588e-01
5.200e+03	3.840e-01	3.636e-01	4.010e-01	2.174e-01	2.138e-01	2.279e-01	1.548e-01	1.179e-01	1.598e-01
5.300e+03	3.857e-01	3.645e-01	4.010e-01	2.176e-01	2.138e-01	2.276e-01	1.540e-01	1.186e-01	1.602e-01
5.400e+03	3.857e-01	3.657e-01	4.007e-01	2.174e-01	2.133e-01	2.274e-01	1.564e-01	1.229e-01	1.612e-01
5.500e+03	3.876e-01	3.660e-01	4.012e-01	2.176e-01	2.131e-01	2.274e-01	1.560e-01	1.243e-01	1.610e-01
5.600e+03	3.883e-01	3.662e-01	4.010e-01	2.176e-01	2.129e-01	2.286e-01	1.560e-01	1.243e-01	1.621e-01
5.700e+03	3.881e-01	3.655e-01	4.002e-01	2.176e-01	2.133e-01	2.293e-01	1.576e-01	1.274e-01	1.621e-01
5.800e+03	3.876e-01	3.667e-01	3.998e-01	2.179e-01	2.143e-01	2.321e-01	1.590e-01	1.274e-01	1.648e-01
5.900e+03	3.860e-01	3.655e-01	3.988e-01	2.181e-01	2.150e-01	2.319e-01	1.602e-01	1.283e-01	1.640e-01
6.000e+03	3.864e-01	3.648e-01	3.986e-01	2.181e-01	2.145e-01	2.310e-01	1.610e-01	1.288e-01	1.638e-01
6.100e+03	3.864e-01	3.640e-01	3.974e-01	2.169e-01	2.138e-01	2.321e-01	1.617e-01	1.324e-01	1.648e-01
6.200e+03	3.862e-01	3.650e-01	3.950e-01	2.179e-01	2.143e-01	2.314e-01	1.626e-01	1.362e-01	1.652e-01
6.300e+03	3.867e-01	3.650e-01	3.948e-01	2.174e-01	2.150e-01	2.317e-01	1.650e-01	1.371e-01	1.660e-01
6.400e+03	3.869e-01	3.650e-01	3.938e-01	2.186e-01	2.124e-01	2.302e-01	1.648e-01	1.386e-01	1.652e-01
6.500e+03	3.860e-01	3.655e-01	3.938e-01	2.195e-01	2.095e-01	2.290e-01	1.650e-01	1.410e-01	1.664e-01
6.600e+03	3.833e-01	3.636e-01	3.933e-01	2.217e-01	2.095e-01	2.293e-01	1.650e-01	1.407e-01	1.674e-01
6.700e+03	3.824e-01	3.643e-01	3.926e-01	2.210e-01	2.095e-01	2.300e-01	1.657e-01	1.414e-01	1.698e-01
6.800e+03	3.826e-01	3.636e-01	3.914e-01	2.219e-01	2.090e-01	2.300e-01	1.671e-01	1.426e-01	1.683e-01
6.900e+03	3.824e-01	3.643e-01	3.914e-01	2.193e-01	2.064e-01	2.305e-01	1.679e-01	1.433e-01	1.681e-01
7.000e+03	3.829e-01	3.633e-01	3.902e-01	2.195e-01	2.050e-01	2.302e-01	1.679e-01	1.450e-01	1.688e-01
7.100e+03	3.831e-01	3.650e-01	3.898e-01	2.205e-01	2.050e-01	2.305e-01	1.683e-01	1.448e-01	1.688e-01
7.200e+03	3.840e-01	3.664e-01	3.898e-01	2.207e-01	2.040e-01	2.302e-01	1.681e-01	1.452e-01	1.683e-01
7.300e+03	3.845e-01	3.671e-01	3.902e-01	2.207e-01	2.045e-01	2.302e-01	1.674e-01	1.474e-01	1.681e-01
7.400e+03	3.852e-01	3.674e-01	3.898e-01	2.205e-01	2.050e-01	2.305e-01	1.679e-01	1.490e-01	1.681e-01
7.500e+03	3.838e-01	3.655e-01	3.900e-01	2.200e-01	2.040e-01	2.314e-01	1.679e-01	1.490e-01	1.686e-01
7.600e+03	3.836e-01	3.657e-01	3.914e-01	2.200e-01	2.036e-01	2.321e-01	1.669e-01	1.500e-01	1.681e-01
7.700e+03	3.838e-01	3.648e-01	3.914e-01	2.214e-01	2.033e-01	2.340e-01	1.667e-01	1.507e-01	1.686e-01
7.800e+03	3.843e-01	3.657e-01	3.914e-01	2.207e-01	2.019e-01	2.352e-01	1.652e-01	1.495e-01	1.676e-01
7.900e+03	3.831e-01	3.650e-01	3.917e-01	2.207e-01	2.019e-01	2.357e-01	1.650e-01	1.469e-01	1.676e-01
8.000e+03	3.829e-01	3.650e-01	3.926e-01	2.198e-01	2.007e-01	2.371e-01	1.648e-01	1.452e-01	1.674e-01
8.100e+03	3.829e-01	3.643e-01	3.924e-01	2.205e-01	2.017e-01	2.376e-01	1.650e-01	1.440e-01	1.674e-01
8.200e+03	3.831e-01	3.648e-01	3.936e-01	2.198e-01	2.081e-01	2.376e-01	1.650e-01	1.450e-01	1.676e-01
8.300e+03	3.840e-01	3.645e-01	3.936e-01	2.176e-01	2.040e-01	2.390e-01	1.652e-01	1.431e-01	1.679e-01
8.400e+03	3.840e-01	3.640e-01	3.945e-01	2.200e-01	2.017e-01	2.398e-01	1.645e-01	1.429e-01	1.662e-01
8.500e+03	3.843e-01	3.629e-01	3.945e-01	2.257e-01	2.017e-01	2.398e-01	1.645e-01	1.390e-01	1.657e-01
8.600e+03	3.845e-01	3.631e-01	3.940e-01	2.293e-01	2.005e-01	2.388e-01	1.636e-01	1.383e-01	1.648e-01
8.700e+03	3.848e-01	3.619e-01	3.940e-01	2.307e-01	2.005e-01	2.381e-01	1.633e-01	1.364e-01	1.652e-01
8.800e+03	3.852e-01	3.629e-01	3.950e-01	2.314e-01	1.995e-01	2.395e-01	1.629e-01	1.357e-01	1.655e-01
8.900e+03	3.850e-01	3.643e-01	3.986e-01	2.317e-01	1.995e-01	2.450e-01	1.626e-01	1.364e-01	1.655e-01
9.000e+03	3.848e-01	3.624e-01	3.988e-01	2.317e-01	1.986e-01	2.445e-01	1.621e-01	1.338e-01	1.667e-01
9.100e+03	3.852e-01	3.626e-01	4.002e-01	2.319e-01	1.979e-01	2.433e-01	1.619e-01	1.333e-01	1.679e-01
9.200e+03	3.860e-01	3.626e-01	4.017e-01	2.319e-01	1.967e-01	2.414e-01	1.607e-01	1.305e-01	1.679e-01
9.300e+03	3.874e-01	3.612e-01	4.017e-01	2.319e-01	1.967e-01	2.424e-01	1.602e-01	1.276e-01	1.679e-01
9.400e+03	3.876e-01	3.600e-01	4.029e-01	2.314e-01	1.952e-01	2.410e-01	1.602e-01	1.276e-01	1.676e-01
9.500e+03	3.876e-01	3.605e-01	4.033e-01	2.307e-01	1.943e-01	2.410e-01	1.600e-01	1.274e-01	1.695e-01
9.600e+03	3.876e-01	3.600e-01	4.038e-01	2.307e-01	1.948e-01	2.440e-01	1.610e-01	1.238e-01	1.690e-01
9.700e+03	3.874e-01	3.600e-01	4.043e-01	2.302e-01	1.950e-01	2.436e-01	1.607e-01	1.226e-01	1.688e-01
9.800e+03	3.888e-01	3.593e-01	4.045e-01	2.302e-01	1.936e-01	2.450e-01	1.612e-01	1.217e-01	1.688e-01
9.900e+03	3.888e-01	3.590e-01	4.048e-01	2.300e-01	1.933e-01	2.457e-01	1.612e-01	1.202e-01	1.700e-01
1.000e+04	3.890e-01	3.586e-01	4.043e-01	2.302e-01	1.933e-01	2.448e-01	1.612e-01	1.200e-01	1.700e-01
1.010e+04	3.902e-01	3.588e-01	4.043e-01	2.302e-01	1.929e-01	2.429e-01	1.614e-01	1.200e-01	1.719e-01
1.020e+04	3.902e-01	3.588e-01	4.043e-01	2.293e-01	1.919e-01	2.424e-01	1.614e-01	1.195e-01	1.695e-01
1.030e+04	3.907e-01	3.583e-01	4.043e-01	2.293e-01	1.905e-01	2.438e-01	1.610e-01	1.188e-01	1.683e-01
1.040e+04	3.917e-01	3.583e-01	4.050e-01	2.290e-01	1.900e-01	2.433e-01	1.602e-01	1.179e-01	1.664e-01
1.050e+04	3.919e-01	3.581e-01	4.050e-01	2.288e-01	1.905e-01	2.433e-01	1.607e-01	1.171e-01	1.657e-01
1.060e+04	3.917e-01	3.581e-01	4.055e-01	2.288e-01	1.907e-01	2.464e-01	1.607e-01	1.152e-01	1.660e-01
1.070e+04	3.917e-01	3.581e-01	4.069e-01	2.274e-01	1.919e-01	2.481e-01	1.612e-01	1.155e-01	1.667e-01
1.080e+04	3.921e-01	3.576e-01	4.079e-01	2.271e-01	1.950e-01	2.490e-01	1.610e-01	1.160e-01	1.664e-01
1.090e+04	3.921e-01	3.576e-01	4.076e-01	2.257e-01	1.957e-01	2.500e-01	1.579e-01	1.160e-01	1.662e-01
1.100e+04	3.924e-01	3.569e-01	4.076e-01	2.257e-01	1.957e-01	2.512e-01	1.571e-01	1.157e-01	1.674e-01
1.110e+04	3.924e-01	3.581e-01	4.079e-01	2.255e-01	1.955e-01	2.517e-01	1.557e-01	1.157e-01	1.674e-01
1.120e+04	3.924e-01	3.581e-01	4.088e-01	2.238e-01	1.955e-01	2.533e-01	1.550e-01	1.140e-01	1.671e-01
1.130e+04	3.919e-01	3.581e-01	4.090e-01	2.231e-01	1.950e-01	2.531e-01	1.533e-01	1.121e-01	1.669e-01
1.140e+04	3.919e-01	3.581e-01	4.093e-01	2.231e-01	1.938e-01	2.548e-01	1.524e-01	1.126e-01	1.676e-01
1.150e+04	3.917e-01	3.581e-01	4.090e-01	2.219e-01	1.938e-01	2.581e-01	1.505e-01	1.121e-01	1.664e-01
1.160e+04	3.914e-01	3.576e-01	4.090e-01	2.212e-01	1.940e-01	2.588e-01	1.464e-01	1.100e-01	1.631e-01
1.170e+04	3.907e-01	3.564e-01	4.093e-01	2.210e-01	1.933e-01	2.581e-01	1.438e-01	1.110e-01	1.610e-01
1.180e+04	3.907e-01	3.564e-01	4.095e-01	2.212e-01	1.933e-01	2.586e-01	1.395e-01	1.105e-01	1.619e-01
1.190e+04	3.905e-01	3.567e-01	4.090e-01	2.210e-01	1.914e-01	2.586e-01	1.405e-01	1.107e-01	1.617e-01
1.200e+04	3.900e-01	3.569e-01	4.095e-01	2.200e-01	1.902e-01	2.590e-01	1.390e-01	1.107e-01	1.619e-01
1.210e+04	3.898e-01	3.569e-01	4.095e-01	2.186e-01	1.907e-01	2.614e-01	1.388e-01	1.107e-01	1.626e-01
1.220e+04	3.898e-01	3.569e-01	4.095e-01	2.183e-01	1.907e-01	2.612e-01	1.374e-01	1.098e-01	1.629e-01
1.230e+04	3.907e-01	3.567e-01	4.093e-01	2.179e-01	1.910e-01	2.614e-01	1.340e-01	1.107e-01	1.626e-01
1.240e+04	3.907e-01	3.569e-01	4.090e-01	2.181e-01	1.910e-01	2.612e-01	1.345e-01	1.107e-01	1.626e-01
1.250e+04	3.907e-01	3.567e-01	4.086e-01	2.179e-01	1.914e-01	2.610e-01	1.326e-01	1.107e-01	1.624e-01
1.260e+04	3.905e-01	3.569e-01	4.086e-01	2.169e-01	1.912e-01	2.607e-01	1.317e-01	1.102e-01	1.621e-01
1.270e+04	3.924e-01	3.569e-01	4.086e-01	2.164e-01	1.907e-01	2.621e-01	1.310e-01	1.107e-01	1.621e-01
1.280e+04	3.929e-01	3.569e-01	4.090e-01	2.162e-01	1.898e-01	2.621e-01	1.288e-01	1.100e-01	1.621e-01
