n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.body.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.body.epistasis.avg.max
1.630e+04	3.950e-01	3.586e-01	4.067e-01	2.217e-01	1.879e-01	2.650e-01	1.160e-01	9.786e-02	1.717e-01
1.640e+04	3.952e-01	3.586e-01	4.067e-01	2.217e-01	1.895e-01	2.652e-01	1.169e-01	9.833e-02	1.724e-01
1.650e+04	3.957e-01	3.586e-01	4.067e-01	2.205e-01	1.910e-01	2.652e-01	1.179e-01	9.810e-02	1.724e-01
1.660e+04	3.952e-01	3.586e-01	4.064e-01	2.217e-01	1.910e-01	2.652e-01	1.186e-01	9.762e-02	1.729e-01
1.670e+04	3.957e-01	3.590e-01	4.064e-01	2.231e-01	1.912e-01	2.652e-01	1.190e-01	9.690e-02	1.733e-01
1.680e+04	3.957e-01	3.590e-01	4.060e-01	2.224e-01	1.950e-01	2.662e-01	1.186e-01	9.690e-02	1.736e-01
1.690e+04	3.957e-01	3.590e-01	4.057e-01	2.236e-01	1.983e-01	2.671e-01	1.190e-01	9.690e-02	1.729e-01
1.700e+04	3.957e-01	3.593e-01	4.057e-01	2.240e-01	1.983e-01	2.674e-01	1.202e-01	9.690e-02	1.733e-01
1.710e+04	3.957e-01	3.593e-01	4.052e-01	2.240e-01	1.981e-01	2.674e-01	1.198e-01	9.690e-02	1.733e-01
1.720e+04	3.955e-01	3.590e-01	4.055e-01	2.240e-01	1.986e-01	2.674e-01	1.200e-01	9.667e-02	1.733e-01
1.730e+04	3.955e-01	3.590e-01	4.055e-01	2.240e-01	1.990e-01	2.679e-01	1.207e-01	9.667e-02	1.736e-01
1.740e+04	3.957e-01	3.595e-01	4.057e-01	2.240e-01	1.990e-01	2.676e-01	1.210e-01	9.595e-02	1.738e-01
1.750e+04	3.960e-01	3.602e-01	4.057e-01	2.240e-01	1.988e-01	2.679e-01	1.214e-01	9.571e-02	1.743e-01
1.760e+04	3.967e-01	3.602e-01	4.055e-01	2.243e-01	2.002e-01	2.681e-01	1.210e-01	9.595e-02	1.743e-01
1.770e+04	3.967e-01	3.600e-01	4.055e-01	2.240e-01	2.029e-01	2.683e-01	1.219e-01	9.548e-02	1.740e-01
1.780e+04	3.974e-01	3.598e-01	4.048e-01	2.240e-01	2.031e-01	2.683e-01	1.214e-01	9.643e-02	1.740e-01
1.790e+04	3.976e-01	3.598e-01	4.045e-01	2.236e-01	2.029e-01	2.679e-01	1.224e-01	9.690e-02	1.740e-01
1.800e+04	3.979e-01	3.595e-01	4.038e-01	2.238e-01	2.024e-01	2.674e-01	1.224e-01	9.667e-02	1.738e-01
1.810e+04	3.983e-01	3.595e-01	4.036e-01	2.243e-01	2.024e-01	2.681e-01	1.231e-01	9.667e-02	1.738e-01
1.820e+04	3.983e-01	3.595e-01	4.040e-01	2.245e-01	2.021e-01	2.681e-01	1.229e-01	9.667e-02	1.743e-01
1.830e+04	3.983e-01	3.595e-01	4.040e-01	2.248e-01	2.021e-01	2.686e-01	1.217e-01	9.667e-02	1.743e-01
1.840e+04	3.981e-01	3.600e-01	4.033e-01	2.245e-01	2.021e-01	2.698e-01	1.217e-01	9.643e-02	1.743e-01
1.850e+04	3.981e-01	3.598e-01	4.036e-01	2.243e-01	2.021e-01	2.710e-01	1.214e-01	9.595e-02	1.743e-01
1.860e+04	3.990e-01	3.605e-01	4.036e-01	2.250e-01	2.031e-01	2.721e-01	1.219e-01	9.476e-02	1.743e-01
1.870e+04	3.993e-01	3.605e-01	4.038e-01	2.260e-01	2.031e-01	2.724e-01	1.219e-01	9.524e-02	1.743e-01
1.880e+04	3.995e-01	3.605e-01	4.040e-01	2.260e-01	2.031e-01	2.729e-01	1.212e-01	9.548e-02	1.743e-01
1.890e+04	3.995e-01	3.605e-01	4.038e-01	2.271e-01	2.024e-01	2.731e-01	1.214e-01	9.571e-02	1.736e-01
1.900e+04	3.995e-01	3.605e-01	4.033e-01	2.271e-01	2.024e-01	2.736e-01	1.217e-01	9.571e-02	1.733e-01
1.910e+04	3.993e-01	3.605e-01	4.031e-01	2.269e-01	2.024e-01	2.733e-01	1.226e-01	9.595e-02	1.726e-01
1.920e+04	3.993e-01	3.605e-01	4.026e-01	2.271e-01	2.024e-01	2.733e-01	1.231e-01	9.667e-02	1.731e-01
1.930e+04	3.993e-01	3.612e-01	4.024e-01	2.269e-01	2.024e-01	2.729e-01	1.233e-01	9.643e-02	1.726e-01
1.940e+04	3.993e-01	3.612e-01	4.019e-01	2.286e-01	2.026e-01	2.731e-01	1.243e-01	9.667e-02	1.726e-01
1.950e+04	3.983e-01	3.612e-01	4.017e-01	2.295e-01	2.026e-01	2.731e-01	1.240e-01	9.667e-02	1.721e-01
1.960e+04	3.983e-01	3.612e-01	4.024e-01	2.302e-01	2.010e-01	2.731e-01	1.240e-01	9.667e-02	1.724e-01
1.970e+04	3.983e-01	3.612e-01	4.024e-01	2.307e-01	2.019e-01	2.733e-01	1.243e-01	9.690e-02	1.724e-01
1.980e+04	3.983e-01	3.612e-01	4.019e-01	2.317e-01	2.005e-01	2.736e-01	1.243e-01	9.690e-02	1.726e-01
1.990e+04	3.983e-01	3.619e-01	4.017e-01	2.333e-01	2.005e-01	2.736e-01	1.243e-01	9.714e-02	1.726e-01
2.000e+04	3.983e-01	3.619e-01	4.021e-01	2.331e-01	2.005e-01	2.736e-01	1.240e-01	9.762e-02	1.731e-01
