n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
4.000e+03	5.756e-01	5.694e-01	5.810e-01	3.676e-01	3.664e-01	3.827e-01	2.288e-01	2.131e-01	2.338e-01
4.100e+03	5.761e-01	5.694e-01	5.813e-01	3.686e-01	3.661e-01	3.827e-01	2.289e-01	2.148e-01	2.342e-01
4.200e+03	5.757e-01	5.692e-01	5.813e-01	3.676e-01	3.669e-01	3.827e-01	2.295e-01	2.144e-01	2.387e-01
4.300e+03	5.754e-01	5.696e-01	5.815e-01	3.675e-01	3.668e-01	3.832e-01	2.296e-01	2.151e-01	2.412e-01
4.400e+03	5.756e-01	5.710e-01	5.825e-01	3.685e-01	3.658e-01	3.840e-01	2.307e-01	2.145e-01	2.435e-01
4.500e+03	5.755e-01	5.713e-01	5.819e-01	3.692e-01	3.651e-01	3.843e-01	2.299e-01	2.135e-01	2.473e-01
4.600e+03	5.755e-01	5.705e-01	5.823e-01	3.701e-01	3.640e-01	3.855e-01	2.305e-01	2.129e-01	2.520e-01
4.700e+03	5.752e-01	5.713e-01	5.824e-01	3.702e-01	3.619e-01	3.861e-01	2.306e-01	2.127e-01	2.542e-01
4.800e+03	5.756e-01	5.717e-01	5.823e-01	3.690e-01	3.617e-01	3.867e-01	2.311e-01	2.129e-01	2.540e-01
4.900e+03	5.752e-01	5.719e-01	5.823e-01	3.700e-01	3.635e-01	3.874e-01	2.337e-01	2.154e-01	2.554e-01
5.000e+03	5.748e-01	5.712e-01	5.824e-01	3.707e-01	3.650e-01	3.882e-01	2.339e-01	2.169e-01	2.558e-01
5.100e+03	5.746e-01	5.704e-01	5.820e-01	3.707e-01	3.649e-01	3.885e-01	2.340e-01	2.185e-01	2.558e-01
5.200e+03	5.755e-01	5.692e-01	5.820e-01	3.705e-01	3.650e-01	3.880e-01	2.346e-01	2.198e-01	2.568e-01
5.300e+03	5.758e-01	5.685e-01	5.820e-01	3.720e-01	3.655e-01	3.880e-01	2.354e-01	2.226e-01	2.575e-01
5.400e+03	5.764e-01	5.687e-01	5.819e-01	3.724e-01	3.655e-01	3.886e-01	2.355e-01	2.262e-01	2.588e-01
5.500e+03	5.764e-01	5.689e-01	5.824e-01	3.723e-01	3.657e-01	3.886e-01	2.368e-01	2.270e-01	2.589e-01
5.600e+03	5.767e-01	5.693e-01	5.826e-01	3.725e-01	3.663e-01	3.889e-01	2.373e-01	2.276e-01	2.595e-01
5.700e+03	5.763e-01	5.698e-01	5.833e-01	3.735e-01	3.668e-01	3.892e-01	2.371e-01	2.281e-01	2.593e-01
5.800e+03	5.769e-01	5.699e-01	5.839e-01	3.740e-01	3.671e-01	3.893e-01	2.386e-01	2.289e-01	2.605e-01
5.900e+03	5.773e-01	5.695e-01	5.843e-01	3.742e-01	3.676e-01	3.890e-01	2.398e-01	2.288e-01	2.602e-01
6.000e+03	5.773e-01	5.699e-01	5.845e-01	3.737e-01	3.670e-01	3.892e-01	2.401e-01	2.298e-01	2.598e-01
6.100e+03	5.774e-01	5.701e-01	5.848e-01	3.730e-01	3.674e-01	3.883e-01	2.401e-01	2.292e-01	2.605e-01
6.200e+03	5.781e-01	5.681e-01	5.846e-01	3.737e-01	3.669e-01	3.882e-01	2.402e-01	2.286e-01	2.611e-01
6.300e+03	5.782e-01	5.675e-01	5.854e-01	3.735e-01	3.671e-01	3.870e-01	2.415e-01	2.292e-01	2.620e-01
6.400e+03	5.787e-01	5.670e-01	5.857e-01	3.736e-01	3.661e-01	3.865e-01	2.436e-01	2.306e-01	2.610e-01
6.500e+03	5.793e-01	5.662e-01	5.867e-01	3.743e-01	3.651e-01	3.862e-01	2.457e-01	2.313e-01	2.613e-01
6.600e+03	5.787e-01	5.658e-01	5.871e-01	3.745e-01	3.650e-01	3.860e-01	2.451e-01	2.324e-01	2.613e-01
6.700e+03	5.795e-01	5.654e-01	5.873e-01	3.740e-01	3.657e-01	3.857e-01	2.452e-01	2.320e-01	2.620e-01
6.800e+03	5.795e-01	5.649e-01	5.873e-01	3.730e-01	3.665e-01	3.861e-01	2.457e-01	2.313e-01	2.639e-01
6.900e+03	5.807e-01	5.639e-01	5.879e-01	3.721e-01	3.664e-01	3.855e-01	2.454e-01	2.324e-01	2.638e-01
7.000e+03	5.811e-01	5.635e-01	5.879e-01	3.718e-01	3.663e-01	3.850e-01	2.463e-01	2.336e-01	2.683e-01
7.100e+03	5.812e-01	5.637e-01	5.879e-01	3.723e-01	3.645e-01	3.854e-01	2.474e-01	2.342e-01	2.718e-01
7.200e+03	5.815e-01	5.635e-01	5.883e-01	3.714e-01	3.639e-01	3.845e-01	2.486e-01	2.345e-01	2.720e-01
7.300e+03	5.820e-01	5.633e-01	5.886e-01	3.714e-01	3.637e-01	3.842e-01	2.483e-01	2.348e-01	2.727e-01
7.400e+03	5.824e-01	5.635e-01	5.887e-01	3.717e-01	3.635e-01	3.831e-01	2.498e-01	2.354e-01	2.732e-01
7.500e+03	5.832e-01	5.637e-01	5.888e-01	3.715e-01	3.637e-01	3.830e-01	2.504e-01	2.363e-01	2.732e-01
7.600e+03	5.833e-01	5.637e-01	5.889e-01	3.720e-01	3.638e-01	3.830e-01	2.514e-01	2.367e-01	2.732e-01
7.700e+03	5.832e-01	5.638e-01	5.889e-01	3.723e-01	3.642e-01	3.824e-01	2.521e-01	2.370e-01	2.733e-01
7.800e+03	5.835e-01	5.640e-01	5.893e-01	3.727e-01	3.644e-01	3.812e-01	2.513e-01	2.376e-01	2.739e-01
7.900e+03	5.838e-01	5.637e-01	5.894e-01	3.724e-01	3.648e-01	3.812e-01	2.529e-01	2.377e-01	2.738e-01
