n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
1.710e+04	5.901e-01	5.651e-01	6.008e-01	4.093e-01	3.912e-01	4.212e-01	2.615e-01	2.293e-01	2.648e-01
1.720e+04	5.905e-01	5.652e-01	6.011e-01	4.095e-01	3.913e-01	4.217e-01	2.611e-01	2.300e-01	2.658e-01
1.730e+04	5.905e-01	5.652e-01	6.011e-01	4.094e-01	3.915e-01	4.219e-01	2.611e-01	2.304e-01	2.669e-01
1.740e+04	5.905e-01	5.654e-01	6.011e-01	4.095e-01	3.910e-01	4.229e-01	2.614e-01	2.305e-01	2.674e-01
1.750e+04	5.905e-01	5.652e-01	6.012e-01	4.098e-01	3.912e-01	4.224e-01	2.617e-01	2.312e-01	2.686e-01
1.760e+04	5.904e-01	5.654e-01	6.017e-01	4.099e-01	3.912e-01	4.225e-01	2.617e-01	2.312e-01	2.687e-01
1.770e+04	5.904e-01	5.656e-01	6.017e-01	4.102e-01	3.913e-01	4.237e-01	2.619e-01	2.315e-01	2.690e-01
1.780e+04	5.904e-01	5.656e-01	6.019e-01	4.102e-01	3.917e-01	4.236e-01	2.620e-01	2.315e-01	2.705e-01
1.790e+04	5.904e-01	5.655e-01	6.023e-01	4.107e-01	3.917e-01	4.238e-01	2.621e-01	2.315e-01	2.715e-01
1.800e+04	5.906e-01	5.656e-01	6.027e-01	4.106e-01	3.915e-01	4.239e-01	2.620e-01	2.321e-01	2.720e-01
1.810e+04	5.905e-01	5.655e-01	6.029e-01	4.107e-01	3.915e-01	4.239e-01	2.623e-01	2.321e-01	2.724e-01
1.820e+04	5.906e-01	5.655e-01	6.032e-01	4.107e-01	3.914e-01	4.239e-01	2.629e-01	2.325e-01	2.724e-01
1.830e+04	5.906e-01	5.654e-01	6.035e-01	4.108e-01	3.912e-01	4.240e-01	2.632e-01	2.325e-01	2.721e-01
1.840e+04	5.907e-01	5.652e-01	6.035e-01	4.111e-01	3.915e-01	4.240e-01	2.637e-01	2.325e-01	2.721e-01
1.850e+04	5.907e-01	5.652e-01	6.040e-01	4.112e-01	3.915e-01	4.242e-01	2.640e-01	2.325e-01	2.719e-01
1.860e+04	5.907e-01	5.654e-01	6.040e-01	4.113e-01	3.915e-01	4.242e-01	2.643e-01	2.331e-01	2.719e-01
1.870e+04	5.907e-01	5.651e-01	6.043e-01	4.114e-01	3.917e-01	4.242e-01	2.646e-01	2.331e-01	2.724e-01
1.880e+04	5.907e-01	5.652e-01	6.044e-01	4.117e-01	3.912e-01	4.244e-01	2.646e-01	2.331e-01	2.720e-01
1.890e+04	5.908e-01	5.652e-01	6.044e-01	4.118e-01	3.906e-01	4.243e-01	2.646e-01	2.329e-01	2.725e-01
1.900e+04	5.911e-01	5.652e-01	6.046e-01	4.118e-01	3.917e-01	4.243e-01	2.652e-01	2.329e-01	2.725e-01
1.910e+04	5.910e-01	5.654e-01	6.050e-01	4.118e-01	3.919e-01	4.244e-01	2.662e-01	2.335e-01	2.733e-01
1.920e+04	5.911e-01	5.654e-01	6.050e-01	4.118e-01	3.919e-01	4.248e-01	2.670e-01	2.336e-01	2.740e-01
1.930e+04	5.911e-01	5.654e-01	6.050e-01	4.113e-01	3.917e-01	4.252e-01	2.670e-01	2.340e-01	2.742e-01
1.940e+04	5.913e-01	5.654e-01	6.046e-01	4.115e-01	3.920e-01	4.250e-01	2.670e-01	2.356e-01	2.748e-01
1.950e+04	5.915e-01	5.652e-01	6.050e-01	4.115e-01	3.921e-01	4.251e-01	2.673e-01	2.355e-01	2.751e-01
1.960e+04	5.917e-01	5.652e-01	6.051e-01	4.115e-01	3.923e-01	4.252e-01	2.677e-01	2.357e-01	2.751e-01
1.970e+04	5.917e-01	5.652e-01	6.055e-01	4.112e-01	3.924e-01	4.252e-01	2.685e-01	2.357e-01	2.760e-01
1.980e+04	5.917e-01	5.652e-01	6.056e-01	4.115e-01	3.924e-01	4.250e-01	2.687e-01	2.360e-01	2.760e-01
1.990e+04	5.918e-01	5.654e-01	6.051e-01	4.114e-01	3.924e-01	4.255e-01	2.685e-01	2.360e-01	2.760e-01
2.000e+04	5.918e-01	5.654e-01	6.051e-01	4.114e-01	3.919e-01	4.255e-01	2.692e-01	2.357e-01	2.761e-01
