x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	5.635e-01	2.357e-01	2.312e-01	7.772e-02	1.893e-02
0	2	3.150e-01	2.188e-01	2.188e-01	5.273e-03	5.273e-03
0	3	5.602e-01	2.317e-01	2.300e-01	2.759e-02	5.617e-03
0	4	nan	3.094e-01	2.318e-01	2.854e-02	1.928e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	6.845e-01	2.337e-01	1.189e-01	1.189e-01	7.666e-02
1	2	5.610e-01	2.307e-01	4.741e-02	1.828e-02	1.827e-02
1	3	2.954e-01	1.672e-01	4.867e-02	2.305e-02	9.143e-03
1	4	nan	nan	6.044e-02	6.044e-02	6.044e-02
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	4.028e-01	2.339e-01	4.337e-02	4.337e-02
2	2	nan	5.600e-01	1.119e-01	5.479e-02	2.638e-02
2	3	nan	2.582e-01	2.338e-01	3.619e-02	3.619e-02
2	4	nan	nan	nan	1.653e-02	1.653e-02
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	5.600e-01	3.040e-01
3	2	nan	6.759e-01	5.600e-01	2.352e-01	2.323e-01
3	3	nan	5.602e-01	5.600e-01	8.138e-02	2.701e-03
3	4	nan	nan	nan	3.630e-02	9.328e-03
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
