x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	5.660e-01	2.378e-01
0	1	5.798e-01	2.745e-01	2.307e-01	9.327e-02	2.129e-02
0	2	3.896e-01	2.325e-01	4.427e-02	4.427e-02	3.269e-02
0	3	5.681e-01	2.470e-01	8.467e-02	5.812e-02	2.789e-02
0	4	nan	2.432e-01	5.146e-02	1.747e-02	1.747e-02
0	5	nan	nan	2.335e-01	2.335e-01	2.322e-01
0	6	nan	nan	2.341e-01	2.300e-01	2.300e-01
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	5.601e-01	2.317e-01
1	1	7.989e-01	2.435e-01	2.339e-01	2.301e-01	2.301e-01
1	2	5.643e-01	2.302e-01	1.899e-01	5.358e-02	2.405e-02
1	3	5.682e-01	2.321e-01	4.203e-02	3.813e-02	1.575e-02
1	4	nan	2.536e-01	2.305e-01	2.716e-02	2.716e-02
1	5	nan	nan	2.426e-01	2.313e-01	6.336e-02
1	6	nan	nan	2.394e-01	2.300e-01	2.300e-01
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	5.600e-01
2	1	nan	2.538e-01	2.466e-01	2.337e-01	2.758e-02
2	2	nan	1.973e-01	7.268e-02	7.268e-02	5.442e-04
2	3	6.004e-01	2.300e-01	7.190e-02	3.328e-02	4.560e-03
2	4	nan	2.359e-01	2.316e-01	2.304e-01	2.304e-01
2	5	nan	nan	2.311e-01	2.302e-01	5.672e-02
2	6	nan	nan	2.311e-01	2.311e-01	2.306e-01
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	5.600e-01
3	1	nan	nan	4.403e-01	2.556e-01	2.302e-01
3	2	nan	nan	2.558e-01	2.323e-01	2.310e-01
3	3	nan	nan	nan	2.306e-01	2.306e-01
3	4	nan	7.953e-01	2.329e-01	2.309e-01	2.309e-01
3	5	nan	nan	2.308e-01	2.306e-01	2.306e-01
3	6	nan	nan	nan	2.307e-01	2.306e-01
3	7	nan	nan	nan	nan	nan
