x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	5.788e-01	2.318e-01	1.048e-01	1.675e-02	1.675e-02
0	4	5.601e-01	2.312e-01	2.945e-02	2.945e-02	2.945e-02
0	5	nan	2.587e-01	2.336e-01	2.336e-01	2.300e-01
0	6	nan	nan	nan	2.526e-01	2.480e-02
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	3.997e-01	2.377e-01	2.119e-01	6.218e-02	5.020e-02
1	4	5.604e-01	2.348e-01	6.109e-02	6.109e-02	9.853e-03
1	5	nan	2.665e-01	2.665e-01	2.307e-01	2.301e-01
1	6	nan	nan	nan	2.342e-01	1.812e-01
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	2.302e-01	9.395e-02	6.699e-02	4.424e-02
2	4	6.006e-01	2.241e-01	1.401e-02	1.401e-02	1.401e-02
2	5	nan	2.718e-01	2.441e-01	2.311e-01	2.301e-01
2	6	nan	nan	nan	2.303e-01	2.301e-01
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	nan	nan
3	2	nan	nan	nan	nan	nan
3	3	nan	nan	nan	1.456e-02	1.281e-02
3	4	nan	nan	1.106e-01	5.437e-02	1.367e-02
3	5	nan	2.348e-01	2.308e-01	2.301e-01	2.301e-01
3	6	nan	nan	nan	2.364e-01	2.323e-01
3	7	nan	nan	nan	nan	nan
