x	y	progress.rate.q.0.05.0.00.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.10.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.25.quality.behavior.quality.final.dist	progress.rate.q.0.05.0.50.quality.behavior.quality.final.dist	progress.rate.q.0.05.1.00.quality.behavior.quality.final.dist
0	0	nan	nan	2.578e-01	7.584e-02	7.084e-02
0	1	3.564e-01	2.314e-01	1.546e-01	2.680e-02	1.247e-02
0	2	2.295e-01	9.164e-02	7.608e-02	1.896e-02	1.787e-02
0	3	3.274e-01	2.340e-02	2.340e-02	2.340e-02	1.058e-02
0	4	nan	2.587e-01	1.249e-01	8.156e-02	8.156e-02
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
1	0	nan	nan	1.300e-01	2.993e-02	2.993e-02
1	1	6.516e-01	1.209e-01	9.554e-02	3.809e-02	3.809e-02
1	2	5.366e-01	1.767e-01	1.000e-01	7.298e-02	4.248e-03
1	3	9.916e-02	9.916e-02	9.916e-02	4.804e-02	2.265e-02
1	4	nan	nan	1.307e-01	1.307e-01	1.002e-01
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
2	0	nan	nan	2.478e-01	9.371e-02	9.371e-02
2	1	nan	2.385e-01	9.456e-02	1.172e-02	1.172e-02
2	2	nan	2.181e-01	7.761e-02	7.761e-02	3.040e-02
2	3	nan	1.625e-01	6.954e-02	1.806e-02	1.806e-02
2	4	nan	nan	2.313e-01	2.313e-01	2.095e-01
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
3	0	nan	nan	nan	3.520e-01	2.287e-01
3	1	nan	nan	nan	1.227e-01	1.005e-01
3	2	nan	nan	nan	nan	2.340e-01
3	3	nan	nan	nan	nan	2.717e-02
3	4	nan	nan	nan	nan	nan
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
